
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;godfond sverige & världen;goldman sachs asia equity income p;goldman sachs global equity impact opportunities p;goldman sachs global social impact equity p;goldman sachs greater china equity p;goldman sachs green bond p;goldman sachs japan equity p (former nn);goldman sachs protection p;handelsbanken amerika tema a1;handelsbanken asien tema a1;handelsbanken developed markets index criteria a1;handelsbanken emerging markets index a1;handelsbanken europa index criteria a1;handelsbanken global index criteria a1;handelsbanken global småbolag index criteria a1;handelsbanken global tema a1;handelsbanken hälsovård tema a1;
2023-01-03;-0,115;;;;;;;;-0,148;-0,043;;-0,066;-0,122;-0,129;-0,074;-0,083;0,016;
2023-01-04;-0,111;;;;;;;;-0,149;-0,037;;-0,063;-0,114;-0,127;-0,072;-0,082;0,016;
2023-01-05;-0,108;;;;;;;;-0,147;-0,026;;-0,052;-0,110;-0,123;-0,070;-0,080;0,015;
2023-01-09;-0,104;;;;;;;;-0,145;-0,025;;-0,050;-0,106;-0,121;-0,067;-0,078;0,011;
2023-01-10;-0,104;;;;;;;;-0,148;-0,025;;-0,050;-0,107;-0,123;-0,068;-0,080;0,009;
2023-01-11;-0,097;;;;;;;;-0,141;-0,023;;-0,047;-0,101;-0,118;-0,059;-0,072;0,011;
2023-01-12;-0,094;;;;;;;;-0,139;-0,020;;-0,045;-0,099;-0,115;-0,056;-0,068;0,010;
2023-01-13;-0,095;;;;;;;;-0,140;-0,018;;-0,043;-0,097;-0,115;-0,054;-0,067;0,015;
2023-01-16;-0,092;;;;;;;;;-0,016;;-0,042;-0,094;;;;;
2023-01-17;-0,094;;;;;;;;-0,137;-0,021;;-0,045;-0,094;-0,113;-0,052;-0,065;0,015;
2023-01-18;-0,098;;;;;;;;-0,139;-0,025;;-0,049;-0,095;-0,116;-0,053;-0,066;0,010;
2023-01-19;-0,103;;;;;;;;-0,147;-0,023;;-0,047;-0,102;-0,122;-0,062;-0,073;0,006;
2023-01-20;-0,099;;;;;;;;-0,145;-0,018;;-0,043;-0,101;-0,121;-0,061;-0,072;0,005;
2023-01-23;-0,096;;;;;;;;-0,139;;;;-0,101;-0,118;-0,058;-0,070;0,004;
2023-01-24;-0,097;;;;;;;;-0,137;;;;-0,102;-0,117;-0,056;-0,068;0,002;
2023-01-25;-0,096;;;;;;;;-0,145;;;;-0,102;-0,120;-0,060;-0,071;-0,000;
2023-01-26;;;;;;;;;;;;;;;;;;
2023-01-27;-0,092;;;;;;;;-0,129;-0,008;;-0,037;-0,096;-0,109;-0,048;-0,061;0,003;
2023-01-30;-0,094;;;;;;;;-0,128;-0,009;;-0,038;-0,093;-0,108;-0,046;-0,059;0,006;
2023-01-31;-0,091;;;;;;;;-0,126;-0,010;;-0,038;-0,092;-0,106;-0,043;-0,058;0,005;
2023-02-01;-0,088;;;;;;;;-0,122;-0,005;;-0,035;-0,089;-0,103;-0,037;-0,053;0,007;
2023-02-02;-0,080;;;;;;;;-0,113;-0,009;;-0,036;-0,086;-0,098;-0,029;-0,050;0,001;
2023-02-03;;;;;;;;;;;;;;;;;;
2023-02-06;-0,082;;;;;;;;-0,110;-0,012;;-0,041;-0,085;-0,096;-0,028;-0,049;0,009;
2023-02-07;-0,081;;;;;;;;-0,110;-0,009;;-0,038;-0,086;-0,095;-0,029;-0,048;0,008;
2023-02-08;-0,083;;;;;;;;-0,107;-0,009;;-0,040;-0,083;-0,093;-0,027;-0,046;0,010;
2023-02-09;-0,090;;;;;;;;-0,119;-0,017;;-0,048;-0,091;-0,104;-0,039;-0,056;0,002;
2023-02-10;-0,091;;;;;;;;-0,124;-0,018;;-0,049;-0,097;-0,107;-0,045;-0,060;0,003;
2023-02-13;-0,088;;;;;;;;-0,120;-0,020;;-0,049;-0,092;-0,104;-0,042;-0,058;0,004;
2023-02-14;-0,088;;;;;;;;-0,120;-0,024;;-0,051;-0,091;-0,105;-0,042;-0,058;0,004;
2023-02-15;-0,086;;;;;;;;-0,118;-0,026;;-0,052;-0,090;-0,103;-0,040;-0,058;0,003;
2023-02-16;-0,087;;;;;;;;-0,118;-0,022;;-0,049;-0,090;-0,103;-0,037;-0,057;-0,001;
2023-02-17;-0,088;;;;;;;;-0,121;-0,025;;-0,051;-0,088;-0,104;-0,038;-0,059;0,003;
2023-02-20;-0,091;;;;;;;;;-0,031;;-0,056;-0,092;;;;;
2023-02-21;;;;;;;;;;;;;;;;;;
2023-02-22;-0,097;;;;;;;;-0,136;-0,041;;-0,064;-0,097;-0,117;-0,051;-0,073;-0,006;
2023-02-23;;;;;;;;;;;;;;;;;;
2023-02-24;-0,098;;;;;;;;-0,137;-0,043;;-0,065;-0,100;-0,118;-0,051;-0,072;-0,008;
2023-02-27;-0,096;;;;;;;;-0,133;-0,046;;-0,068;-0,095;-0,115;-0,047;-0,069;-0,007;
2023-02-28;-0,096;;;;;;;;-0,138;-0,048;;-0,069;-0,096;-0,117;-0,048;-0,071;-0,012;
2023-03-01;-0,097;;;;;;;;-0,137;-0,037;;-0,060;-0,095;-0,116;-0,047;-0,068;-0,013;
2023-03-02;-0,096;;-0,016;;-0,029;-0,042;-0,088;-0,034;-0,137;-0,036;;-0,059;-0,096;-0,116;-0,048;-0,069;-0,010;
2023-03-03;;;;;;;;;;;;;;;;;;
2023-03-06;-0,089;;-0,012;;-0,029;-0,041;-0,077;-0,032;-0,124;-0,032;;-0,055;-0,090;-0,107;-0,040;-0,059;-0,005;
2023-03-07;-0,089;;-0,016;;-0,038;-0,040;-0,075;-0,033;-0,121;-0,030;;-0,053;-0,087;-0,104;-0,039;-0,057;-0,003;
2023-03-08;-0,089;;-0,010;;-0,034;-0,038;-0,069;-0,027;-0,123;-0,032;;-0,053;-0,089;-0,105;-0,040;-0,059;-0,005;
2023-03-09;-0,091;;-0,015;;-0,042;-0,039;-0,065;-0,028;-0,120;-0,035;;-0,055;-0,086;-0,102;-0,040;-0,056;-0,003;
2023-03-10;-0,101;;-0,023;;-0,048;-0,034;-0,071;-0,025;-0,137;-0,044;;-0,063;-0,092;-0,114;-0,056;-0,069;-0,007;
2023-03-13;-0,107;;-0,026;;-0,046;-0,030;-0,077;-0,028;-0,143;-0,041;;-0,062;-0,099;-0,117;-0,066;-0,076;-0,005;
2023-03-14;-0,104;;-0,021;;-0,050;-0,036;-0,084;-0,028;-0,140;-0,052;;-0,074;-0,100;-0,120;-0,065;-0,076;-0,009;
2023-03-15;-0,112;;-0,029;;-0,066;-0,028;-0,102;-0,038;-0,142;-0,048;;-0,072;-0,110;-0,122;-0,074;-0,083;-0,010;
2023-03-16;-0,109;;-0,025;;-0,058;-0,031;-0,086;-0,035;-0,138;-0,052;;-0,075;-0,109;-0,120;-0,073;-0,083;-0,009;
2023-03-17;-0,114;;-0,033;;-0,058;-0,027;-0,089;-0,038;-0,137;-0,047;;-0,070;-0,113;-0,119;-0,077;-0,083;-0,009;
2023-03-20;-0,113;;-0,030;;-0,058;-0,029;-0,078;-0,036;-0,141;-0,057;;-0,078;-0,110;-0,123;-0,077;-0,086;-0,012;
