
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;nordea generationsfond 60-tal;nordea generationsfond 70-tal;nordea generationsfond 80-tal;nordea generationsfond 90-tal;nordea generationsfond senior;nordea global;nordea indienfond;nordea kinafond;nordea obligationsfond;nordea realräntefond;nordea småbolagsfond norden;nordea stratega ränta;nordea swedish bond stars;nordea swedish stars;odin emerging markets c;odin fastighet c;odin global c;
2024-11-25;0,008;0,027;0,026;0,027;-0,004;0,048;0,051;-0,031;0,004;0,005;-0,029;0,001;-0,004;0,002;0,032;0,046;0,042;
2024-11-26;0,008;0,026;0,026;0,027;-0,004;0,048;0,055;-0,031;0,005;0,006;-0,029;0,001;-0,003;0,000;0,029;0,039;0,040;
2024-11-27;0,008;0,026;0,026;0,026;-0,004;0,048;0,056;-0,022;0,006;0,007;-0,028;0,002;-0,003;0,000;0,021;0,049;0,036;
2024-11-28;;;;;;;;;;;;;;;;;;
2024-11-29;0,008;0,025;0,025;0,025;-0,003;0,048;0,054;-0,032;0,006;0,007;-0,024;0,003;-0,003;0,001;0,024;0,054;0,040;
2024-12-02;0,011;0,031;0,030;0,031;-0,003;0,054;0,060;-0,025;0,008;0,008;-0,020;0,003;-0,003;0,008;0,030;0,052;0,045;
2024-12-03;0,012;0,032;0,032;0,032;-0,002;0,055;0,063;-0,021;0,007;0,008;-0,020;0,004;-0,003;0,011;0,031;0,048;0,044;
2024-12-04;0,013;0,033;0,033;0,033;-0,003;0,056;0,064;-0,021;0,006;0,006;-0,016;0,003;-0,003;0,015;0,037;0,051;0,050;
2024-12-05;0,011;0,031;0,031;0,031;-0,004;0,052;0,064;-0,028;0,003;0,004;-0,017;0,002;-0,004;0,015;0,036;0,043;0,046;
2024-12-06;;;;;-0,004;;;;0,004;;;;-0,004;0,018;0,036;0,048;0,048;
2024-12-09;;;;;;;;;;;;;;;;;;
2024-12-10;0,011;0,032;0,032;0,032;-0,004;0,053;0,065;-0,008;0,004;0,005;-0,014;0,003;-0,004;0,017;0,038;0,043;0,051;
2024-12-11;0,011;0,032;0,031;0,032;-0,004;0,052;0,066;-0,012;0,004;0,005;-0,015;0,003;-0,004;0,015;0,035;0,040;0,054;
2024-12-12;;;;;;;;;;;;;;;;;;
2024-12-13;0,010;0,030;0,030;0,030;-0,005;0,050;0,066;-0,017;0,002;0,004;-0,016;0,001;-0,004;0,010;0,036;0,033;0,050;
2024-12-16;0,009;0,028;0,028;0,028;-0,006;0,047;0,065;-0,024;0,001;0,003;-0,022;0,000;-0,004;0,007;0,032;0,033;0,050;
2024-12-17;0,007;0,026;0,026;0,026;-0,006;0,046;0,062;-0,024;0,001;0,003;-0,023;-0,000;-0,005;0,005;0,026;0,028;0,046;
2024-12-18;0,007;0,026;0,026;0,026;-0,007;0,047;0,061;-0,019;0,001;0,003;-0,022;-0,000;-0,005;0,005;0,028;0,034;0,041;
2024-12-19;-0,000;0,019;0,019;0,019;-0,010;0,040;0,060;-0,019;-0,002;0,001;-0,026;-0,003;-0,005;-0,005;0,027;0,026;0,042;
2024-12-20;-0,002;0,016;0,016;0,016;-0,010;0,037;0,054;-0,018;-0,001;0,001;-0,028;-0,003;-0,005;-0,009;0,020;0,027;0,037;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;;;;;;;;;;;;;;;;;;
2025-02-19;0,014;0,033;0,033;0,033;-0,003;0,048;-0,002;0,034;-0,002;-0,001;-0,002;-0,000;-0,003;0,033;0,012;0,020;0,048;
2025-02-20;0,013;0,032;0,032;0,032;-0,003;0,047;-0,000;0,029;-0,002;-0,001;0,000;-0,000;-0,003;0,035;0,014;0,021;0,048;
2025-02-21;0,013;0,031;0,031;0,031;-0,002;0,043;-0,006;0,043;-0,001;-0,001;-0,001;0,000;-0,003;0,032;0,017;0,017;0,041;
2025-02-24;0,011;0,028;0,028;0,028;-0,003;0,039;-0,010;0,038;-0,001;-0,001;-0,001;0,000;-0,003;0,031;0,010;0,022;0,038;
2025-02-25;;;;;;;-0,013;;;;;;;;;;;
2025-02-26;0,013;0,029;0,029;0,029;-0,001;0,038;;0,041;-0,000;-0,000;0,000;0,002;-0,002;0,036;0,009;0,026;0,036;
2025-02-27;0,012;0,028;0,028;0,028;-0,001;0,040;-0,013;0,039;0,001;0,001;-0,003;0,002;-0,002;0,032;0,008;0,024;0,035;
2025-02-28;0,010;0,024;0,024;0,024;-0,001;0,035;-0,020;0,025;0,001;0,000;-0,006;0,002;-0,002;0,030;0,000;0,026;0,037;
2025-03-03;0,012;0,025;0,025;0,025;-0,001;0,036;-0,023;0,020;-0,001;-0,000;-0,004;0,001;-0,002;0,034;-0,003;0,023;0,031;
2025-03-04;0,005;0,014;0,014;0,014;-0,002;0,022;-0,027;0,014;-0,000;0,000;-0,013;0,002;-0,002;0,020;-0,009;0,013;0,020;
2025-03-05;0,002;0,008;0,008;0,008;-0,003;0,012;-0,029;0,019;-0,004;-0,003;-0,011;-0,000;-0,003;0,023;-0,013;0,003;0,018;
2025-03-06;0,000;0,006;0,006;0,006;-0,005;0,008;-0,032;0,029;-0,008;-0,004;-0,014;-0,002;-0,004;0,022;-0,012;-0,017;0,008;
2025-03-10;;;;;;;;;;;;;;;;;;
2025-03-11;-0,007;-0,008;-0,008;-0,008;-0,006;-0,011;-0,041;0,017;-0,008;-0,004;-0,021;-0,003;-0,003;0,011;-0,023;-0,020;-0,010;
2025-03-12;;;;;;;;;;;;;;;;;;
2025-03-13;-0,006;-0,004;-0,005;-0,004;-0,006;-0,006;-0,036;0,017;-0,008;-0,003;-0,020;-0,004;-0,003;0,011;-0,020;-0,023;-0,008;
2025-03-14;;;;;;;;;;;;;;;;;;
2025-03-17;-0,002;-0,000;-0,000;-0,000;-0,005;-0,003;-0,036;0,031;-0,007;-0,003;-0,010;-0,003;-0,003;0,017;-0,013;-0,010;-0,001;
2025-03-18;;;;;;;;;;;;;;;;;;
2025-03-19;-0,002;0,002;0,002;0,002;-0,005;-0,002;-0,022;0,041;-0,009;-0,004;-0,010;-0,003;-0,004;0,017;-0,010;-0,019;0,001;
2025-03-20;0,000;0,005;0,004;0,004;-0,005;0,003;-0,016;0,033;-0,008;-0,003;-0,011;-0,002;-0,004;0,016;-0,010;-0,018;0,001;
2025-03-21;-0,003;-0,001;-0,001;-0,001;-0,006;-0,002;-0,011;0,019;-0,009;-0,003;-0,014;-0,003;-0,004;0,010;-0,014;-0,020;-0,002;
2025-03-24;-0,000;0,004;0,004;0,004;-0,005;0,005;-0,006;0,024;-0,009;-0,003;-0,014;-0,003;-0,004;0,011;-0,014;-0,028;0,002;
2025-03-25;-0,002;0,001;0,001;0,001;-0,005;0,002;-0,012;0,007;-0,009;-0,003;-0,015;-0,003;-0,004;0,008;-0,018;-0,026;0,000;
2025-03-26;-0,002;0,000;0,000;0,000;-0,005;0,002;-0,014;0,011;-0,009;-0,003;-0,017;-0,003;-0,004;0,007;-0,017;-0,028;-0,002;
2025-03-27;-0,003;-0,001;-0,001;-0,001;-0,005;0,000;-0,012;0,014;-0,008;-0,003;-0,018;-0,003;-0,003;0,002;-0,018;-0,027;-0,005;
2025-03-28;-0,007;-0,008;-0,009;-0,008;-0,005;-0,009;-0,013;0,008;-0,007;-0,002;-0,022;-0,002;-0,003;-0,002;-0,023;-0,017;-0,010;
2025-03-31;-0,010;-0,013;-0,013;-0,013;-0,006;-0,014;;0,001;-0,006;-0,002;-0,025;-0,002;-0,003;-0,008;;-0,022;-0,012;
2025-04-01;-0,008;-0,010;-0,010;-0,010;-0,005;-0,010;-0,020;0,002;-0,006;-0,001;-0,021;-0,001;-0,003;-0,007;-0,026;-0,015;-0,011;
2025-04-02;-0,009;-0,013;-0,013;-0,013;-0,006;-0,012;-0,018;-0,001;-0,006;-0,001;-0,027;-0,001;-0,003;-0,014;-0,027;-0,015;-0,011;
2025-04-03;-0,016;-0,027;-0,027;-0,027;-0,006;-0,031;-0,032;-0,021;-0,005;-0,001;-0,028;-0,001;-0,003;-0,023;-0,045;-0,005;-0,031;
2025-04-04;-0,022;-0,035;-0,035;-0,035;-0,007;-0,037;-0,027;;-0,002;0,001;-0,043;-0,000;-0,002;-0,040;;-0,015;-0,034;
2025-04-07;-0,035;-0,053;-0,053;-0,053;-0,011;-0,056;-0,035;-0,067;-0,001;0,002;-0,056;-0,002;-0,001;-0,056;-0,055;-0,037;-0,038;
2025-04-08;-0,026;-0,041;-0,041;-0,041;-0,009;-0,038;-0,032;-0,061;-0,003;0,001;-0,051;-0,003;-0,002;-0,051;-0,066;-0,050;-0,048;
2025-04-09;-0,036;-0,056;-0,056;-0,056;-0,012;-0,056;-0,038;-0,056;-0,002;0,002;-0,065;-0,005;-0,001;-0,066;-0,067;-0,066;-0,032;
2025-04-10;-0,025;-0,038;-0,038;-0,039;-0,008;-0,037;;-0,051;-0,001;0,002;-0,048;-0,003;-0,001;-0,047;-0,063;-0,044;-0,037;
2025-04-11;-0,025;-0,040;-0,040;-0,040;-0,008;-0,040;-0,034;-0,050;0,001;0,003;-0,047;-0,004;-0,001;-0,049;-0,057;-0,039;-0,032;
2025-04-14;-0,020;-0,033;-0,033;-0,033;-0,006;-0,032;;-0,046;0,001;0,003;-0,040;-0,003;-0,001;-0,040;-0,055;-0,028;-0,032;
2025-04-15;-0,016;-0,026;-0,026;-0,027;-0,005;-0,027;-0,023;-0,043;0,001;0,003;-0,029;-0,002;-0,001;-0,030;-0,049;-0,018;-0,026;
2025-04-16;-0,020;-0,033;-0,033;-0,033;-0,006;-0,036;-0,021;-0,055;0,001;0,003;-0,031;-0,002;-0,001;-0,035;;;;
2025-04-17;-0,022;-0,036;-0,036;-0,037;-0,006;-0,041;-0,019;-0,055;-0,000;0,002;;-0,001;-0,001;-0,036;;;;
2025-04-22;-0,024;-0,043;-0,043;-0,043;-0,006;-0,051;-0,017;-0,057;0,001;0,003;-0,036;-0,001;-0,000;-0,039;-0,054;-0,008;-0,044;
2025-04-23;-0,015;-0,027;-0,027;-0,027;-0,004;-0,031;-0,013;-0,042;0,000;0,002;-0,023;-0,000;-0,001;-0,024;-0,043;-0,011;-0,037;
2025-04-24;;;;;;;;;;;;;;;;;;
2025-04-25;;;;;;;;;;;;;;;;;;
2025-04-28;;;;;;;;;;;;;;;;;;
2025-04-29;-0,013;-0,022;-0,022;-0,023;-0,003;-0,025;-0,016;-0,035;0,001;0,002;-0,022;0,002;-0,000;-0,025;-0,035;-0,007;-0,026;
2025-04-30;-0,012;-0,022;-0,022;-0,022;-0,002;-0,028;-0,011;-0,031;0,002;0,003;-0,015;0,002;-0,000;-0,018;-0,033;0,001;-0,023;
2025-05-02;-0,007;-0,013;-0,013;-0,013;-0,001;-0,015;-0,012;-0,024;0,001;0,003;-0,011;0,001;0,000;-0,014;-0,020;0,007;-0,014;
2025-05-05;-0,006;-0,012;-0,012;-0,012;-0,001;-0,014;-0,007;;0,001;0,002;-0,011;0,001;-0,000;-0,013;;0,002;;
2025-05-06;;;;;;;;;;;;;;;;;;
2025-05-07;-0,007;-0,013;-0,013;-0,014;-0,001;-0,015;-0,012;-0,023;0,002;0,002;-0,011;0,001;0,000;-0,018;-0,021;0,000;-0,018;
2025-05-08;-0,006;-0,012;-0,012;-0,012;-0,000;-0,015;-0,018;-0,020;0,002;0,002;-0,008;0,002;0,001;-0,014;-0,015;-0,001;-0,013;
2025-05-09;-0,005;-0,009;-0,009;-0,009;0,000;-0,011;;;0,002;0,002;-0,006;;0,001;-0,012;-0,015;-0,002;-0,015;
2025-05-12;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
