
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;c worldwide asia 1a;c worldwide global equities 1a;c worldwide global equities ethical 1a;c worldwide healthcare select 1a;c worldwide sweden 1a;c worldwide sweden small cap 1a;captor dahlia green bond a;captor iris bond a;carnegie fastighetsfond norden a;carnegie indienfond a;carnegie likviditetsfond a;carnegie listed private equity a;carnegie obligationsfond a;carnegie småbolagsfond a;carnegie strategifond a;carnegie sverigefond a;cb save earth fund rc;
2023-05-08;-0,042;-0,048;-0,048;0,044;-0,075;-0,079;-0,039;-0,036;-0,084;-0,046;-0,033;-0,150;-0,029;-0,172;-0,077;-0,076;;
2023-05-09;;;;;;;-0,040;-0,038;-0,109;-0,046;-0,033;-0,153;-0,029;-0,179;-0,081;-0,081;;
2023-05-10;-0,045;-0,047;-0,047;0,050;-0,082;-0,089;;;-0,113;-0,043;-0,033;-0,150;-0,028;-0,183;-0,083;-0,085;-0,007;
2023-05-11;-0,046;-0,045;-0,044;0,051;-0,077;-0,079;-0,038;-0,033;-0,092;-0,037;-0,033;-0,149;-0,026;-0,177;-0,080;-0,080;-0,006;
2023-05-12;-0,045;-0,040;-0,038;0,055;-0,073;-0,077;-0,039;-0,035;-0,097;-0,037;-0,033;-0,144;-0,026;-0,174;-0,079;-0,078;-0,002;
2023-05-15;-0,040;-0,038;-0,038;0,058;-0,072;-0,074;-0,039;-0,035;-0,097;-0,035;-0,033;-0,141;-0,027;-0,170;-0,078;-0,077;0,000;
2023-05-16;-0,040;-0,040;-0,039;0,049;-0,073;-0,076;-0,040;-0,036;-0,091;-0,036;-0,033;-0,142;-0,027;-0,169;-0,079;-0,078;-0,006;
2023-05-17;-0,037;-0,036;-0,035;0,051;-0,071;-0,076;;;-0,100;-0,035;-0,033;-0,141;-0,027;-0,174;-0,079;-0,078;-0,001;
2023-05-19;-0,030;-0,023;-0,024;0,061;-0,062;-0,069;-0,042;-0,042;-0,101;-0,034;-0,032;-0,130;-0,031;-0,168;-0,075;-0,070;0,007;
2023-05-22;-0,028;-0,024;-0,024;0,063;-0,064;-0,071;-0,042;-0,041;-0,097;-0,033;-0,032;-0,131;-0,030;-0,168;-0,076;-0,072;0,007;
2023-05-23;-0,030;-0,027;-0,026;0,068;-0,066;-0,069;-0,043;-0,043;-0,084;-0,029;-0,032;-0,125;-0,030;-0,162;-0,076;-0,074;0,004;
2023-05-24;-0,031;-0,032;-0,031;0,058;-0,076;-0,080;-0,043;-0,043;-0,093;-0,027;-0,032;-0,132;-0,030;-0,165;-0,081;-0,082;-0,003;
2023-05-25;-0,030;-0,026;-0,025;0,058;-0,073;-0,079;-0,043;-0,045;-0,099;-0,021;-0,032;-0,125;-0,031;-0,166;-0,081;-0,081;0,001;
2023-05-26;-0,023;-0,019;-0,019;0,061;-0,070;-0,078;;;;;;-0,123;;;;;;
2023-05-29;;;;;;;-0,043;-0,045;-0,107;-0,014;-0,032;;-0,032;-0,168;-0,080;-0,081;;
2023-05-30;-0,021;-0,014;-0,016;0,061;-0,067;-0,077;-0,042;-0,043;-0,109;-0,012;-0,032;-0,113;-0,031;-0,168;-0,079;-0,080;0,009;
2023-05-31;-0,025;-0,017;-0,017;0,059;-0,070;-0,079;-0,041;-0,040;-0,117;-0,011;-0,032;-0,116;-0,029;-0,170;-0,081;-0,085;0,009;
2023-06-01;-0,025;-0,016;-0,019;0,058;-0,072;-0,080;-0,040;-0,039;-0,119;-0,010;-0,032;-0,115;-0,029;-0,173;-0,082;-0,087;0,011;
2023-06-02;-0,017;-0,015;-0,015;0,063;-0,064;-0,071;-0,041;-0,041;-0,091;-0,012;-0,032;-0,110;-0,030;-0,160;-0,076;-0,077;0,018;
2023-06-05;-0,016;-0,011;-0,011;0,071;-0,061;-0,067;-0,042;-0,042;-0,081;-0,007;-0,032;-0,105;-0,031;-0,158;-0,074;-0,077;;
2023-06-07;-0,009;-0,009;-0,012;0,069;-0,058;-0,065;-0,042;-0,043;-0,074;-0,007;-0,032;-0,102;-0,031;-0,160;-0,073;-0,075;0,022;
2023-06-08;-0,013;-0,013;-0,016;0,066;-0,062;-0,072;-0,042;-0,043;-0,082;-0,010;-0,032;-0,102;-0,031;-0,165;-0,076;-0,077;0,020;
2023-06-09;-0,010;-0,013;-0,013;0,069;-0,061;-0,072;-0,042;-0,042;-0,077;-0,011;-0,032;-0,097;-0,031;-0,162;-0,076;-0,077;0,019;
2023-06-12;-0,008;-0,011;-0,012;0,071;-0,059;-0,069;-0,041;-0,040;-0,084;-0,010;-0,031;-0,097;-0,030;-0,160;-0,076;-0,078;0,021;
2023-06-13;-0,003;-0,010;-0,010;0,071;-0,054;-0,064;-0,042;-0,042;-0,085;-0,008;-0,031;-0,097;-0,030;-0,159;-0,075;-0,076;0,023;
2023-06-14;-0,010;-0,010;-0,013;0,065;-0,057;-0,066;-0,043;-0,044;-0,082;-0,008;-0,031;-0,097;-0,032;-0,160;-0,076;-0,077;0,018;
2023-06-15;-0,002;-0,007;-0,011;0,068;-0,059;-0,070;-0,044;-0,045;-0,093;-0,009;-0,031;-0,098;-0,033;-0,162;-0,077;-0,078;0,021;
2023-06-16;-0,004;-0,010;-0,011;0,069;-0,058;-0,072;-0,044;-0,046;-0,097;-0,008;-0,031;-0,097;-0,034;-0,163;-0,076;-0,075;0,019;
2023-06-19;-0,007;-0,011;-0,012;0,067;-0,063;-0,080;;;-0,104;-0,003;-0,031;-0,096;-0,034;-0,168;-0,079;-0,081;0,017;
2023-06-20;-0,010;-0,011;-0,011;0,066;-0,065;-0,084;-0,043;-0,045;-0,112;0,000;-0,031;-0,098;-0,033;-0,174;-0,081;-0,082;0,014;
2023-06-21;-0,011;-0,010;-0,010;0,069;-0,069;-0,087;-0,044;-0,047;-0,119;-0,001;-0,031;-0,102;-0,034;-0,176;-0,084;-0,087;0,013;
2023-06-22;-0,017;-0,015;-0,014;0,064;-0,073;-0,089;-0,045;-0,050;-0,119;-0,006;-0,031;-0,108;-0,036;-0,178;-0,087;-0,091;0,009;
2023-06-26;-0,020;-0,015;-0,016;0,058;-0,073;-0,090;-0,044;-0,046;-0,120;-0,006;-0,031;-0,113;-0,034;-0,179;-0,086;-0,090;;
2023-06-27;;;;;;;;;;;;;;;;;0,005;
2023-06-28;-0,016;-0,014;-0,013;0,061;-0,068;-0,083;-0,044;-0,045;-0,113;0,002;-0,031;-0,103;-0,033;-0,176;-0,083;-0,083;0,011;
2023-06-29;-0,014;-0,011;-0,008;0,067;-0,062;-0,079;-0,045;-0,047;-0,111;;-0,031;-0,096;-0,034;-0,175;-0,080;-0,079;0,016;
2023-06-30;-0,011;-0,003;-0,004;0,069;-0,058;-0,076;-0,046;-0,048;-0,106;0,006;-0,031;-0,094;-0,034;-0,170;-0,078;-0,075;0,022;
2023-07-03;-0,005;-0,004;-0,003;0,062;-0,065;-0,083;-0,046;-0,047;-0,101;0,009;-0,030;-0,095;-0,034;-0,169;-0,079;-0,078;0,018;
2023-07-04;-0,004;-0,004;-0,002;0,063;-0,065;-0,078;;;-0,081;0,012;-0,030;-0,092;-0,035;-0,162;-0,078;-0,076;;
2023-07-05;;;;;;;;;;;;;;;;;0,015;
2023-07-06;-0,013;-0,008;-0,007;0,060;-0,075;-0,089;-0,047;-0,054;-0,089;0,016;-0,030;-0,100;-0,036;-0,170;-0,083;-0,084;0,011;
2023-07-07;-0,014;-0,009;-0,008;0,060;-0,075;-0,087;-0,047;-0,053;-0,093;0,011;-0,030;-0,099;-0,036;-0,170;-0,084;-0,085;0,011;
2023-07-10;-0,017;-0,014;-0,012;0,058;-0,076;-0,090;-0,047;-0,055;-0,098;0,007;-0,030;-0,102;-0,037;-0,175;-0,085;-0,086;0,013;
2023-07-11;-0,015;-0,017;-0,013;0,057;-0,075;-0,088;-0,048;-0,056;-0,094;0,004;-0,030;-0,105;-0,038;-0,169;-0,084;-0,085;0,016;
2023-07-12;-0,012;-0,013;-0,014;0,052;-0,073;-0,084;-0,046;-0,054;-0,082;-0,003;-0,030;-0,102;-0,037;-0,168;-0,082;-0,081;0,017;
2023-07-13;-0,017;-0,018;-0,018;0,046;-0,073;-0,086;-0,044;-0,048;-0,083;-0,012;-0,030;-0,105;-0,033;-0,167;-0,082;-0,080;0,007;
2023-07-14;-0,020;-0,021;-0,021;0,044;-0,078;-0,092;-0,045;-0,049;-0,091;-0,009;-0,030;-0,100;-0,034;-0,167;-0,085;-0,084;0,004;
2023-07-17;-0,021;-0,023;-0,021;0,045;-0,081;-0,099;-0,044;-0,049;-0,094;-0,006;-0,030;-0,103;-0,034;-0,171;-0,085;-0,086;0,004;
2023-07-18;-0,026;-0,025;-0,022;0,045;-0,079;-0,098;-0,042;-0,043;-0,089;-0,006;-0,030;-0,101;-0,031;-0,165;-0,083;-0,081;0,006;
2023-07-19;-0,025;-0,021;-0,019;0,051;-0,079;-0,090;-0,042;-0,043;-0,069;-0,005;-0,030;-0,096;-0,030;-0,160;-0,082;-0,081;0,006;
2023-07-20;-0,028;-0,023;-0,021;0,050;-0,080;-0,091;-0,043;-0,045;-0,069;-0,000;-0,029;-0,095;-0,031;-0,159;-0,082;-0,084;0,010;
2023-07-21;-0,023;-0,020;-0,019;0,053;-0,082;-0,097;-0,043;-0,045;-0,069;0,000;-0,029;-0,093;-0,031;-0,159;-0,081;-0,084;0,015;
2023-07-24;-0,026;-0,018;-0,017;0,053;-0,080;-0,095;-0,042;-0,043;-0,062;0,002;-0,029;-0,095;-0,030;-0,155;-0,081;-0,082;0,017;
2023-07-25;-0,018;-0,019;-0,015;0,052;-0,076;-0,092;-0,042;-0,044;-0,065;0,004;-0,029;-0,094;-0,031;-0,153;-0,078;-0,079;0,016;
2023-07-26;-0,021;-0,021;-0,019;0,048;-0,081;-0,094;-0,043;-0,045;-0,062;0,003;-0,029;-0,092;-0,032;-0,153;-0,079;-0,081;0,012;
2023-07-27;-0,021;-0,019;-0,012;0,055;-0,075;-0,090;-0,042;-0,044;-0,058;0,002;-0,029;-0,091;-0,030;-0,147;-0,076;-0,074;0,015;
2023-07-28;-0,005;-0,012;-0,012;0,058;-0,076;-0,093;-0,042;-0,044;-0,062;0,002;-0,029;-0,090;-0,031;-0,148;-0,077;-0,075;0,018;
2023-07-31;-0,007;-0,013;-0,012;0,058;-0,077;-0,092;-0,042;-0,045;-0,059;0,003;-0,029;-0,091;-0,032;-0,146;-0,077;-0,076;0,019;
2023-08-01;-0,007;-0,012;-0,009;0,059;-0,078;-0,094;-0,042;-0,046;-0,066;0,006;-0,029;-0,089;-0,032;-0,149;-0,078;-0,076;0,017;
2023-08-02;-0,014;-0,015;-0,011;0,058;-0,080;-0,098;-0,042;-0,046;-0,072;0,004;-0,029;-0,093;-0,032;-0,151;-0,080;-0,081;;
2023-08-03;;;;;;;;;;;;;;;;;0,014;
2023-08-04;-0,011;-0,013;-0,013;0,053;-0,086;-0,099;-0,042;-0,050;-0,067;-0,002;-0,029;-0,092;-0,034;-0,156;-0,083;-0,087;0,012;
2023-08-07;-0,018;-0,018;-0,015;0,049;-0,086;-0,101;-0,043;-0,051;-0,072;0,000;-0,029;-0,090;-0,035;-0,159;-0,083;-0,086;0,010;
2023-08-08;-0,023;-0,014;-0,009;0,058;-0,086;-0,100;-0,042;-0,048;-0,075;0,004;-0,029;-0,088;-0,033;-0,161;-0,084;-0,087;0,010;
2023-08-09;-0,019;-0,012;-0,008;0,058;-0,084;-0,099;-0,042;-0,048;-0,070;0,003;-0,029;-0,087;-0,034;-0,157;-0,081;-0,084;0,010;
2023-08-10;-0,018;-0,011;-0,008;0,059;-0,081;-0,096;-0,042;-0,049;-0,055;-0,002;-0,028;-0,088;-0,034;-0,153;-0,079;-0,081;0,009;
2023-08-11;-0,024;-0,016;-0,011;0,058;-0,084;-0,100;-0,043;-0,052;-0,060;0,004;-0,028;-0,086;-0,036;-0,158;-0,081;-0,085;0,010;
2023-08-14;-0,025;-0,012;-0,005;0,065;-0,085;-0,103;-0,043;-0,053;-0,060;0,004;-0,028;-0,085;-0,036;-0,161;-0,081;-0,085;;
2023-08-15;;;;;;;-0,044;-0,054;-0,066;;-0,028;-0,088;-0,038;-0,165;-0,083;-0,087;;
2023-08-16;-0,030;-0,014;-0,009;0,063;-0,089;-0,109;-0,043;-0,053;-0,068;0,006;-0,028;-0,088;-0,037;-0,170;-0,083;-0,087;0,008;
2023-08-17;-0,025;-0,013;-0,009;0,058;-0,096;-0,120;-0,044;-0,055;-0,077;0,007;-0,028;-0,089;-0,037;-0,175;-0,086;-0,091;0,003;
2023-08-18;-0,029;-0,016;-0,012;0,056;-0,101;-0,126;-0,043;-0,054;-0,089;0,009;-0,028;-0,092;-0,037;-0,183;-0,089;-0,095;0,003;
2023-08-21;-0,031;-0,013;-0,009;0,056;-0,102;-0,128;-0,045;-0,057;-0,096;0,010;-0,028;-0,092;-0,039;-0,185;-0,089;-0,094;0,003;
2023-08-22;-0,034;-0,015;-0,008;0,057;-0,101;-0,127;-0,044;-0,057;-0,093;0,013;-0,028;-0,092;-0,039;-0,186;-0,088;-0,094;0,004;
2023-08-23;-0,026;-0,007;-0,004;0,060;-0,100;-0,126;-0,043;-0,052;-0,085;0,016;-0,028;-0,093;-0,036;-0,185;-0,087;-0,092;0,007;
2023-08-24;-0,023;-0,006;-0,001;0,060;-0,098;-0,126;-0,042;-0,052;-0,080;0,017;-0,028;-0,087;-0,036;-0,188;-0,086;-0,091;0,004;
2023-08-25;-0,024;-0,010;-0,005;0,056;-0,099;-0,124;-0,043;-0,052;-0,083;0,017;-0,028;-0,090;-0,037;-0,188;-0,087;-0,092;;
2023-08-28;;;;;;;-0,043;-0,054;;;;;;;;;0,013;
2023-08-29;-0,020;-0,007;-0,002;0,060;-0,094;-0,121;;;-0,083;0,017;-0,027;-0,086;-0,036;-0,181;-0,085;-0,087;0,015;
2023-08-30;-0,021;-0,004;-0,003;0,061;-0,092;-0,117;-0,043;-0,051;-0,076;0,012;-0,027;-0,085;-0,036;-0,178;-0,083;-0,086;0,012;
2023-08-31;-0,024;-0,006;0,001;0,065;-0,090;-0,110;-0,041;-0,048;-0,071;0,015;-0,027;-0,080;-0,034;-0,176;-0,082;-0,084;0,014;
2023-09-01;-0,018;-0,001;0,004;0,064;-0,089;-0,109;-0,041;-0,048;-0,070;0,022;-0,027;-0,076;-0,034;-0,173;-0,082;-0,084;0,015;
2023-09-04;-0,010;0,002;0,007;0,068;-0,085;-0,103;-0,041;-0,049;-0,068;0,024;-0,027;-0,075;-0,035;-0,170;-0,080;-0,082;;
2023-09-05;;;;;;;;;;;;;;;;;0,014;
2023-09-06;-0,012;0,002;0,007;0,064;-0,087;-0,107;-0,042;-0,051;-0,071;0,027;-0,027;-0,074;-0,036;-0,171;-0,079;-0,081;0,014;
2023-09-07;-0,018;-0,000;0,005;0,063;-0,092;-0,116;-0,042;-0,052;-0,075;0,029;-0,027;-0,075;-0,037;-0,176;-0,082;-0,086;0,011;
2023-09-08;-0,018;0,000;0,005;0,062;-0,093;-0,116;-0,042;-0,052;-0,080;0,028;-0,027;-0,075;-0,036;-0,175;-0,083;-0,088;0,007;
2023-09-11;-0,021;0,000;0,005;0,059;-0,093;-0,116;-0,042;-0,052;-0,074;0,032;-0,027;-0,070;-0,036;-0,173;-0,082;-0,086;0,005;
2023-09-12;-0,021;0,000;0,005;0,061;-0,094;-0,120;-0,042;-0,052;-0,083;0,030;-0,027;-0,069;-0,036;-0,176;-0,083;-0,087;0,003;
2023-09-13;-0,020;-0,001;0,003;0,061;-0,098;-0,125;-0,042;-0,053;-0,084;0,032;-0,027;-0,068;-0,037;-0,182;-0,084;-0,089;0,001;
2023-09-14;-0,017;0,000;0,007;0,062;-0,094;-0,120;-0,041;-0,050;-0,069;0,035;-0,026;-0,065;-0,035;-0,176;-0,081;-0,086;0,008;
2023-09-15;-0,016;0,003;0,007;0,059;-0,091;-0,119;-0,042;-0,052;-0,071;0,034;-0,026;-0,063;-0,036;-0,174;-0,080;-0,082;0,006;
2023-09-18;-0,020;-0,001;0,004;0,054;-0,094;-0,123;-0,042;-0,053;-0,086;0,036;-0,026;-0,063;-0,037;-0,181;-0,080;-0,085;0,006;
2023-09-19;-0,024;-0,005;-0,000;0,050;-0,096;-0,126;-0,042;-0,053;-0,085;0,032;-0,026;-0,065;-0,037;-0,183;-0,081;-0,085;0,000;
2023-09-20;-0,024;-0,002;0,002;0,053;-0,091;-0,121;-0,042;-0,052;-0,082;0,027;-0,026;-0,066;-0,036;-0,180;-0,079;-0,080;0,002;
2023-09-21;-0,035;-0,013;-0,008;0,044;-0,093;-0,119;-0,042;-0,054;-0,077;0,029;-0,026;-0,069;-0,037;-0,179;-0,079;-0,082;-0,007;
2023-09-22;-0,027;-0,012;-0,009;0,042;-0,098;-0,125;-0,042;-0,054;-0,088;0,026;-0,026;-0,074;-0,037;-0,182;-0,082;-0,086;-0,007;
2023-09-25;-0,033;-0,018;-0,012;0,038;-0,101;-0,130;-0,043;-0,056;-0,092;0,023;-0,026;-0,077;-0,038;-0,190;-0,084;-0,090;;
2023-09-26;;;;;;;;;;;;;;;;;-0,015;
2023-09-27;-0,038;-0,026;-0,017;0,039;-0,106;-0,138;-0,043;-0,056;-0,111;0,023;-0,026;-0,083;-0,037;-0,200;-0,088;-0,094;-0,014;
2023-09-28;-0,040;-0,026;-0,020;0,038;-0,107;-0,136;-0,044;-0,061;-0,111;0,016;-0,026;-0,086;-0,040;-0,200;-0,089;-0,095;-0,014;
2023-09-29;-0,041;-0,029;-0,020;0,034;-0,099;-0,124;-0,042;-0,056;-0,101;0,016;-0,026;-0,085;-0,037;-0,192;-0,085;-0,089;-0,019;
2023-10-02;-0,040;-0,030;-0,019;0,030;-0,101;-0,126;-0,042;-0,058;-0,103;;-0,026;-0,091;-0,038;-0,195;-0,086;-0,091;-0,019;
2023-10-03;-0,038;-0,026;-0,018;0,030;-0,105;-0,132;-0,043;-0,059;-0,115;0,022;-0,026;-0,092;-0,039;-0,203;-0,088;-0,094;;
2023-10-06;;;;;;;;;;;;;;;;;;
2023-10-09;;;;;;;;;;;;;;;;;-0,015;
2023-10-10;-0,037;-0,023;-0,015;0,027;-0,100;-0,126;-0,041;-0,053;-0,103;0,017;-0,025;-0,094;-0,037;-0,193;-0,084;-0,085;-0,012;
2023-10-11;-0,036;-0,021;-0,013;0,027;-0,097;-0,125;-0,040;-0,050;-0,097;0,019;-0,025;-0,090;-0,035;-0,191;-0,082;-0,083;;
2023-10-12;;;;;;;;;;;;;;;;;-0,013;
2023-10-13;-0,033;-0,016;-0,006;0,019;-0,099;-0,132;-0,041;-0,051;-0,104;0,023;-0,025;-0,094;-0,035;-0,196;-0,082;-0,082;-0,020;
2023-10-16;-0,036;-0,017;-0,009;0,020;-0,101;-0,135;-0,041;-0,054;-0,105;0,021;-0,025;-0,097;-0,036;-0,197;-0,082;-0,083;-0,017;
2023-10-17;-0,040;-0,021;-0,012;0,024;-0,108;-0,145;-0,042;-0,057;-0,118;0,022;-0,025;-0,099;-0,038;-0,204;-0,087;-0,090;-0,020;
2023-10-18;-0,041;-0,021;-0,011;0,024;-0,111;-0,147;-0,042;-0,057;-0,121;0,021;-0,025;-0,099;-0,038;-0,205;-0,088;-0,092;-0,029;
2023-10-19;-0,039;-0,020;-0,013;0,020;-0,116;-0,152;-0,043;-0,057;-0,132;0,020;-0,025;-0,105;-0,038;-0,212;-0,091;-0,095;-0,029;
2023-10-20;-0,042;-0,026;-0,018;0,015;-0,121;-0,156;-0,042;-0,057;-0,129;0,019;-0,025;-0,114;-0,038;-0,214;-0,094;-0,101;-0,037;
2023-10-23;-0,048;-0,031;-0,023;0,014;-0,129;-0,165;-0,042;-0,058;-0,139;0,016;-0,025;-0,114;-0,039;-0,223;-0,097;-0,106;-0,039;
2023-10-24;-0,046;-0,030;-0,020;0,016;-0,124;-0,157;-0,042;-0,056;-0,134;;-0,025;-0,108;-0,037;-0,217;-0,097;-0,106;-0,039;
2023-10-25;-0,040;-0,026;-0,018;0,012;-0,127;-0,165;-0,042;-0,057;-0,149;0,016;-0,024;-0,110;-0,038;-0,225;-0,098;-0,108;;
2023-10-26;;;;;;;;;;;;;;;;;-0,034;
2023-10-27;-0,042;-0,030;-0,023;0,003;-0,124;-0,161;-0,041;-0,054;-0,138;0,015;-0,024;-0,113;-0,037;-0,224;-0,096;-0,106;;
2023-10-30;;;;;;;;;;;;;;;;;-0,038;
2023-10-31;-0,045;-0,027;-0,018;0,002;-0,115;-0,146;-0,039;-0,051;-0,120;0,013;-0,024;-0,111;-0,035;-0,213;-0,092;-0,100;;
2023-11-01;;;;;;;-0,039;-0,050;-0,122;0,014;-0,024;-0,104;-0,035;-0,215;-0,093;-0,101;;
2023-11-02;-0,034;-0,012;-0,006;0,010;-0,102;-0,129;-0,038;-0,047;-0,095;0,015;-0,024;-0,096;-0,033;-0,202;-0,087;-0,092;;
2023-11-03;;;;;;;;;;;;;;;;;-0,020;
2023-11-06;-0,029;-0,017;-0,009;0,011;-0,101;-0,128;-0,038;-0,045;-0,091;0,011;-0,024;-0,098;-0,032;-0,201;-0,088;-0,093;-0,027;
2023-11-07;-0,030;-0,014;-0,006;0,013;-0,100;-0,126;-0,037;-0,043;-0,085;0,013;-0,024;-0,097;-0,031;-0,203;-0,088;-0,095;-0,025;
2023-11-08;-0,030;-0,011;-0,004;0,014;-0,099;-0,126;-0,037;-0,044;-0,089;0,014;-0,024;-0,096;-0,032;-0,201;-0,086;-0,092;-0,025;
2023-11-09;-0,034;-0,013;-0,007;0,005;-0,094;-0,119;-0,037;-0,045;-0,081;0,009;-0,024;-0,095;-0,032;-0,193;-0,084;-0,089;-0,023;
2023-11-10;-0,037;-0,016;-0,008;-0,003;-0,099;-0,124;-0,038;-0,047;-0,087;0,012;-0,024;-0,097;-0,033;-0,197;-0,086;-0,093;-0,021;
2023-11-13;-0,035;-0,015;-0,006;0,001;-0,099;-0,127;-0,038;-0,047;-0,087;0,011;-0,023;-0,097;-0,033;-0,199;-0,086;-0,093;-0,021;
2023-11-14;-0,030;-0,008;-0,006;0,011;-0,086;-0,106;-0,036;-0,041;-0,057;;-0,023;-0,091;-0,030;-0,184;-0,080;-0,085;-0,013;
2023-11-15;-0,035;-0,016;-0,007;0,007;-0,080;-0,099;-0,036;-0,041;-0,056;0,005;-0,023;-0,088;-0,030;-0,185;-0,078;-0,080;;
2023-11-16;;;;;;;;;;;;;;;;;-0,020;
2023-11-17;-0,039;-0,011;-0,005;0,007;-0,079;-0,100;-0,035;-0,038;-0,055;0,007;-0,023;;-0,028;-0,183;-0,076;-0,077;-0,017;
2023-11-20;-0,039;-0,014;-0,009;0,009;-0,075;-0,096;-0,035;-0,037;-0,051;0,002;-0,023;;-0,028;-0,179;-0,075;-0,076;-0,019;
2023-11-21;-0,043;-0,016;-0,010;0,006;-0,077;-0,101;-0,034;-0,035;-0,060;0,002;-0,023;;-0,027;-0,180;-0,076;-0,078;-0,021;
2023-11-22;-0,041;-0,011;-0,004;0,014;-0,074;-0,096;;;-0,052;0,005;-0,023;;-0,028;-0,179;-0,074;-0,074;-0,016;
2023-11-23;-0,041;-0,011;-0,004;0,014;-0,073;-0,095;-0,035;-0,038;-0,048;0,005;-0,023;-0,083;-0,029;-0,174;-0,072;-0,072;-0,017;
2023-11-24;-0,044;-0,011;-0,005;0,015;-0,073;-0,095;-0,035;-0,038;-0,046;0,003;-0,023;-0,081;-0,029;-0,174;-0,072;-0,072;-0,016;
2023-11-27;-0,046;-0,013;-0,006;0,012;-0,072;-0,095;-0,034;-0,034;-0,042;;-0,023;-0,083;-0,027;-0,172;-0,072;-0,071;-0,018;
2023-11-28;-0,044;-0,015;-0,009;0,005;-0,076;-0,100;-0,033;-0,033;-0,048;0,000;-0,023;-0,084;-0,027;-0,173;-0,073;-0,074;-0,021;
2023-11-29;-0,047;-0,016;-0,008;0,011;-0,073;-0,096;-0,031;-0,029;-0,042;0,002;-0,022;;-0,024;-0,169;-0,071;-0,070;;
2023-11-30;;;;;;;;;;;;;;;;;-0,015;
2023-12-01;-0,045;-0,013;-0,004;0,016;-0,071;-0,099;-0,029;-0,026;-0,045;0,011;-0,022;-0,072;-0,024;-0,168;-0,069;-0,068;-0,009;
2023-12-04;-0,047;-0,015;-0,007;0,020;-0,070;-0,099;-0,028;-0,021;-0,038;0,016;-0,022;-0,072;-0,022;-0,167;-0,069;-0,067;-0,013;
2023-12-05;-0,052;-0,017;-0,009;0,017;-0,068;-0,096;-0,027;-0,019;-0,028;0,018;-0,022;-0,073;-0,019;-0,166;-0,067;-0,066;-0,014;
2023-12-06;-0,048;-0,012;-0,005;0,020;-0,062;-0,091;-0,027;-0,018;-0,021;0,018;-0,022;-0,069;-0,019;-0,166;-0,065;-0,062;-0,009;
2023-12-07;-0,051;-0,014;-0,007;0,017;-0,063;-0,091;-0,027;-0,017;-0,017;0,019;-0,022;-0,071;-0,018;-0,166;-0,065;-0,062;-0,010;
2023-12-08;-0,052;-0,015;-0,006;0,016;-0,058;-0,086;-0,027;-0,018;-0,021;0,019;-0,022;-0,069;-0,019;-0,162;-0,063;-0,060;-0,009;
2023-12-11;-0,049;-0,011;-0,003;0,016;-0,054;-0,085;-0,027;-0,018;-0,017;0,022;-0,022;-0,067;-0,019;-0,161;-0,062;-0,057;;
2023-12-12;;;;;;;;;;;;;;;;;-0,003;
2023-12-13;-0,049;-0,008;-0,000;0,025;-0,056;-0,090;-0,026;-0,014;-0,020;0,018;-0,022;-0,068;-0,017;-0,163;-0,062;-0,059;0,000;
2023-12-14;-0,045;-0,009;-0,007;0,031;-0,046;-0,072;-0,024;-0,010;0,012;0,013;-0,022;-0,060;-0,015;-0,149;-0,058;-0,053;-0,001;
2023-12-15;-0,046;-0,010;-0,002;0,030;-0,043;-0,068;-0,023;-0,006;0,009;0,019;-0,021;-0,056;-0,013;-0,145;-0,057;-0,050;0,002;
2023-12-18;-0,045;-0,010;-0,003;0,028;-0,046;-0,072;-0,023;-0,007;0,007;0,016;-0,021;-0,057;-0,012;-0,148;-0,057;-0,051;-0,002;
2023-12-19;-0,046;-0,009;-0,004;0,029;-0,043;-0,067;-0,023;-0,004;0,011;0,015;-0,021;-0,055;-0,011;-0,142;-0,056;-0,049;-0,001;
2023-12-20;-0,049;-0,010;-0,003;0,027;-0,043;-0,066;-0,022;-0,003;0,013;0,010;-0,021;-0,055;-0,010;-0,143;-0,056;-0,048;-0,005;
2023-12-21;-0,047;-0,010;-0,005;0,027;-0,048;-0,072;-0,022;-0,004;0,009;0,008;-0,021;-0,060;-0,010;-0,147;-0,058;-0,052;-0,004;
2023-12-22;-0,052;-0,012;-0,007;0,029;-0,045;-0,067;-0,022;-0,005;0,018;0,006;-0,021;-0,063;-0,011;-0,141;-0,056;-0,049;-0,002;
2023-12-27;-0,053;-0,014;-0,009;0,027;-0,044;-0,066;;;0,017;0,011;-0,021;-0,060;-0,009;-0,139;-0,055;-0,048;-0,004;
2023-12-28;-0,049;-0,014;-0,007;0,031;-0,043;-0,062;-0,021;-0,004;0,022;0,013;-0,021;-0,059;-0,010;-0,138;-0,054;-0,047;-0,004;
2023-12-29;-0,045;-0,011;-0,005;0,032;-0,041;-0,059;-0,022;-0,006;0,024;0,017;-0,021;-0,056;-0,011;-0,137;-0,054;-0,046;-0,001;
2024-01-02;-0,047;-0,013;-0,003;0,039;-0,045;-0,065;-0,022;-0,006;0,018;0,020;-0,021;-0,059;-0,011;-0,140;-0,053;-0,046;-0,001;
2024-01-03;-0,047;-0,013;-0,004;0,034;-0,055;-0,078;-0,022;-0,005;0,010;0,022;-0,020;-0,062;-0,011;-0,147;-0,058;-0,054;;
2024-01-04;;;;;;;;;;;;;;;;;-0,006;
