
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;c worldwide asia 1a;c worldwide global equities 1a;c worldwide global equities ethical 1a;c worldwide healthcare select 1a;c worldwide sweden 1a;c worldwide sweden small cap 1a;captor dahlia green bond a;captor iris bond a;carnegie fastighetsfond norden a;carnegie indienfond a;carnegie likviditetsfond a;carnegie listed private equity a;carnegie obligationsfond a;carnegie småbolagsfond a;carnegie strategifond a;carnegie sverigefond a;cb save earth fund rc;
2022-11-17;-0,047;-0,073;-0,073;0,006;-0,114;-0,136;-0,050;-0,038;-0,063;-0,022;-0,040;-0,151;-0,026;-0,221;-0,116;-0,124;;
2022-11-18;;;;;;;;;;;;;;;;;-0,015;
2022-11-21;-0,041;-0,063;-0,065;0,016;-0,106;-0,126;-0,048;-0,036;-0,058;-0,023;-0,040;-0,143;-0,025;-0,218;-0,112;-0,118;-0,014;
2022-11-22;-0,045;-0,063;-0,065;0,011;-0,106;-0,127;-0,048;-0,037;-0,056;-0,021;-0,040;-0,142;-0,025;-0,221;-0,111;-0,117;-0,012;
2022-11-23;-0,043;-0,058;-0,062;0,017;-0,104;-0,126;-0,048;-0,035;-0,060;-0,029;-0,040;-0,145;-0,024;-0,217;-0,110;-0,116;-0,011;
2022-11-24;-0,045;-0,062;-0,064;0,012;-0,104;-0,121;-0,046;-0,032;-0,048;-0,029;-0,040;-0,144;-0,022;-0,211;-0,110;-0,115;-0,014;
2022-11-25;-0,052;-0,065;-0,065;0,010;-0,104;-0,124;-0,048;-0,037;-0,049;-0,026;-0,040;-0,144;-0,024;-0,207;-0,108;-0,113;-0,015;
2022-11-28;-0,056;-0,067;-0,069;0,012;-0,108;-0,125;-0,048;-0,036;-0,049;-0,024;-0,040;-0,146;-0,025;-0,207;-0,110;-0,116;;
2022-11-29;;;;;;;;;;;;;;;;;-0,023;
2022-11-30;-0,031;-0,062;-0,066;0,021;-0,109;-0,128;-0,047;-0,035;-0,057;-0,014;-0,040;-0,146;-0,024;-0,205;-0,110;-0,116;-0,013;
2022-12-01;-0,026;-0,052;-0,058;0,031;-0,104;-0,120;-0,043;-0,030;-0,057;-0,021;-0,040;-0,141;-0,020;-0,198;-0,107;-0,111;-0,011;
2022-12-02;-0,036;-0,065;-0,065;0,028;-0,101;-0,118;-0,044;-0,031;-0,047;-0,020;-0,040;-0,142;-0,021;-0,198;-0,106;-0,109;-0,012;
2022-12-05;-0,028;-0,064;-0,067;0,025;-0,098;-0,112;-0,044;-0,032;-0,039;-0,025;-0,040;-0,147;-0,021;-0,195;-0,104;-0,109;-0,016;
2022-12-06;-0,031;-0,067;-0,069;0,024;-0,103;-0,119;-0,043;-0,029;-0,041;-0,028;-0,040;-0,155;-0,020;-0,199;-0,106;-0,112;-0,019;
2022-12-07;-0,037;-0,070;-0,075;0,022;-0,111;-0,127;-0,042;-0,027;-0,048;-0,030;-0,040;-0,162;-0,019;-0,204;-0,110;-0,117;-0,021;
2022-12-08;-0,031;-0,070;-0,073;0,027;-0,113;-0,129;-0,042;-0,027;-0,048;-0,030;-0,040;-0,161;-0,019;-0,210;-0,110;-0,118;-0,021;
2022-12-09;-0,030;-0,069;-0,069;0,027;-0,105;-0,120;-0,042;-0,027;-0,041;-0,032;-0,039;-0,161;-0,018;-0,204;-0,106;-0,112;-0,019;
2022-12-12;-0,035;-0,068;-0,071;0,026;-0,107;-0,119;-0,042;-0,026;-0,040;-0,035;-0,039;-0,165;-0,018;-0,206;-0,108;-0,115;;
2022-12-13;;;;;;;;;;;;;;;;;-0,015;
2022-12-14;-0,035;-0,062;-0,064;0,027;-0,096;-0,104;-0,041;-0,025;-0,019;-0,036;-0,039;-0,154;-0,019;-0,190;-0,102;-0,106;-0,018;
2022-12-15;-0,044;-0,072;-0,076;0,019;-0,109;-0,120;-0,044;-0,031;-0,028;-0,043;-0,039;-0,165;-0,022;-0,196;-0,109;-0,117;-0,029;
2022-12-16;-0,038;-0,072;-0,073;0,023;-0,115;-0,128;-0,047;-0,038;-0,047;-0,041;-0,039;-0,168;-0,026;-0,208;-0,112;-0,123;-0,031;
2022-12-19;-0,040;-0,076;-0,076;0,018;-0,119;-0,135;-0,047;-0,038;-0,063;-0,036;-0,039;-0,171;-0,026;-0,215;-0,113;-0,126;-0,033;
2022-12-20;-0,041;-0,077;-0,079;0,018;-0,124;-0,139;-0,049;-0,041;-0,067;-0,036;-0,039;-0,172;-0,028;-0,219;-0,114;-0,128;-0,035;
2022-12-21;-0,042;-0,075;-0,075;0,025;-0,120;-0,136;-0,049;-0,044;-0,055;-0,042;-0,039;-0,168;-0,029;-0,219;-0,112;-0,124;-0,027;
2022-12-22;-0,042;-0,077;-0,078;0,024;-0,122;-0,138;-0,050;-0,047;-0,053;-0,042;-0,039;-0,169;-0,031;-0,219;-0,112;-0,126;-0,034;
2022-12-23;-0,042;-0,077;-0,079;0,025;-0,122;-0,137;-0,051;-0,048;-0,046;-0,047;-0,039;-0,168;-0,032;-0,216;-0,111;-0,124;-0,029;
2022-12-27;-0,038;-0,075;-0,076;0,022;-0,119;-0,133;-0,052;-0,052;-0,050;-0,041;-0,039;-0,168;-0,034;-0,212;-0,109;-0,122;-0,027;
2022-12-28;-0,036;-0,074;-0,076;0,021;-0,119;-0,133;-0,052;-0,051;-0,046;-0,043;-0,039;-0,171;-0,034;-0,213;-0,109;-0,123;-0,030;
2022-12-29;-0,035;-0,073;-0,075;0,026;-0,115;-0,127;-0,052;-0,050;-0,045;-0,039;-0,039;-0,167;-0,033;-0,207;-0,108;-0,120;-0,023;
2022-12-30;-0,038;-0,075;-0,078;0,023;-0,117;-0,127;-0,052;-0,051;-0,044;-0,042;-0,039;-0,167;-0,034;-0,208;-0,109;-0,122;-0,030;
2023-01-02;-0,036;-0,073;-0,074;0,029;-0,117;-0,125;;;-0,038;-0,039;-0,039;;-0,032;-0,204;-0,108;-0,121;-0,027;
2023-01-03;-0,030;-0,067;-0,069;0,033;-0,112;-0,118;-0,050;-0,046;-0,027;-0,037;-0,039;-0,158;-0,031;-0,199;-0,105;-0,115;-0,025;
2023-01-04;-0,024;-0,067;-0,069;0,031;-0,109;-0,119;-0,048;-0,042;-0,022;-0,040;-0,039;-0,155;-0,028;-0,198;-0,102;-0,110;-0,021;
2023-01-05;-0,021;-0,071;-0,069;0,033;-0,106;-0,117;-0,048;-0,042;-0,024;-0,035;-0,039;-0,153;-0,028;-0,195;-0,100;-0,107;-0,024;
2023-01-09;-0,006;-0,062;-0,063;0,032;-0,098;-0,110;-0,047;-0,039;-0,020;-0,043;-0,038;-0,151;-0,027;-0,192;-0,095;-0,099;-0,014;
2023-01-10;-0,011;-0,067;-0,067;0,030;-0,097;-0,110;-0,046;-0,038;-0,013;-0,044;-0,038;-0,150;-0,026;-0,192;-0,096;-0,100;-0,015;
2023-01-11;-0,007;-0,059;-0,061;0,034;-0,093;-0,107;-0,044;-0,032;0,000;-0,044;-0,038;-0,141;-0,022;-0,189;-0,091;-0,095;-0,008;
2023-01-12;-0,006;-0,054;-0,056;0,035;-0,088;-0,098;-0,043;-0,029;0,011;-0,041;-0,038;-0,138;-0,020;-0,185;-0,087;-0,090;-0,006;
2023-01-13;-0,004;-0,055;-0,055;0,043;-0,089;-0,099;-0,042;-0,030;0,007;-0,043;-0,038;-0,137;-0,021;-0,185;-0,089;-0,093;-0,005;
2023-01-16;0,000;-0,051;-0,053;0,045;-0,086;-0,093;-0,043;-0,031;0,021;-0,045;-0,038;-0,131;-0,023;-0,181;-0,086;-0,090;-0,004;
2023-01-17;-0,002;-0,050;-0,052;0,043;-0,086;-0,094;-0,041;-0,027;0,015;-0,044;-0,038;-0,133;-0,022;-0,182;-0,088;-0,092;-0,002;
2023-01-18;-0,003;-0,050;-0,051;0,044;-0,080;-0,081;-0,040;-0,025;0,021;-0,046;-0,038;-0,136;-0,019;-0,173;-0,085;-0,087;-0,009;
2023-01-19;-0,006;-0,058;-0,059;0,032;-0,090;-0,093;-0,041;-0,028;0,007;-0,044;-0,038;-0,145;-0,021;-0,182;-0,090;-0,095;-0,018;
2023-01-20;-0,001;-0,057;-0,057;0,035;-0,093;-0,097;-0,042;-0,031;0,002;-0,045;-0,038;-0,144;-0,023;-0,178;-0,090;-0,097;-0,013;
