
# ;[dnb health care s][dnb health care a];[dnb smb s][dnb smb a];[dnb teknologi s][dnb teknologi a];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;dnb health care s;dnb smb s;dnb teknologi s;east capital global emerging markets sustainable a;east capital global frontier markets a;enter cross credit a;enter select a;evli emerging markets credit placeringsfonden b;evli finland select placeringsfonden b;evli gem placeringsfonden b;evli global placeringsfonden b;evli high yield placeringsfonden b;evli likviditet placeringsfonden b;evli short corporate bond placeringsfonden b;evli sverige aktieindex b;evli sverige småbolag;fidelity - america fund a;
2024-05-21;0,074;0,021;-0,002;0,016;0,024;-0,017;0,028;0,010;0,032;0,060;0,051;-0,027;-0,016;0,004;0,024;0,024;0,054;
2024-05-22;0,076;0,019;0,001;0,018;0,026;-0,017;0,029;0,010;0,031;0,062;0,050;-0,027;-0,016;0,004;0,025;0,025;0,053;
2024-05-23;0,072;0,024;-0,001;0,016;0,027;-0,017;0,028;0,009;0,031;0,063;0,050;-0,027;-0,016;0,003;0,026;0,025;0,051;
2024-05-24;0,068;0,025;-0,001;0,012;0,023;-0,017;0,027;0,009;0,031;0,061;0,050;-0,027;-0,016;0,004;0,023;0,026;0,050;
2024-05-27;;;;0,015;;-0,017;0,027;;;;;;;;;;0,047;
2024-05-28;0,058;0,029;-0,003;;;;;0,004;0,025;0,056;0,043;-0,026;-0,016;-0,001;0,022;0,023;;
2024-05-29;0,058;0,029;-0,003;0,010;0,022;-0,017;0,017;0,003;0,018;0,056;0,042;-0,027;-0,015;-0,001;0,016;0,019;0,039;
2024-05-30;0,057;0,032;-0,007;0,005;0,020;-0,017;0,019;0,005;0,020;0,052;0,042;-0,027;-0,015;-0,000;0,018;0,021;0,037;
2024-05-31;;;;-0,002;0,019;-0,017;0,022;;;;;;;;;;0,036;
2024-06-03;0,059;0,026;-0,009;;;;;0,001;0,019;0,047;0,040;-0,026;-0,015;-0,004;0,021;0,024;;
2024-06-04;0,062;0,013;-0,008;-0,006;0,018;-0,016;0,019;0,000;0,013;0,037;0,039;-0,026;-0,015;-0,005;0,017;0,021;0,032;
2024-06-05;0,064;0,016;-0,002;-0,004;0,014;-0,016;0,023;-0,000;0,014;0,036;0,040;-0,026;-0,015;-0,006;0,021;0,023;0,033;
2024-06-07;;;;0,005;0,025;-0,016;0,023;-0,002;0,011;0,040;0,042;-0,025;-0,015;-0,008;0,023;0,022;0,036;
2024-06-10;0,069;0,017;0,001;0,005;0,025;-0,016;0,020;0,001;0,013;;0,039;-0,026;-0,015;-0,005;0,019;0,022;0,039;
2024-06-11;0,068;0,011;0,001;0,001;0,020;;;-0,002;0,006;0,039;0,036;-0,026;-0,015;-0,008;0,017;0,022;0,036;
2024-06-12;0,061;0,015;-0,001;-0,003;0,018;-0,016;0,028;-0,002;0,010;0,035;0,034;-0,025;-0,015;-0,009;0,024;0,031;0,033;
2024-06-13;0,066;0,014;0,002;0,006;0,024;-0,015;0,022;-0,004;0,004;0,040;0,037;-0,025;-0,015;-0,009;0,017;0,025;0,029;
2024-06-14;0,069;0,010;0,003;0,012;0,028;-0,015;0,016;-0,000;0,001;0,045;0,033;-0,026;-0,015;-0,007;0,013;0,018;0,034;
2024-06-17;0,066;0,007;0,004;0,010;0,024;-0,015;0,015;-0,001;0,001;;0,034;-0,027;-0,014;-0,007;0,012;0,017;0,034;
2024-06-18;0,064;0,009;0,003;0,010;0,024;-0,015;0,015;-0,003;0,002;0,046;0,034;-0,026;-0,014;-0,009;0,013;0,017;0,036;
2024-06-19;;0,009;;0,015;0,025;-0,015;0,013;;-0,003;0,047;;-0,026;-0,014;-0,010;0,011;0,015;0,033;
2024-06-20;0,067;0,012;0,002;0,014;0,026;-0,015;0,018;-0,003;0,002;0,049;0,036;-0,025;-0,014;-0,009;0,015;0,019;0,037;
2024-06-24;;;;0,013;0,026;-0,015;0,020;;;;;;;;;;0,043;
2024-06-25;0,072;0,008;0,006;;;;;-0,002;0,001;0,048;0,034;-0,025;-0,014;-0,009;0,012;0,011;;
2024-06-26;0,073;0,009;0,008;0,019;0,031;-0,015;0,015;-0,001;-0,002;0,049;0,036;-0,025;-0,014;-0,007;0,014;0,009;0,042;
2024-06-27;0,075;0,019;0,013;0,017;0,031;-0,015;0,015;0,001;0,003;0,050;0,038;-0,025;-0,014;-0,004;0,012;0,013;0,045;
2024-06-28;0,074;0,023;0,011;0,018;0,031;-0,015;0,017;0,003;0,001;0,053;0,036;-0,025;-0,014;-0,003;0,014;0,013;0,049;
2024-07-01;0,073;0,022;0,016;0,017;0,030;-0,015;0,019;0,002;0,007;0,053;0,036;-0,024;-0,014;-0,003;0,017;0,015;0,046;
2024-07-02;0,071;0,021;0,017;0,015;0,031;-0,014;0,016;0,004;0,007;0,053;0,035;-0,024;-0,014;-0,000;0,011;0,013;0,048;
2024-07-03;0,063;0,024;0,015;0,014;0,031;-0,014;0,018;0,002;0,006;0,054;0,035;-0,024;-0,014;-0,002;0,013;0,016;0,044;
2024-07-04;;0,020;;0,018;0,036;-0,014;0,021;;0,006;0,057;;-0,024;-0,013;-0,004;0,014;0,018;0,042;
2024-07-05;;;;0,016;0,039;-0,014;0,021;0,003;0,005;0,058;0,035;-0,023;-0,013;-0,003;0,012;0,020;0,042;
2024-07-08;0,070;0,020;0,024;0,018;0,037;-0,014;0,022;0,004;0,004;0,057;0,039;-0,023;-0,013;-0,002;0,013;0,022;0,044;
2024-07-09;0,072;0,019;0,024;0,022;0,038;-0,014;0,018;0,007;0,002;0,059;0,034;-0,023;-0,013;0,001;0,008;0,021;0,047;
2024-07-10;0,076;0,015;0,027;0,023;0,037;-0,014;0,019;0,006;0,004;0,056;0,038;-0,023;-0,013;0,000;0,010;0,020;0,046;
2024-07-11;0,077;0,013;0,020;0,024;0,035;-0,014;0,024;0,007;0,007;0,061;0,046;-0,022;-0,013;0,001;0,015;0,024;0,050;
2024-07-12;;;;0,027;0,041;-0,014;0,033;;;;;;;;;;0,052;
2024-07-18;;;;;;;;;;;;;;;;;;
2024-07-19;0,084;0,024;0,014;;;;;0,015;0,004;0,052;0,061;-0,021;-0,012;0,008;0,014;0,034;;
2024-07-22;0,089;0,024;0,022;0,015;0,046;-0,013;0,028;0,015;0,010;0,051;0,066;-0,021;-0,012;0,008;0,018;0,039;0,060;
2024-07-23;0,090;0,024;0,023;0,023;0,046;-0,013;0,027;0,019;0,012;0,053;0,068;-0,021;-0,012;0,012;0,019;0,034;0,064;
2024-07-24;0,092;0,023;0,015;0,022;0,049;-0,013;0,023;0,019;0,005;0,054;0,063;-0,020;-0,012;0,013;0,014;0,030;0,061;
2024-07-25;;;;0,018;0,045;-0,013;0,019;;;;;;;;;;0,064;
2024-07-26;0,093;0,021;0,015;;;;;0,021;0,010;0,053;0,070;-0,020;-0,012;0,014;0,016;0,033;;
2024-07-29;0,095;0,026;0,016;0,020;0,051;-0,013;0,023;0,021;0,013;0,054;0,069;-0,020;-0,012;0,015;0,016;0,033;0,072;
2024-07-30;0,095;0,025;0,013;0,017;0,051;-0,013;0,026;0,020;0,015;0,052;0,069;-0,020;-0,012;0,014;0,018;0,034;0,073;
2024-07-31;0,091;0,026;0,019;0,018;0,047;-0,013;0,028;;0,013;0,053;0,071;-0,019;-0,012;0,012;0,021;0,035;0,073;
2024-08-01;0,096;0,025;0,013;0,019;0,042;-0,012;0,018;0,016;0,007;0,050;0,063;-0,019;-0,011;0,009;0,010;0,028;0,067;
2024-08-02;;;;0,002;0,035;-0,012;0,003;;;;;;;;;;0,053;
2024-08-05;0,077;-0,022;-0,023;;;;;0,017;-0,016;0,012;0,032;-0,022;-0,011;0,008;-0,014;0,004;;
2024-08-06;0,080;-0,011;-0,020;-0,009;0,026;-0,013;-0,009;0,014;-0,018;0,013;0,035;-0,021;-0,011;0,005;-0,015;0,006;0,045;
2024-08-07;0,071;0,000;-0,022;-0,003;0,026;-0,012;-0,000;0,011;-0,011;0,020;0,032;-0,020;-0,011;0,003;-0,008;0,014;0,044;
2024-08-08;0,082;-0,001;-0,011;-0,002;0,026;-0,012;0,000;0,011;-0,006;0,019;0,038;-0,020;-0,011;0,003;-0,007;0,012;0,041;
2024-08-09;0,084;0,000;-0,009;0,004;0,029;-0,012;0,002;0,014;-0,003;0,025;0,041;-0,019;-0,011;0,006;-0,005;0,018;0,043;
2024-08-12;0,083;0,006;-0,007;0,007;0,031;-0,012;0,003;0,014;-0,002;0,028;0,039;-0,019;-0,011;0,006;-0,005;0,016;0,044;
2024-08-13;;;;0,007;0,031;-0,012;0,004;;;;;;;;;;0,043;
2024-08-14;0,085;0,011;-0,002;0,007;0,031;;;0,016;0,004;0,028;0,042;-0,018;-0,011;0,007;0,001;0,018;0,043;
2024-08-15;0,091;0,015;0,009;;;-0,012;0,012;0,018;0,009;0,030;0,049;-0,018;-0,011;0,008;0,006;0,022;;
2024-08-16;0,091;0,013;0,012;0,021;0,038;-0,012;0,013;0,019;0,010;0,035;0,051;-0,018;-0,011;0,009;0,008;0,023;0,052;
2024-08-19;0,087;0,012;0,009;0,021;0,038;-0,011;0,015;0,018;0,013;0,036;0,049;-0,017;-0,011;0,008;0,009;0,025;0,051;
2024-08-20;0,085;0,008;0,006;0,016;0,035;-0,011;0,014;0,015;0,007;0,030;0,044;-0,017;-0,011;0,004;0,007;0,024;0,045;
2024-08-21;0,085;0,008;0,007;0,015;0,035;-0,011;0,013;0,014;0,008;0,026;0,048;-0,017;-0,011;0,003;0,006;0,023;0,042;
2024-08-22;;;;0,013;0,037;-0,011;0,016;;;;;;;;;;0,043;
2024-08-27;0,085;0,011;0,003;;;;;0,016;0,012;0,027;0,055;-0,016;-0,010;0,004;0,012;0,030;;
2024-08-28;;;;0,013;0,038;-0,011;0,020;0,014;0,009;0,024;0,054;-0,015;-0,010;0,002;0,013;0,031;0,045;
2024-08-29;0,089;0,017;0,006;0,014;0,037;-0,011;0,023;0,013;0,014;0,024;0,057;-0,015;-0,010;0,001;0,017;0,032;0,048;
2024-08-30;0,090;0,017;0,010;0,019;0,041;-0,011;0,024;0,013;0,015;0,027;0,060;-0,015;-0,010;0,002;0,018;0,034;0,047;
2024-09-02;;0,012;;;0,039;-0,010;0,023;;0,016;0,026;;-0,015;-0,010;0,002;0,017;0,033;0,050;
2024-09-03;0,091;-0,002;0,001;0,016;0,036;-0,010;0,017;0,015;0,012;0,025;0,055;-0,015;-0,010;0,003;0,013;0,025;0,049;
2024-09-04;;;;0,011;0,036;-0,010;0,013;;;;;;;;;;0,045;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;0,071;0,012;0,015;;;;;0,016;0,011;0,037;0,055;-0,010;-0,008;0,006;0,015;0,016;;
2024-10-11;0,074;0,012;0,015;0,053;0,029;-0,008;0,025;0,017;0,014;0,039;0,056;-0,009;-0,008;0,007;0,017;0,020;0,054;
2024-10-14;0,078;0,010;0,020;0,058;0,032;-0,008;0,027;;0,012;0,039;0,060;-0,009;-0,008;0,007;0,019;0,020;0,056;
2024-10-15;0,072;0,003;0,020;0,054;0,027;-0,008;0,023;0,017;0,008;0,033;0,062;-0,008;-0,008;0,007;0,015;0,022;0,058;
2024-10-16;0,078;0,002;0,023;0,057;0,033;-0,008;0,022;0,017;0,007;0,035;0,067;-0,008;-0,008;0,007;0,016;0,019;0,059;
2024-10-17;0,080;0,004;0,025;0,055;0,033;-0,008;0,023;0,020;0,012;0,037;0,069;-0,008;-0,008;0,010;0,017;0,021;0,061;
2024-10-18;0,083;0,003;0,028;0,063;0,036;-0,008;0,025;0,018;0,015;0,037;0,067;-0,008;-0,007;0,009;0,019;0,022;0,057;
2024-10-21;0,079;0,003;0,029;0,060;0,038;-0,008;0,021;0,019;0,015;0,041;0,063;-0,007;-0,007;0,010;0,016;0,018;0,058;
2024-10-22;0,078;0,002;0,028;0,056;0,035;-0,007;0,019;0,017;0,012;0,039;0,058;-0,008;-0,007;0,009;0,015;0,014;0,056;
2024-10-23;0,079;-0,001;0,028;0,060;0,039;-0,007;0,019;0,016;0,010;0,039;0,057;-0,008;-0,007;0,009;0,016;0,013;0,057;
2024-10-24;0,077;-0,000;0,028;0,055;0,035;-0,007;0,016;0,017;0,009;0,036;0,058;-0,008;-0,007;0,010;0,016;0,009;0,057;
2024-10-25;;;;0,055;0,037;-0,007;0,019;;;;;;;;;;0,059;
2024-10-28;0,076;0,005;0,036;;;;;0,018;0,015;0,038;0,064;-0,007;-0,007;0,012;0,024;0,020;;
2024-10-29;0,076;0,007;0,039;0,061;0,041;-0,007;0,022;0,020;0,012;0,039;0,062;-0,007;-0,007;0,014;0,021;0,016;0,061;
2024-10-30;0,076;0,008;0,038;0,059;0,043;-0,007;0,015;0,021;0,007;0,036;0,062;-0,007;-0,007;0,014;0,016;0,012;0,059;
2024-10-31;0,073;0,003;0,030;0,060;0,044;-0,007;0,010;0,022;0,004;0,038;0,058;-0,008;-0,007;0,016;0,010;0,010;0,060;
2024-11-01;0,078;0,003;0,034;;;-0,007;0,011;0,023;0,008;0,040;0,062;-0,007;-0,007;0,017;;;0,061;
2024-11-04;;;;0,063;0,045;-0,007;0,014;;;;;;;;;;0,057;
2024-11-05;0,075;0,002;0,035;;;;;0,024;0,008;0,040;0,066;-0,007;-0,007;0,018;0,016;0,011;;
2024-11-06;0,076;0,000;0,045;0,068;0,052;-0,006;0,012;0,024;0,004;0,046;0,077;-0,007;-0,006;0,020;0,012;0,005;0,084;
2024-11-07;;;;0,069;0,044;-0,006;0,019;;;;;;;;;;0,083;
2024-11-08;0,079;0,004;0,046;;;;;0,022;0,002;0,044;0,077;-0,007;-0,006;0,016;0,014;0,011;;
2024-11-11;;;;0,066;0,053;-0,006;0,018;;;;;;;;;;0,095;
2024-11-12;0,078;0,005;0,045;;;;;0,022;-0,003;0,037;0,076;-0,006;-0,006;0,017;0,006;0,008;;
2024-11-13;0,080;0,003;0,043;0,054;0,054;-0,006;0,005;0,022;-0,004;0,037;0,076;-0,006;-0,006;0,017;0,006;0,005;0,094;
2024-11-14;;;;0,052;0,050;-0,006;0,008;;;;;;;;;;0,090;
2024-11-15;0,066;0,008;0,040;;;;;0,023;-0,001;0,035;0,069;-0,006;-0,006;0,018;0,005;-0,001;;
2024-11-18;0,063;0,007;0,042;0,054;0,050;-0,006;-0,001;0,022;-0,003;0,036;0,069;-0,006;-0,006;0,018;0,005;-0,006;0,089;
2024-11-19;0,064;0,010;0,043;0,054;0,045;-0,006;-0,005;0,022;-0,010;0,037;0,067;-0,006;-0,006;0,017;0,002;-0,008;0,086;
2024-11-20;0,072;0,010;0,044;0,056;0,051;-0,006;-0,007;0,022;-0,009;0,038;0,070;-0,006;-0,006;0,018;0,001;-0,012;0,089;
2024-11-21;0,073;0,008;0,045;0,053;0,048;-0,006;-0,005;0,023;-0,009;0,041;0,074;-0,006;-0,006;0,018;0,003;-0,010;0,098;
2024-11-22;0,076;0,011;0,047;0,055;0,053;-0,005;-0,000;0,023;-0,006;0,044;0,077;-0,006;-0,006;0,019;0,006;-0,003;0,104;
2024-11-25;0,079;0,006;0,050;0,055;0,054;-0,005;0,002;0,024;-0,003;0,043;0,081;-0,005;-0,006;0,019;0,006;0,002;0,105;
2024-11-26;0,081;0,001;0,055;0,055;0,053;-0,005;-0,001;0,022;-0,010;0,042;0,079;-0,005;-0,006;0,017;0,003;-0,003;0,102;
2024-11-27;0,079;;0,048;0,054;0,054;-0,005;0,000;0,022;;;0,075;;;;;;0,098;
2024-11-28;;0,002;;;;;;;-0,008;0,034;;-0,005;-0,005;0,017;0,005;0,001;;
2024-11-29;0,081;0,003;0,049;0,050;0,047;-0,005;0,004;0,023;-0,008;0,035;0,077;-0,005;-0,005;0,017;0,006;0,001;0,100;
2024-12-02;0,085;0,001;0,054;0,054;0,055;-0,005;0,009;0,023;-0,006;0,040;0,082;-0,005;-0,005;0,018;0,012;0,006;0,099;
2024-12-03;0,084;0,007;0,055;0,056;0,053;-0,005;0,012;0,024;-0,002;0,042;0,082;-0,004;-0,005;0,019;0,016;0,007;0,097;
2024-12-04;0,082;0,008;0,058;0,056;0,053;-0,005;0,017;0,025;-0,000;0,045;0,079;-0,004;-0,005;0,020;0,019;0,011;0,097;
2024-12-05;0,076;0,007;0,057;0,054;0,056;-0,005;0,017;;;;;;;;;;0,092;
2024-12-06;;;;0,056;0,060;-0,005;0,020;;;;;;;;;;0,091;
2024-12-09;0,078;0,006;0,059;;;;;0,024;-0,000;0,046;0,078;-0,003;-0,005;0,019;0,023;0,010;;
2024-12-10;0,079;0,005;0,062;0,059;0,060;-0,005;0,017;0,024;-0,003;0,049;0,078;-0,003;-0,005;0,019;0,020;0,008;0,092;
2024-12-11;;;;0,058;0,059;-0,005;0,018;;;;;;;;;;0,092;
2024-12-12;0,075;0,007;0,068;;;;;0,023;-0,001;0,049;0,075;-0,002;-0,005;0,019;0,016;0,008;;
2024-12-13;0,071;0,007;0,064;0,061;0,057;-0,005;0,013;0,023;-0,005;0,047;0,071;-0,003;-0,005;0,018;0,013;0,008;0,089;
2024-12-16;0,067;-0,001;0,063;0,058;0,055;-0,004;0,011;0,023;-0,006;0,042;0,064;-0,003;-0,005;0,018;0,011;0,008;0,087;
2024-12-17;0,069;-0,004;0,062;0,055;0,054;-0,004;0,010;0,019;-0,012;0,040;0,063;-0,003;-0,005;0,016;0,009;0,005;0,080;
2024-12-18;0,066;-0,001;0,056;0,055;0,052;-0,004;0,013;0,019;-0,013;0,043;0,056;-0,003;-0,005;0,017;0,010;0,009;0,082;
2024-12-19;0,061;-0,007;0,052;0,053;0,050;-0,004;0,002;0,018;-0,017;0,042;0,054;-0,004;-0,005;0,017;-0,000;0,002;0,075;
2024-12-20;;;;0,049;0,054;-0,004;0,002;;;;;;;;;;0,076;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;0,072;0,005;0,072;;;;;0,012;0,019;0,048;0,060;0,003;-0,002;0,009;0,045;0,028;;
2025-02-19;0,076;0,010;0,074;0,043;0,059;-0,001;0,044;0,011;0,013;0,047;0,059;0,002;-0,002;0,008;0,038;0,020;0,079;
2025-02-20;0,076;0,008;0,070;0,043;0,052;-0,000;0,045;0,010;0,014;0,045;0,055;0,002;-0,002;0,007;0,040;0,020;0,073;
2025-02-21;0,076;0,010;0,064;0,044;0,051;-0,000;0,043;0,011;0,014;0,047;0,050;0,003;-0,002;0,008;0,040;0,017;0,073;
2025-02-24;;;;0,035;0,053;-0,000;0,042;;;;;;;;;;0,070;
2025-02-25;0,079;0,003;0,055;;;;;0,012;0,017;0,040;0,050;0,003;-0,002;0,007;0,040;0,015;;
2025-02-26;0,077;-0,002;0,056;0,036;0,051;-0,000;0,048;0,012;0,018;0,042;0,049;0,003;-0,002;0,007;0,046;0,018;0,067;
2025-02-27;0,079;-0,005;0,051;0,036;0,052;-0,000;0,043;0,014;0,013;0,045;0,047;0,003;-0,002;0,009;0,043;0,015;0,070;
2025-02-28;0,081;-0,005;0,051;0,027;0,051;0,000;0,041;0,015;0,011;;0,047;0,003;-0,002;0,009;0,040;0,012;0,071;
2025-03-03;0,076;-0,008;0,042;0,023;0,047;0,000;0,042;0,014;0,014;0,033;0,039;0,003;-0,002;0,008;0,043;0,011;0,069;
2025-03-04;0,071;-0,028;0,036;0,018;0,039;0,000;0,027;0,011;0,004;0,029;0,034;0,003;-0,002;0,005;0,029;0,001;0,052;
2025-03-05;0,065;-0,026;0,033;0,016;0,032;0,000;0,035;0,010;0,008;0,024;0,031;0,002;-0,002;0,003;0,040;0,003;0,041;
2025-03-06;;;;0,016;0,028;0,000;0,034;;;;;;;;;;0,036;
2025-03-10;0,047;-0,029;0,013;;;;;0,005;0,008;0,013;0,026;0,000;-0,002;-0,002;0,038;-0,008;;
2025-03-11;;;;0,003;0,020;0,000;0,017;;;;;;;;;;0,021;
2025-03-12;0,036;-0,023;0,014;;;;;0,006;0,005;0,011;0,018;-0,001;-0,002;-0,001;0,029;-0,013;;
2025-03-13;;;;0,008;0,025;0,000;0,019;;;;;;;;;;0,025;
2025-03-14;0,042;-0,013;0,021;;;;;0,008;0,011;0,020;0,023;-0,002;-0,002;0,001;0,033;-0,003;;
2025-03-17;;;;0,016;0,027;0,000;0,026;;;;;;;;;;0,032;
2025-03-18;0,045;-0,002;0,018;;;;;0,006;0,014;0,021;0,025;-0,001;-0,002;-0,000;0,034;0,001;;
2025-03-19;0,048;0,005;0,025;0,022;0,023;0,000;0,025;0,007;0,015;0,022;0,031;-0,000;-0,002;0,001;0,033;0,003;0,035;
2025-03-20;0,048;0,006;0,026;0,022;0,026;0,001;0,024;0,008;0,014;0,023;0,029;0,000;-0,002;0,001;0,031;0,002;0,036;
2025-03-21;0,046;0,005;0,027;0,018;0,020;0,001;0,018;0,006;0,010;0,020;0,026;0,000;-0,002;-0,001;0,025;0,000;0,034;
2025-03-24;0,047;0,005;0,030;0,020;0,026;0,001;0,019;0,005;0,007;0,020;0,029;0,000;-0,002;-0,001;0,025;-0,002;0,038;
2025-03-25;0,039;0,002;0,028;0,014;0,020;0,001;0,020;0,002;0,004;0,017;0,026;0,000;-0,002;-0,005;0,027;-0,002;0,036;
2025-03-26;0,034;0,001;0,022;0,014;0,022;0,001;0,013;0,001;-0,000;0,017;0,023;0,000;-0,002;-0,006;0,021;-0,010;0,034;
2025-03-27;0,032;-0,002;0,017;0,016;0,022;0,001;0,011;0,000;-0,003;0,015;0,021;-0,001;-0,002;-0,006;0,019;-0,010;0,032;
2025-03-28;0,030;-0,006;0,006;0,006;0,022;0,001;0,008;-0,000;-0,007;0,008;0,014;-0,001;-0,001;-0,006;0,014;-0,013;0,025;
2025-03-31;0,031;-0,013;0,003;0,000;;0,001;0,003;0,001;-0,014;0,000;0,013;-0,001;-0,001;-0,006;0,006;-0,020;0,026;
2025-04-01;0,023;-0,012;0,006;0,003;0,019;0,001;0,007;0,001;-0,009;0,005;0,013;-0,001;-0,001;-0,006;0,009;-0,011;0,029;
2025-04-02;0,021;-0,019;0,004;0,001;0,017;0,001;0,005;-0,000;-0,013;0,003;0,012;-0,001;-0,001;-0,007;0,005;-0,013;0,027;
2025-04-03;0,010;-0,025;-0,028;-0,016;-0,006;0,000;-0,009;-0,004;-0,027;;-0,009;-0,003;-0,001;-0,011;-0,011;-0,019;0,003;
2025-04-04;0,002;-0,049;-0,036;;-0,005;-0,000;-0,027;0,002;-0,033;;-0,009;-0,006;-0,001;-0,004;-0,028;-0,038;-0,010;
2025-04-07;-0,007;-0,058;-0,044;-0,036;-0,013;-0,001;-0,049;-0,003;-0,052;-0,040;-0,025;-0,010;-0,001;-0,006;-0,049;-0,055;-0,018;
2025-04-08;-0,009;-0,053;-0,045;-0,038;-0,015;;;-0,002;-0,040;-0,044;-0,025;-0,008;-0,001;-0,003;-0,038;-0,043;-0,006;
2025-04-09;0,000;-0,065;-0,017;-0,052;-0,024;-0,003;-0,054;-0,003;-0,052;-0,055;-0,010;-0,011;-0,001;-0,002;-0,050;-0,060;-0,026;
2025-04-10;-0,013;-0,054;-0,029;-0,036;-0,014;-0,003;-0,033;-0,005;-0,040;-0,041;-0,017;-0,007;-0,001;-0,004;-0,029;-0,042;-0,019;
2025-04-11;-0,002;-0,048;-0,023;-0,035;-0,006;-0,003;-0,034;0,001;-0,032;-0,035;-0,009;-0,008;-0,001;0,003;-0,030;-0,045;-0,015;
2025-04-14;-0,003;-0,039;-0,025;-0,026;-0,005;-0,003;-0,022;-0,001;-0,025;-0,032;-0,010;-0,007;-0,001;-0,000;-0,018;-0,032;-0,010;
2025-04-15;0,001;-0,031;-0,017;-0,019;-0,002;-0,003;-0,013;0,000;-0,018;-0,025;-0,004;-0,006;-0,001;0,001;-0,009;-0,023;-0,003;
2025-04-16;-0,003;-0,030;-0,028;-0,026;-0,010;-0,003;-0,017;;;;;-0,005;;;-0,012;-0,026;-0,005;
2025-04-17;;;;-0,028;-0,015;-0,003;-0,021;0,003;-0,019;-0,025;-0,016;;-0,001;0,004;;;-0,009;
2025-04-22;-0,016;-0,033;-0,040;-0,031;-0,021;-0,002;-0,019;-0,001;-0,020;-0,031;-0,016;-0,004;-0,001;0,000;-0,014;-0,030;-0,017;
2025-04-23;;;;-0,013;-0,012;-0,002;-0,011;;;;;;;;;;-0,012;
2025-04-24;;;;;;;;;;;;;;;;;;
2025-04-25;;;;;;;;;;;;;;;;;;
2025-04-28;0,002;-0,014;-0,012;;;;;0,004;-0,011;-0,014;-0,003;-0,000;-0,000;0,002;-0,002;-0,015;;
2025-04-29;0,006;-0,013;-0,010;-0,012;-0,002;-0,001;-0,009;;;;;;;;-0,005;-0,011;-0,007;
2025-04-30;0,011;-0,010;-0,008;-0,012;-0,003;-0,001;-0,001;0,002;-0,004;-0,010;0,002;-0,001;-0,000;0,000;;;-0,006;
2025-05-02;0,010;-0,003;0,004;-0,001;0,000;-0,001;0,003;0,003;0,003;;0,005;-0,001;-0,000;0,001;0,006;0,004;0,005;
2025-05-05;;;;0,002;0,000;-0,000;0,004;;;;;;;;;;;
2025-05-06;0,000;0,000;0,000;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;;
2025-05-07;;;;0,000;0,000;0,000;0,000;;;;;;;;;;0,000;
