
# ;[];[];[];[];[];[];[];[];[];[pictet clean energy transition r][pictet clean energy r];[];[];[];[];[];[];[];
# ;odin norden c;odin sverige c;pareto aksje norge b;pareto esg global corporate bond a;pareto global b;pareto nordic corporate bond c;pictet asian equities ex japan r;pictet biotech r;pictet china equities r;pictet clean energy transition r;pictet digital r;pictet emerging markets r;pictet eur bonds r;pictet global bonds r;pictet global emerging debt r;pictet global megatrend selection r;pictet health r;
2024-05-13;0,037;0,031;0,030;-0,016;0,032;-0,021;0,061;0,087;0,034;0,093;0,026;0,062;0,009;0,024;0,019;0,065;0,077;
2024-05-14;0,041;0,036;0,029;-0,016;0,035;-0,021;0,059;0,088;0,034;0,093;0,027;0,061;0,009;0,025;0,019;0,066;0,078;
2024-05-15;0,042;0,039;;-0,015;0,036;-0,021;;0,090;;0,096;0,030;;0,011;0,025;0,019;0,067;0,080;
2024-05-16;;;0,029;-0,015;;-0,021;0,061;0,082;0,030;0,096;0,032;0,061;0,008;0,021;0,016;0,064;0,077;
2024-05-17;;;;;;;0,064;0,083;0,036;0,094;0,031;0,064;0,008;0,022;0,017;0,065;0,078;
2024-05-20;;;;;;;;;;;;;;;;;;
2024-05-21;0,041;0,038;0,029;-0,014;0,032;-0,020;0,056;0,081;0,026;0,091;0,030;0,059;0,008;0,019;0,015;0,062;0,076;
2024-05-22;0,045;0,043;0,027;-0,015;0,033;-0,020;0,061;0,082;0,026;0,097;0,034;0,061;0,006;0,019;0,015;0,065;0,076;
2024-05-23;0,044;0,042;0,028;-0,015;0,028;-0,021;0,061;0,076;0,022;0,098;0,037;0,060;0,004;0,019;0,014;0,063;0,075;
2024-05-24;0,045;0,041;0,032;-0,015;0,026;-0,021;0,059;0,075;0,021;0,099;0,034;0,059;;;;0,062;0,074;
2024-05-27;0,043;0,040;;;;;0,058;;0,020;;;;;;;;;
2024-05-28;;;0,033;-0,015;;-0,020;;;;;;;0,000;0,013;0,008;;;
2024-05-29;0,039;0,037;0,031;-0,016;0,019;-0,020;0,048;0,061;0,009;0,090;0,030;0,047;-0,003;0,010;0,006;0,050;0,060;
2024-05-30;0,038;0,037;0,033;-0,016;0,015;-0,020;0,047;0,070;0,012;0,092;0,030;0,046;-0,001;0,015;0,011;0,052;0,064;
2024-05-31;0,038;0,035;;;0,016;;0,038;0,073;0,000;0,087;0,017;0,038;;;;0,049;0,062;
2024-06-03;;;0,031;-0,014;;-0,020;;;;;;;-0,003;0,011;0,006;;;
2024-06-04;0,036;0,034;0,019;-0,014;0,015;-0,020;0,036;0,065;0,001;0,073;0,014;0,032;-0,003;0,010;0,003;0,043;0,058;
2024-06-05;;0,037;0,016;;0,019;;0,044;0,063;-0,001;0,077;0,018;0,036;-0,003;0,011;0,003;0,043;0,057;
2024-06-07;0,039;0,037;0,015;-0,014;0,021;-0,020;0,040;0,063;-0,006;0,076;0,022;0,036;-0,008;0,005;-0,001;0,043;0,060;
2024-06-10;0,038;0,037;0,015;-0,014;0,020;-0,020;;0,070;;0,082;0,030;;-0,007;0,010;0,007;0,049;0,066;
2024-06-11;0,040;0,040;0,012;-0,015;0,019;-0,020;0,041;0,070;-0,003;0,077;0,029;0,036;-0,010;0,012;0,008;0,045;0,062;
2024-06-12;0,044;0,046;0,011;-0,013;0,015;-0,020;0,047;0,081;-0,004;0,091;0,039;0,040;-0,009;0,012;0,007;0,055;0,066;
2024-06-13;0,039;0,038;0,006;-0,013;0,017;-0,019;0,045;0,077;-0,006;0,086;0,035;0,038;-0,010;0,006;0,003;0,047;0,057;
2024-06-14;0,037;0,034;0,008;-0,014;0,023;-0,019;0,050;0,077;-0,003;0,087;0,040;0,045;-0,005;0,014;0,010;0,050;0,061;
2024-06-17;0,038;0,034;0,010;-0,015;0,022;-0,018;0,053;0,074;0,000;0,087;0,040;0,044;-0,007;0,013;0,008;0,049;0,060;
2024-06-18;0,036;0,034;0,011;-0,014;0,018;-0,019;0,054;0,070;-0,002;0,087;0,042;0,046;-0,008;0,011;0,007;0,050;0,060;
2024-06-19;0,035;0,032;;-0,014;;-0,019;0,057;;0,002;;;;-0,010;;;;;
2024-06-20;0,037;0,034;0,013;-0,014;;-0,019;0,057;0,068;0,000;0,088;0,044;0,050;-0,009;0,009;0,006;0,050;0,057;
2024-06-24;0,041;0,038;;;0,023;;0,053;0,095;-0,002;0,083;0,041;0,047;;;;0,053;0,062;
2024-06-25;;;0,017;-0,013;;-0,018;;;;;;;-0,008;0,010;0,007;;;
2024-06-26;0,038;0,034;0,015;-0,014;0,022;-0,018;0,054;0,096;-0,004;0,079;0,046;0,047;-0,008;0,010;0,009;0,051;0,061;
2024-06-27;0,035;0,032;0,018;-0,014;0,025;-0,018;0,057;0,100;-0,006;0,081;0,054;0,051;;;;0,055;0,063;
2024-06-28;0,037;0,034;0,021;-0,014;0,027;-0,018;;;;;;0,054;-0,005;0,015;0,013;;;
2024-07-01;0,038;0,034;0,021;-0,014;0,027;-0,017;;0,108;;0,081;0,049;;-0,007;0,009;0,007;0,055;0,064;
2024-07-02;0,038;0,035;0,023;-0,014;0,030;-0,017;0,055;0,105;-0,004;0,086;0,055;0,051;;0,013;0,010;0,056;0,060;
2024-07-03;0,037;0,035;0,020;-0,013;0,024;-0,017;;;;;;;-0,004;0,012;0,009;;;
2024-07-04;0,038;0,036;0,021;-0,013;;-0,017;0,057;;-0,006;;;;-0,007;;;;;
2024-07-05;0,039;0,036;0,020;-0,012;0,029;-0,017;0,054;0,093;-0,013;0,088;0,058;0,049;-0,004;0,011;0,008;0,053;0,055;
2024-07-08;0,041;0,038;0,018;-0,012;0,028;-0,017;0,056;0,108;-0,015;0,092;0,060;0,051;-0,002;0,012;0,010;0,057;0,060;
2024-07-09;0,040;0,038;0,015;-0,012;0,027;-0,017;0,061;0,115;-0,009;0,095;0,065;0,057;-0,001;0,014;0,013;0,060;0,061;
2024-07-10;0,042;0,041;0,014;-0,012;0,033;-0,017;0,062;0,118;-0,007;0,094;0,063;0,058;0,000;0,014;0,016;0,059;0,059;
2024-07-11;0,049;0,050;0,013;-0,011;0,035;-0,017;0,066;0,130;-0,001;0,103;0,064;0,062;0,002;0,019;0,016;0,066;0,067;
2024-07-12;0,053;0,052;;;0,036;;0,067;0,137;0,004;0,102;0,057;0,063;;;;0,067;0,070;
2024-07-18;;;;;;;;;;;;;0,009;0,021;0,016;;;
2024-07-19;;;0,021;-0,010;;-0,016;0,052;0,127;-0,014;0,088;0,040;0,050;;;;0,064;0,070;
2024-07-22;0,061;0,049;0,023;-0,010;0,040;-0,016;;;;;;;0,008;0,022;0,019;;;
2024-07-23;0,061;0,048;0,019;-0,010;0,040;-0,016;0,056;0,138;-0,011;0,095;0,049;0,054;0,013;0,026;0,023;0,071;0,079;
2024-07-24;0,059;0,045;0,020;-0,010;0,033;-0,016;0,052;0,140;-0,014;0,090;0,042;0,052;0,013;0,029;0,025;0,069;0,080;
2024-07-25;0,051;0,035;;;0,029;;0,043;0,150;-0,020;0,078;0,028;0,046;;;;0,066;0,080;
2024-07-26;;;0,022;-0,010;;-0,016;;;;;;;0,015;0,030;0,026;;;
2024-07-29;0,057;0,042;0,024;-0,009;0,037;-0,016;0,045;0,150;-0,023;0,091;0,037;0,046;0,017;0,031;0,027;0,071;0,077;
2024-07-30;0,060;0,043;0,025;-0,009;0,038;-0,016;0,043;0,147;-0,027;0,088;0,031;0,044;0,016;0,031;0,026;0,071;0,081;
2024-07-31;0,065;0,048;0,028;-0,009;0,040;-0,015;0,045;0,134;-0,023;0,090;0,032;0,045;0,015;0,031;0,023;0,069;0,077;
2024-08-01;0,056;0,039;0,026;-0,008;0,033;-0,016;0,045;0,134;-0,027;0,090;0,036;0,045;0,013;0,031;0,022;0,069;0,080;
2024-08-02;0,045;0,031;;;0,029;;0,030;0,121;-0,039;0,064;0,003;0,030;;;;0,054;0,072;
2024-08-05;;;-0,010;-0,010;;-0,017;;;;;;;0,014;0,034;0,014;;;
2024-08-06;0,027;0,012;-0,007;-0,010;0,008;-0,017;0,011;0,104;-0,051;0,048;-0,013;0,010;0,011;0,030;0,013;0,039;0,060;
2024-08-07;0,032;0,022;0,003;-0,008;0,004;-0,017;0,020;0,104;-0,044;0,055;0,001;0,019;0,008;0,024;0,014;0,044;0,057;
2024-08-08;0,034;0,022;0,005;-0,009;0,014;-0,017;0,018;0,094;-0,044;0,044;-0,007;0,017;0,008;0,024;0,013;0,037;0,057;
2024-08-09;0,040;0,027;0,009;-0,008;0,018;-0,017;0,025;0,108;-0,041;0,053;0,002;0,024;0,011;0,029;0,018;0,045;0,066;
2024-08-12;0,040;0,026;0,014;-0,008;0,017;-0,016;0,029;0,106;-0,035;0,053;0,005;0,028;0,011;0,028;0,017;0,044;0,064;
2024-08-13;0,043;0,027;;-0,007;0,022;-0,016;0,031;0,115;-0,032;0,060;0,013;0,030;0,013;0,031;0,020;0,050;0,068;
2024-08-14;;;0,018;-0,007;;-0,015;0,026;0,110;-0,040;0,059;0,014;0,028;0,013;0,030;0,019;0,049;0,067;
2024-08-15;0,049;0,033;0,020;;0,031;;;;;;;;;;;;;
2024-08-16;0,051;0,036;0,022;-0,006;0,037;-0,015;0,040;0,118;-0,027;0,074;0,031;0,040;0,014;0,030;0,024;0,060;0,074;
2024-08-19;0,051;0,037;0,022;-0,006;0,033;-0,015;0,038;0,117;-0,028;0,070;0,029;0,037;0,013;0,028;0,020;0,058;0,073;
2024-08-20;0,047;0,035;0,015;-0,006;0,029;-0,014;0,035;0,121;-0,037;0,073;0,031;0,032;0,010;0,025;0,017;0,058;0,072;
2024-08-21;0,045;0,034;0,017;-0,005;0,031;-0,014;0,029;0,122;-0,041;0,069;0,026;0,028;0,009;0,022;0,014;0,055;0,069;
2024-08-22;0,048;0,038;;;0,032;;0,031;0,118;-0,039;0,070;0,026;0,028;;;;0,055;0,071;
2024-08-27;;;0,019;-0,004;;-0,014;;;;;;;0,008;0,021;0,014;;;
2024-08-28;0,047;0,040;0,017;-0,004;0,028;-0,013;0,022;0,110;-0,057;0,064;0,013;0,018;0,006;0,020;0,013;0,054;0,073;
2024-08-29;0,051;0,044;0,017;-0,004;0,033;-0,013;0,024;0,112;-0,056;0,066;0,014;0,020;0,005;0,018;0,012;0,055;0,074;
2024-08-30;0,058;0,050;0,020;-0,004;0,040;-0,013;0,028;0,113;-0,051;0,073;0,016;0,024;0,005;0,020;0,012;0,058;0,077;
2024-09-02;0,055;0,046;0,014;-0,004;;-0,013;0,027;;-0,052;;;;0,004;;;;;
2024-09-03;0,054;0,043;0,005;-0,004;0,038;;0,023;0,125;-0,054;0,068;0,011;0,021;0,006;0,022;0,016;0,058;0,079;
2024-09-04;0,044;0,034;;;0,029;;0,021;0,110;-0,053;0,059;0,002;0,019;;;;0,052;0,076;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;;;0,023;-0,003;;-0,011;0,066;;0,044;;;0,054;0,008;0,022;0,025;;;
2024-10-11;0,054;0,038;0,027;-0,003;0,052;-0,010;;0,099;;0,083;0,042;;0,009;0,023;0,026;0,068;0,069;
2024-10-14;0,054;0,039;0,024;-0,003;0,059;-0,010;0,072;0,110;0,049;0,090;0,047;0,057;0,008;;;0,072;0,070;
2024-10-15;0,052;0,036;;-0,002;0,051;-0,009;0,064;0,113;0,027;0,094;0,044;0,050;0,010;0,025;0,028;0,074;0,073;
2024-10-16;0,052;0,037;0,020;-0,002;;-0,009;0,062;0,116;0,025;0,082;0,035;0,050;0,011;0,026;0,030;0,070;0,070;
2024-10-17;0,052;0,034;0,021;-0,002;0,054;-0,010;0,063;0,125;0,019;0,090;0,043;0,051;0,014;0,028;0,033;0,075;0,076;
2024-10-18;0,053;0,037;0,021;-0,002;0,057;-0,009;0,067;0,121;0,035;0,089;0,044;0,056;0,013;0,028;0,032;0,074;0,076;
2024-10-21;0,051;0,033;0,023;-0,002;0,055;-0,009;0,070;0,121;0,032;0,089;0,047;0,059;0,012;0,026;0,031;0,075;0,077;
2024-10-22;0,046;0,029;0,022;-0,003;0,053;-0,010;0,068;0,119;0,035;0,081;0,045;0,057;0,010;0,024;0,028;0,070;0,072;
2024-10-23;0,049;0,031;0,023;-0,003;0,055;-0,009;0,071;0,120;0,039;0,085;0,047;0,059;0,010;0,025;0,029;0,071;0,071;
2024-10-24;0,045;0,029;0,025;-0,003;0,053;-0,010;0,065;0,119;0,029;0,086;0,044;0,054;0,013;0,027;0,030;0,071;0,075;
2024-10-25;0,046;0,031;;;0,051;;0,066;0,120;0,032;0,090;0,050;0,056;;;;0,073;0,072;
2024-10-28;;;0,025;-0,003;;-0,009;;;;;;;0,013;0,026;0,031;;;
2024-10-29;0,048;0,035;0,027;-0,004;0,054;-0,009;0,071;0,119;0,040;0,093;0,052;0,060;0,014;0,027;0,033;0,075;0,074;
2024-10-30;0,046;0,030;0,025;-0,003;0,053;-0,009;0,067;0,121;0,032;0,091;0,054;0,055;0,013;0,027;0,034;0,075;0,074;
2024-10-31;0,045;0,027;;-0,004;0,049;-0,009;0,059;0,116;0,025;0,080;0,042;0,048;0,015;0,028;0,034;0,069;0,071;
2024-11-01;0,046;0,027;0,017;;;;;;;;;;;;;;;
2024-11-04;0,047;0,031;;;0,051;;0,068;0,118;0,039;0,086;0,048;0,055;;;;0,073;0,076;
2024-11-05;;;0,018;-0,003;;-0,008;;;;;;;0,017;0,029;0,032;;;
2024-11-06;0,044;0,018;0,017;-0,003;0,064;-0,008;0,071;0,139;0,038;0,093;0,062;0,058;0,018;0,031;0,037;0,084;0,081;
2024-11-07;0,046;0,024;;;0,062;;0,078;0,147;0,056;0,102;0,069;0,067;;0,033;0,041;0,090;0,087;
2024-11-08;;;0,021;-0,002;;-0,008;;;;;;;0,015;;;;;
2024-11-11;0,053;0,031;;;0,070;;0,070;0,156;0,038;0,101;0,071;0,058;;;;0,093;0,093;
2024-11-12;;;0,019;-0,002;;-0,008;;;;;;;0,017;0,033;0,045;;;
2024-11-13;0,041;0,019;0,015;-0,002;0,068;-0,008;0,058;0,146;0,025;0,100;0,079;0,050;0,016;0,032;0,045;0,091;0,091;
2024-11-14;0,044;0,022;;;0,067;;0,058;0,139;0,021;0,101;0,079;0,050;;;;0,092;0,091;
2024-11-15;;;0,025;-0,003;;-0,008;;;;;;;0,018;0,034;0,045;;;
2024-11-18;0,036;0,010;0,025;-0,002;0,060;-0,008;0,058;0,100;0,024;0,090;0,069;0,052;0,018;0,035;0,045;0,081;0,077;
2024-11-19;0,035;0,007;0,024;-0,002;0,058;-0,008;0,058;0,100;0,023;0,088;0,067;0,052;0,017;0,035;0,044;0,078;0,071;
2024-11-20;0,036;0,005;0,030;-0,002;0,062;-0,008;0,060;0,110;0,026;0,091;0,070;0,052;0,017;0,034;0,046;0,081;0,077;
2024-11-21;0,036;0,007;0,032;-0,002;0,064;-0,007;0,059;0,115;0,025;0,098;0,076;0,053;0,018;0,036;0,049;0,087;0,081;
2024-11-22;0,043;0,015;0,037;-0,002;0,069;-0,007;0,063;0,124;0,016;0,106;0,084;0,056;0,020;0,038;0,051;0,096;0,091;
2024-11-25;0,047;0,018;0,038;-0,001;0,073;-0,007;0,064;0,134;0,016;0,112;0,089;0,058;0,021;0,041;0,054;0,102;0,094;
2024-11-26;0,042;0,013;0,027;-0,001;0,072;-0,007;0,061;0,127;0,013;0,109;0,087;0,054;0,019;0,039;0,051;0,098;0,091;
2024-11-27;0,040;0,011;;;0,063;;0,059;0,130;0,019;0,103;0,081;0,051;;0,039;0,049;0,095;0,091;
2024-11-28;;;0,027;-0,001;;-0,007;;;;;;;0,021;;;;;
2024-11-29;0,044;0,018;0,026;-0,001;0,068;-0,006;0,055;0,131;0,010;0,102;0,078;0,045;0,022;0,039;0,049;0,094;0,089;
2024-12-02;0,050;0,026;0,027;-0,000;0,074;-0,007;0,061;0,130;0,017;0,106;0,084;0,051;0,023;0,041;0,052;0,097;0,093;
2024-12-03;0,052;0,028;0,032;-0,000;0,073;-0,007;0,065;0,129;0,021;0,109;0,085;0,056;0,024;0,042;0,053;0,098;0,093;
2024-12-04;0,058;0,039;0,037;0,000;0,077;-0,006;0,069;0,127;0,021;0,114;0,096;0,059;0,025;0,044;0,055;0,102;0,097;
2024-12-05;0,056;0,038;0,035;0,000;0,071;-0,006;0,066;0,125;0,018;0,107;0,094;0,057;0,022;0,040;0,051;0,098;0,093;
2024-12-06;0,055;0,039;;;0,075;;0,066;0,122;0,022;0,104;0,094;0,055;;;;0,097;0,095;
2024-12-09;;;0,029;0,001;;-0,006;;;;;;;0,023;0,041;0,054;;;
2024-12-10;0,054;0,038;0,027;0,001;0,073;-0,006;0,074;0,124;0,036;0,102;0,094;0,063;0,023;0,040;0,055;0,096;0,096;
2024-12-11;0,055;0,038;;;0,075;;0,075;0,122;0,035;0,108;0,095;0,064;;;;0,099;0,099;
2024-12-12;;;0,031;0,001;;-0,006;;;;;;;0,021;0,039;0,055;;;
2024-12-13;0,053;0,034;0,032;0,001;0,075;-0,006;0,077;0,108;0,033;0,113;0,095;0,066;0,019;0,038;0,055;0,096;0,094;
2024-12-16;0,052;0,034;0,026;0,001;0,073;-0,005;0,074;0,113;0,027;0,115;0,091;0,064;0,018;0,036;0,052;0,095;0,094;
2024-12-17;0,045;0,029;0,017;0,000;0,071;-0,005;0,067;0,113;0,024;0,112;0,089;0,059;0,017;0,035;0,049;0,092;0,090;
2024-12-18;0,048;0,032;0,017;-0,000;0,066;-0,005;0,070;0,113;0,028;0,112;0,091;0,062;0,017;0,034;0,050;0,091;0,088;
2024-12-19;0,041;0,025;0,015;-0,002;0,065;-0,006;0,070;0,092;0,032;0,100;0,081;0,061;0,016;0,033;0,050;0,081;0,081;
2024-12-20;0,029;0,020;;;0,065;;0,066;0,096;0,030;0,093;0,073;0,056;;;;0,077;0,076;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;;;0,034;0,003;;-0,000;;;;;;;0,005;0,025;0,046;;;
2025-02-19;0,046;0,054;0,033;0,002;0,075;-0,000;0,069;0,093;0,071;0,090;0,100;0,067;0,002;0,023;0,044;0,086;0,083;
2025-02-20;0,049;0,059;0,031;0,003;0,076;0,000;0,069;0,097;0,077;0,095;0,093;0,068;0,002;0,025;0,044;0,087;0,084;
2025-02-21;0,046;0,055;0,029;0,003;0,066;0,000;0,074;0,100;0,083;0,092;0,094;0,071;0,004;0,024;0,044;0,085;0,079;
2025-02-24;0,044;0,049;;;0,064;;0,063;0,089;0,067;0,078;0,078;0,060;;;;0,076;0,076;
2025-02-25;;;0,031;0,003;;0,001;;;;;;;0,004;0,027;0,046;;;
2025-02-26;0,048;0,051;;0,004;0,064;0,001;0,068;0,079;0,080;0,077;0,079;0,063;0,004;0,026;0,046;0,077;0,078;
2025-02-27;0,044;0,045;0,027;0,004;;0,001;0,063;0,081;0,076;0,071;0,076;0,058;0,006;0,027;0,048;0,074;0,076;
2025-02-28;0,042;0,042;0,024;0,004;0,066;0,001;0,057;0,077;0,070;0,065;0,074;0,053;0,007;0,031;0,051;0,074;0,076;
2025-03-03;0,045;0,046;0,023;0,004;0,061;0,001;0,057;0,082;0,067;0,065;0,077;0,053;0,003;0,030;0,050;0,077;0,081;
2025-03-04;0,027;0,029;0,003;0,003;0,048;0,001;0,045;0,055;0,054;0,043;0,054;0,039;0,000;0,024;0,042;0,057;0,064;
2025-03-05;0,036;0,039;0,005;0,003;0,046;0,001;0,049;0,055;0,063;0,044;0,052;0,044;-0,007;0,015;0,034;0,054;0,063;
2025-03-06;0,032;0,033;;;0,035;;0,047;0,048;0,068;0,030;0,041;0,040;;;;0,044;0,052;
2025-03-10;;;0,008;0,002;;0,001;;;;;;;-0,013;0,005;0,022;;;
2025-03-11;0,020;0,020;;;0,022;;0,029;0,029;0,047;0,017;0,010;0,021;;;;0,024;0,026;
2025-03-12;;;0,007;0,001;;0,001;;;;;;;-0,012;0,002;0,019;;;
2025-03-13;0,020;0,021;;;0,019;;0,038;0,048;0,055;0,027;0,017;0,034;;;;0,028;0,029;
2025-03-14;;;0,019;-0,000;;0,001;;;;;;;-0,010;0,008;0,025;;;
2025-03-17;0,030;0,030;;;0,030;;0,047;0,049;0,073;0,035;0,023;0,044;;;;0,035;0,036;
2025-03-18;;;0,029;0,000;;0,001;;;;;;;-0,010;0,002;0,019;;;
2025-03-19;0,031;0,031;0,031;0,001;0,031;0,001;0,049;0,045;0,073;0,035;0,022;0,044;-0,009;0,004;0,021;0,035;0,038;
2025-03-20;0,030;0,032;0,031;0,001;0,031;0,001;0,049;0,052;0,066;0,038;0,030;0,044;-0,009;0,006;0,024;0,038;0,041;
2025-03-21;0,025;0,027;0,032;0,001;0,029;0,001;0,044;0,051;0,057;0,030;0,024;0,038;-0,010;0,006;0,022;0,032;0,036;
2025-03-24;0,024;0,028;0,031;0,001;0,035;0,001;0,044;0,056;0,059;0,040;0,035;0,040;-0,011;0,002;0,020;0,037;0,041;
2025-03-25;0,023;0,028;0,030;0,001;0,033;0,001;0,041;0,050;0,052;0,039;0,039;0,039;-0,014;0,002;0,020;0,038;0,041;
2025-03-26;0,018;0,021;;0,001;0,031;0,002;0,039;0,038;0,050;0,032;0,030;0,036;-0,016;-0,000;0,018;0,033;0,034;
2025-03-27;0,012;0,015;;0,000;;0,001;0,042;0,043;0,055;0,027;0,027;0,038;-0,016;-0,000;0,016;0,032;0,033;
2025-03-28;0,009;0,013;0,023;-0,000;;0,002;0,034;0,035;0,047;0,014;0,012;0,030;-0,016;0,001;0,016;0,022;0,023;
2025-03-31;0,001;0,008;;-0,001;0,020;0,002;0,025;0,013;0,041;0,002;-0,003;0,020;-0,015;0,001;0,013;0,012;0,016;
2025-04-01;0,006;0,016;0,022;-0,000;;0,002;0,029;0,011;0,043;0,006;0,006;0,024;-0,013;0,003;0,016;0,016;0,019;
2025-04-02;0,005;0,017;0,018;-0,000;0,024;0,002;0,031;-0,001;0,042;0,008;0,010;0,025;-0,015;0,004;0,016;0,016;0,015;
2025-04-03;-0,006;0,003;-0,000;-0,002;0,000;0,001;0,011;-0,008;0,024;-0,011;-0,016;0,006;-0,016;0,001;0,004;-0,001;0,003;
2025-04-04;-0,017;-0,013;-0,018;-0,005;-0,006;-0,001;;-0,015;;-0,032;-0,030;;-0,008;0,006;0,005;-0,015;-0,011;
2025-04-07;-0,028;-0,027;-0,021;-0,009;-0,005;-0,004;-0,014;-0,048;-0,019;-0,046;-0,045;-0,023;-0,010;0,001;-0,004;-0,034;-0,029;
2025-04-08;-0,030;-0,027;-0,030;-0,007;-0,019;-0,005;-0,009;-0,022;-0,010;-0,023;-0,018;-0,015;-0,009;0,004;0,004;-0,012;-0,004;
2025-04-09;-0,042;-0,044;-0,041;-0,011;0,007;-0,008;-0,018;-0,062;-0,014;-0,044;-0,037;-0,026;-0,006;-0,000;-0,008;-0,032;-0,024;
2025-04-10;-0,024;-0,020;-0,030;-0,008;-0,004;-0,004;-0,007;-0,047;-0,010;-0,019;-0,013;-0,013;-0,008;0,002;-0,002;-0,012;-0,009;
2025-04-11;-0,026;-0,027;-0,027;-0,009;0,001;-0,005;-0,007;-0,044;-0,010;-0,026;-0,020;-0,014;-0,001;-0,004;-0,016;-0,017;-0,013;
2025-04-14;-0,016;-0,013;-0,021;-0,007;-0,002;-0,005;-0,004;-0,030;-0,001;-0,020;-0,018;-0,009;-0,003;-0,006;-0,013;-0,012;-0,010;
2025-04-15;-0,009;-0,005;;-0,005;0,001;-0,004;-0,001;-0,017;-0,002;-0,012;-0,015;-0,005;-0,002;-0,004;-0,009;-0,007;-0,004;
2025-04-16;;;-0,013;-0,005;-0,004;-0,004;-0,005;-0,026;-0,006;-0,018;-0,018;-0,007;0,004;0,003;-0,002;-0,009;-0,004;
2025-04-17;;;;;;;-0,005;-0,023;-0,007;-0,023;-0,022;-0,007;0,002;0,000;-0,005;-0,012;-0,008;
2025-04-22;-0,015;-0,011;-0,017;-0,004;-0,014;-0,003;-0,011;-0,023;-0,011;-0,032;-0,037;-0,013;-0,001;-0,007;-0,012;-0,022;-0,017;
2025-04-23;-0,006;-0,003;;;-0,005;;-0,001;-0,011;0,003;-0,016;-0,014;-0,003;;;;-0,007;-0,004;
2025-04-24;;;;;;;;;;;;;;;;;;
2025-04-25;;;;;;;;;;;;;;;;;;
2025-04-28;;;0,000;0,000;;0,000;;;;;;;0,000;0,000;0,000;;;
2025-04-29;0,000;0,000;;;0,000;;0,000;0,000;0,000;0,000;0,000;0,000;;;;0,000;0,000;
