
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;swedbank robur transfer 60;swedbank robur transfer 70;swedbank robur transfer 80;swedbank robur transfer 90;templeton emerging markets fund a;templeton global bond fund a;tundra sustainable frontier fund a;ub infra placeringsfond a;ålandsbanken euro bond s placeringsfond;ålandsbanken euro high yield b placeringsfond;ålandsbanken global aktie b placeringsfond;ålandsbanken kapitalförvaltning placeringsfond;öhman emerging markets a;öhman frn a;öhman företagsobligationsfond a;öhman global a;öhman global growth a;
2024-02-01;-0,035;-0,043;-0,046;-0,042;-0,040;0,018;-0,042;-0,031;-0,025;-0,020;-0,026;-0,022;-0,048;-0,026;-0,027;-0,014;-0,044;
2024-02-02;-0,032;-0,038;-0,041;-0,037;;;-0,038;-0,033;;;;;-0,043;-0,026;-0,027;-0,008;-0,038;
2024-02-05;;;;;-0,040;0,009;;;-0,027;-0,019;-0,017;-0,020;;;;;;
2024-02-06;-0,030;-0,035;-0,037;-0,034;-0,028;0,012;-0,029;-0,028;-0,026;-0,016;-0,014;-0,019;-0,034;-0,025;-0,028;-0,007;-0,035;
2024-02-07;-0,031;-0,036;-0,038;-0,035;-0,032;0,012;-0,042;-0,033;-0,026;-0,020;-0,014;-0,020;-0,038;-0,025;-0,028;-0,008;-0,035;
2024-02-08;-0,030;-0,035;-0,037;-0,034;-0,036;0,009;-0,042;-0,037;-0,027;-0,020;-0,013;-0,019;-0,040;-0,025;-0,029;-0,008;-0,032;
2024-02-09;-0,031;-0,035;-0,037;-0,035;-0,035;0,010;;-0,040;-0,027;-0,020;-0,011;-0,019;-0,043;-0,025;-0,029;-0,007;-0,028;
2024-02-12;-0,031;-0,035;-0,037;-0,034;-0,035;0,010;-0,046;-0,039;-0,027;-0,021;-0,014;-0,018;;-0,025;-0,029;-0,008;-0,029;
2024-02-13;-0,031;-0,036;-0,038;-0,035;-0,042;0,005;-0,035;-0,044;-0,026;-0,023;-0,017;-0,019;;-0,025;-0,030;-0,006;-0,026;
2024-02-14;-0,030;-0,034;-0,036;-0,033;-0,032;0,006;-0,033;-0,039;-0,026;-0,019;-0,011;-0,017;-0,038;-0,025;-0,029;-0,006;-0,023;
2024-02-15;-0,030;-0,035;-0,037;-0,034;-0,032;0,008;-0,035;-0,037;-0,026;-0,020;-0,012;-0,016;-0,037;-0,025;-0,028;-0,007;-0,026;
2024-02-16;-0,029;-0,032;-0,034;-0,031;-0,033;0,007;-0,034;-0,039;-0,026;-0,021;-0,015;-0,015;-0,033;-0,025;-0,029;-0,007;-0,030;
2024-02-19;;;;;-0,034;0,007;-0,036;-0,039;-0,026;-0,021;;-0,016;-0,036;-0,024;-0,028;;;
2024-02-20;-0,032;-0,036;-0,038;-0,036;-0,033;0,008;-0,042;-0,038;-0,025;-0,022;-0,020;-0,017;-0,037;-0,024;-0,028;-0,013;-0,040;
2024-02-21;-0,033;-0,037;-0,040;-0,037;-0,032;0,008;-0,037;-0,037;-0,026;-0,022;-0,019;-0,017;-0,035;-0,024;-0,028;-0,012;-0,042;
2024-02-22;-0,029;-0,032;-0,034;-0,031;-0,032;0,007;-0,038;-0,040;-0,026;-0,024;-0,012;-0,014;-0,032;-0,024;-0,028;-0,006;-0,032;
2024-02-23;-0,028;-0,030;-0,031;-0,029;;;-0,042;-0,039;;;;;-0,034;-0,024;-0,028;-0,006;-0,033;
2024-02-26;;;;;-0,031;0,008;;;-0,025;-0,023;-0,015;-0,014;;;;;;
2024-02-27;-0,029;-0,031;-0,032;-0,031;-0,033;0,008;-0,036;-0,042;-0,025;-0,024;-0,016;-0,014;-0,035;-0,024;-0,028;-0,007;-0,035;
2024-02-28;-0,029;-0,031;-0,033;-0,031;-0,033;0,006;-0,034;-0,042;-0,025;-0,022;-0,015;-0,014;-0,036;-0,024;-0,029;-0,005;-0,035;
2024-02-29;-0,028;-0,030;-0,031;-0,029;-0,036;0,008;-0,037;-0,041;-0,025;-0,022;-0,013;-0,013;-0,035;-0,023;-0,028;-0,003;-0,031;
2024-03-01;-0,027;-0,029;-0,030;-0,027;-0,029;0,008;-0,031;-0,041;-0,025;-0,022;-0,010;-0,011;-0,035;-0,023;-0,028;-0,001;-0,027;
2024-03-04;-0,025;-0,025;-0,026;-0,024;;;-0,027;-0,041;;;;;-0,031;-0,023;-0,027;0,002;-0,022;
2024-03-05;;;;;-0,031;0,008;;;-0,024;-0,019;-0,014;-0,012;;;;;;
2024-03-06;-0,025;-0,027;-0,028;-0,026;-0,024;0,012;-0,044;-0,036;-0,024;-0,018;-0,014;-0,012;-0,034;-0,023;-0,027;-0,002;-0,026;
2024-03-07;-0,025;-0,026;-0,027;-0,025;-0,023;0,014;-0,046;-0,035;-0,024;-0,020;-0,012;-0,009;-0,036;-0,023;-0,026;-0,000;-0,024;
2024-03-08;-0,024;-0,025;-0,026;-0,024;-0,029;0,016;-0,049;-0,035;-0,023;-0,021;-0,016;-0,010;-0,034;-0,022;-0,024;-0,004;-0,027;
2024-03-11;-0,025;-0,028;-0,029;-0,026;-0,028;0,016;-0,046;;-0,023;-0,020;-0,016;-0,011;-0,030;-0,022;-0,024;-0,004;-0,029;
2024-03-12;-0,023;-0,024;-0,025;-0,022;-0,022;0,015;-0,044;;-0,023;-0,020;-0,010;-0,007;-0,024;-0,022;-0,023;0,000;-0,023;
2024-03-13;-0,023;-0,024;-0,025;-0,022;-0,022;0,015;-0,039;-0,033;-0,023;-0,020;-0,011;-0,008;-0,024;-0,022;-0,023;0,000;-0,026;
2024-03-14;;;;;-0,026;0,012;-0,034;-0,033;;;;;-0,020;-0,022;-0,025;0,003;-0,024;
2024-03-15;-0,023;-0,023;-0,023;-0,021;-0,026;0,009;-0,033;-0,032;-0,024;-0,018;-0,012;-0,008;-0,026;-0,022;-0,026;0,002;-0,029;
2024-03-18;-0,020;-0,019;-0,020;-0,018;-0,025;0,008;-0,035;-0,032;-0,024;-0,017;-0,009;-0,007;-0,023;-0,022;-0,026;0,007;-0,022;
2024-03-19;-0,021;-0,020;-0,021;-0,018;-0,021;0,006;-0,034;-0,030;-0,023;-0,013;-0,004;-0,006;-0,027;-0,022;-0,026;0,008;-0,023;
2024-03-20;-0,018;-0,017;-0,017;-0,015;-0,016;0,008;-0,029;-0,028;-0,023;-0,014;-0,002;-0,004;-0,023;-0,022;-0,025;0,012;-0,018;
2024-03-21;-0,014;-0,011;-0,011;-0,008;-0,019;0,007;-0,023;-0,029;-0,023;-0,015;0,000;-0,002;-0,016;-0,022;-0,025;0,015;-0,015;
2024-03-22;-0,013;-0,010;-0,010;-0,007;;;-0,019;-0,024;;;;;-0,018;-0,022;-0,023;0,018;-0,011;
2024-03-25;;;;;-0,014;0,008;;;-0,023;-0,009;0,003;-0,000;;;;;;
2024-03-26;-0,013;-0,009;-0,009;-0,006;-0,013;0,007;-0,016;-0,023;-0,023;-0,008;0,004;-0,000;-0,015;-0,022;-0,024;0,018;-0,011;
2024-03-27;-0,012;-0,008;-0,008;-0,004;-0,009;0,008;-0,012;-0,017;-0,022;-0,007;0,006;0,001;-0,015;-0,021;-0,024;0,021;-0,008;
2024-03-28;-0,010;-0,005;-0,004;-0,001;-0,005;0,006;-0,009;-0,015;-0,022;-0,005;0,009;0,002;-0,011;-0,021;-0,024;0,025;-0,005;
2024-04-02;-0,011;-0,007;-0,007;-0,003;0,002;0,003;-0,009;-0,016;-0,022;-0,003;0,008;0,001;-0,007;-0,021;-0,024;0,023;-0,005;
2024-04-03;-0,012;-0,007;-0,007;-0,004;0,000;0,004;-0,014;-0,019;-0,022;-0,003;0,005;0,001;-0,013;-0,021;-0,025;0,021;-0,007;
2024-04-04;-0,012;-0,008;-0,008;-0,005;-0,007;0,005;-0,016;-0,021;-0,022;-0,005;-0,003;-0,000;-0,013;-0,021;-0,024;0,014;-0,014;
2024-04-05;-0,014;-0,011;-0,011;-0,007;-0,005;0,004;-0,013;-0,023;-0,022;-0,004;0,002;0,000;-0,012;-0,021;-0,024;0,019;-0,010;
2024-04-08;-0,015;-0,011;-0,011;-0,008;-0,006;0,004;-0,017;-0,025;-0,022;-0,005;0,001;0,000;-0,015;-0,020;-0,025;0,016;-0,013;
2024-04-09;-0,015;-0,012;-0,012;-0,008;-0,005;0,005;-0,018;-0,024;-0,022;-0,006;0,000;-0,001;-0,011;-0,020;-0,024;0,016;-0,011;
2024-04-10;-0,013;-0,009;-0,009;-0,006;-0,010;-0,001;;-0,030;-0,022;-0,007;0,001;0,000;-0,005;-0,020;-0,024;0,018;-0,008;
2024-04-11;-0,013;-0,008;-0,008;-0,005;-0,002;-0,003;;-0,029;-0,022;-0,005;0,006;0,000;-0,004;-0,020;-0,025;0,022;-0,001;
2024-04-12;-0,008;-0,003;-0,003;0,001;-0,010;-0,006;;-0,027;-0,022;-0,004;0,003;0,001;-0,005;-0,020;-0,023;0,022;-0,003;
2024-04-15;-0,009;-0,004;-0,003;0,000;-0,013;-0,010;-0,011;-0,027;-0,022;-0,003;-0,001;-0,001;-0,011;-0,020;-0,024;0,017;-0,011;
2024-04-16;-0,015;-0,011;-0,011;-0,008;-0,015;-0,015;-0,013;-0,031;-0,023;-0,003;-0,000;-0,002;-0,020;-0,020;-0,025;0,016;-0,011;
2024-04-17;-0,013;-0,008;-0,008;-0,004;-0,016;-0,012;-0,013;-0,029;-0,024;-0,002;-0,002;-0,002;-0,017;-0,020;-0,025;0,016;-0,012;
2024-04-18;-0,014;-0,011;-0,011;-0,007;;;-0,017;-0,025;;;;;-0,015;-0,020;-0,026;0,014;-0,015;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;;;;;-0,009;-0,010;;;-0,022;-0,001;-0,001;-0,000;;;;;;
2024-04-24;-0,013;-0,008;-0,009;-0,005;;;-0,018;-0,019;;;;;-0,009;-0,019;-0,025;0,018;-0,016;
2024-04-25;;;;;-0,006;-0,013;;;-0,023;-0,001;-0,002;-0,002;;;;;;
2024-04-26;-0,011;-0,005;-0,005;-0,002;-0,001;-0,014;-0,016;-0,016;;;;;-0,003;-0,019;-0,025;0,023;-0,010;
2024-04-29;-0,010;-0,004;-0,004;-0,001;0,005;-0,010;-0,011;-0,012;-0,022;0,003;0,007;0,003;0,001;-0,019;-0,025;0,023;-0,011;
2024-04-30;-0,010;-0,004;-0,004;-0,001;0,000;-0,016;-0,013;;-0,023;0,004;0,005;0,001;-0,001;-0,019;-0,025;0,020;-0,015;
2024-05-02;-0,012;-0,008;-0,009;-0,005;0,010;-0,008;-0,008;-0,011;-0,022;0,003;0,007;0,000;0,001;-0,018;-0,025;0,019;-0,014;
2024-05-03;-0,011;-0,006;-0,007;-0,002;;;-0,009;-0,011;;;;;0,002;-0,018;-0,025;0,019;-0,013;
2024-05-06;;;;;0,012;-0,004;;;-0,021;0,002;0,010;0,003;;;;;;
2024-05-07;-0,007;-0,000;-0,001;0,003;0,011;-0,004;-0,002;-0,006;-0,021;0,003;0,011;0,005;0,006;-0,018;-0,024;0,024;-0,008;
2024-05-08;-0,005;0,001;0,002;0,005;0,014;-0,006;0,000;-0,001;-0,021;0,006;0,015;0,007;0,007;-0,018;-0,023;0,027;-0,007;
2024-05-10;-0,003;0,005;0,005;0,009;0,014;-0,007;-0,003;0,001;-0,021;0,005;0,019;0,008;0,009;-0,018;-0,024;0,027;-0,009;
2024-05-13;-0,003;0,005;0,005;0,009;0,018;-0,007;-0,006;;-0,021;0,005;0,017;0,010;0,011;-0,018;-0,023;0,027;-0,009;
2024-05-14;-0,003;0,004;0,005;0,008;0,019;-0,005;-0,006;0,003;-0,021;0,005;0,018;0,010;0,012;-0,018;-0,023;0,029;-0,006;
2024-05-15;-0,002;0,005;0,006;0,009;0,020;-0,000;-0,007;0,004;-0,021;0,005;0,021;0,011;0,010;-0,017;-0,022;0,030;-0,004;
2024-05-16;-0,001;0,006;0,007;0,010;0,017;0,000;-0,006;0,002;-0,021;0,003;0,017;0,010;0,016;-0,017;-0,022;0,029;-0,003;
2024-05-17;-0,002;0,005;0,006;0,009;0,019;0,000;-0,004;0,003;-0,021;0,004;0,020;0,010;0,017;-0,017;-0,022;0,029;-0,004;
2024-05-20;-0,001;0,006;0,007;0,010;;;-0,003;0,001;-0,021;0,004;0,019;0,011;0,017;-0,017;-0,022;0,030;-0,002;
2024-05-21;-0,002;0,005;0,006;0,009;0,011;-0,001;-0,004;-0,000;-0,021;0,003;0,018;0,011;0,012;-0,017;-0,022;0,029;-0,003;
2024-05-22;-0,001;0,006;0,008;0,010;0,010;-0,003;-0,001;-0,002;-0,021;0,003;0,017;0,011;0,013;-0,017;-0,023;0,029;-0,002;
2024-05-23;-0,002;0,006;0,007;0,010;0,009;-0,005;0,000;-0,009;-0,022;0,002;0,016;0,011;0,011;-0,017;-0,024;0,027;-0,003;
2024-05-24;-0,004;0,002;0,004;0,006;0,011;-0,005;-0,002;-0,012;-0,022;0,003;;0,010;0,004;-0,016;-0,024;0,027;-0,004;
2024-05-27;;;;;;;-0,007;-0,011;;;;;0,006;-0,016;-0,023;;;
2024-05-28;;;;;0,004;-0,005;;;;;;;;;;;;
2024-05-29;-0,007;-0,002;-0,000;0,002;-0,004;-0,010;-0,003;-0,022;-0,022;-0,002;0,009;0,007;-0,001;-0,016;-0,023;0,022;-0,005;
2024-05-30;-0,008;-0,003;-0,002;0,000;-0,001;-0,009;-0,005;-0,017;-0,022;-0,001;0,004;0,006;-0,009;-0,016;-0,023;0,018;-0,013;
2024-05-31;-0,011;-0,007;-0,006;-0,004;;;-0,006;-0,014;;;;;-0,017;-0,016;-0,023;0,017;-0,017;
2024-06-03;;;;;-0,007;-0,006;;;-0,021;-0,005;0,002;0,005;;;;;;
2024-06-04;-0,009;-0,005;-0,005;-0,002;-0,015;-0,006;-0,007;-0,017;-0,020;-0,006;0,000;0,005;-0,016;-0,016;-0,022;0,016;-0,014;
2024-06-05;-0,010;-0,006;-0,005;-0,003;-0,007;-0,006;-0,012;-0,019;-0,020;-0,007;0,005;0,007;-0,014;-0,016;-0,022;0,019;-0,009;
2024-06-07;-0,006;0,001;0,002;0,003;-0,015;-0,010;-0,007;-0,024;-0,021;-0,009;0,006;0,009;-0,007;-0,015;-0,023;0,022;-0,006;
2024-06-10;-0,007;-0,001;-0,001;0,001;-0,004;-0,010;-0,006;-0,021;-0,021;-0,006;0,014;0,007;-0,009;-0,015;-0,022;0,022;-0,006;
2024-06-11;-0,008;-0,003;-0,002;-0,001;-0,011;-0,012;;-0,029;-0,021;-0,009;0,010;0,006;-0,011;-0,015;-0,022;0,021;-0,005;
2024-06-12;-0,007;-0,002;-0,001;-0,000;-0,005;-0,010;-0,012;-0,028;-0,020;-0,010;0,007;0,007;-0,019;-0,015;-0,021;0,017;-0,008;
2024-06-13;-0,005;0,000;0,002;0,003;-0,011;-0,010;-0,002;-0,031;;;;;-0,008;-0,015;-0,021;0,022;-0,002;
2024-06-14;-0,003;0,003;0,004;0,005;-0,005;-0,010;0,000;-0,031;-0,019;-0,010;0,014;0,006;-0,004;-0,015;-0,020;0,023;0,002;
2024-06-17;-0,004;0,002;0,003;0,004;-0,001;-0,011;;-0,035;-0,020;-0,011;0,015;0,006;-0,006;-0,015;-0,020;0,023;0,001;
2024-06-18;-0,004;0,002;0,004;0,004;-0,001;-0,010;-0,005;-0,033;-0,020;-0,012;0,015;0,006;-0,006;-0,015;-0,020;0,021;-0,001;
2024-06-19;;;;;;;-0,004;-0,035;-0,019;-0,013;;0,006;0,001;-0,015;-0,020;;;
2024-06-20;-0,003;0,004;0,006;0,006;0,000;-0,012;0,002;-0,031;-0,020;-0,013;0,016;0,007;0,003;-0,015;-0,020;0,021;-0,001;
2024-06-24;-0,002;0,004;0,005;0,006;;;-0,003;-0,028;;;;;-0,002;-0,014;-0,020;0,022;-0,006;
2024-06-25;;;;;-0,001;-0,010;;;-0,019;-0,012;0,015;0,007;;;;;;
2024-06-26;-0,001;0,006;0,007;0,008;0,002;-0,015;0,005;-0,031;-0,019;-0,011;0,018;0,007;0,002;-0,014;-0,019;0,026;0,004;
2024-06-27;-0,000;0,007;0,009;0,009;0,005;-0,015;0,007;-0,032;-0,019;-0,008;0,020;0,008;0,002;-0,014;-0,019;0,028;0,007;
2024-06-28;0,001;0,008;0,010;0,011;0,006;-0,015;0,006;-0,031;-0,019;-0,006;0,020;0,007;0,003;-0,014;-0,019;0,025;0,006;
2024-07-01;0,000;0,008;0,009;0,011;0,004;-0,018;0,006;-0,030;-0,020;-0,006;0,018;0,009;0,005;-0,014;-0,019;0,028;0,008;
2024-07-02;-0,000;0,007;0,009;0,010;0,009;-0,018;0,009;-0,030;-0,019;-0,003;0,023;0,008;0,001;-0,014;-0,020;0,028;0,009;
2024-07-03;-0,001;0,006;0,007;0,008;0,010;-0,016;0,008;-0,028;-0,019;-0,006;;0,008;0,002;-0,014;-0,019;0,026;0,007;
2024-07-04;;;;;;;0,010;-0,029;;;;;0,009;-0,014;-0,019;;;
2024-07-05;0,001;0,009;0,011;0,011;0,011;-0,011;0,012;-0,026;-0,019;-0,006;0,020;0,009;0,008;-0,014;-0,019;0,030;0,013;
2024-07-08;0,002;0,011;0,013;0,013;0,012;-0,011;0,014;-0,027;-0,018;-0,005;0,020;0,010;0,012;-0,013;-0,019;0,032;0,015;
2024-07-09;0,003;0,012;0,014;0,014;0,018;-0,011;0,019;-0,025;;;;;0,014;-0,013;-0,019;0,032;0,017;
2024-07-10;0,004;0,013;0,014;0,015;0,020;-0,010;0,017;-0,020;-0,018;-0,003;0,027;0,010;0,014;-0,013;-0,018;0,036;0,019;
2024-07-11;0,006;0,015;0,017;0,018;0,023;-0,006;0,015;-0,013;-0,018;-0,002;0,023;0,010;0,017;-0,013;-0,017;0,033;0,015;
2024-07-12;0,008;0,017;0,019;0,021;;;0,020;-0,010;;;;;0,020;-0,013;-0,016;0,037;0,017;
2024-07-18;;;;;;;;;;;;;;;;;;
2024-07-19;;;;;0,009;-0,010;;-0,007;-0,017;0,005;0,024;0,010;;;;;;
2024-07-22;0,008;0,017;0,018;0,020;0,013;-0,010;0,017;;-0,017;0,005;0,028;0,013;0,009;-0,012;-0,015;0,038;0,010;
2024-07-23;0,010;0,020;0,020;0,023;0,014;-0,010;0,020;-0,002;-0,016;0,009;0,033;0,013;0,012;-0,012;-0,014;0,041;0,013;
2024-07-24;0,007;0,016;0,016;0,019;0,009;-0,010;0,020;-0,001;-0,016;0,009;0,025;0,010;0,009;-0,012;-0,014;0,031;0,004;
2024-07-25;0,005;0,012;0,012;0,015;;;0,021;-0,001;;;;;0,006;-0,012;-0,014;0,030;-0,004;
2024-07-26;;;;;0,011;-0,010;;;-0,016;0,011;0,029;0,012;;;;;;
2024-07-29;0,009;0,019;0,019;0,023;0,010;-0,009;0,027;0,004;-0,015;0,012;0,030;0,012;0,007;-0,012;-0,014;0,035;-0,001;
2024-07-30;0,008;0,016;0,017;0,021;0,007;-0,008;0,024;0,005;-0,015;0,011;0,029;0,011;0,003;-0,012;-0,013;0,031;-0,006;
2024-07-31;0,008;0,016;0,016;0,019;0,015;-0,002;0,018;0,001;-0,015;0,008;0,032;0,013;0,006;-0,012;-0,013;0,035;0,001;
2024-08-01;0,008;0,015;0,016;0,019;0,003;-0,002;0,013;;-0,014;0,006;0,025;0,009;0,006;-0,012;-0,012;0,028;-0,007;
2024-08-02;-0,003;-0,001;-0,002;0,001;;;0,010;-0,001;;;;;-0,011;-0,012;-0,011;0,014;-0,025;
2024-08-05;;;;;-0,022;0,007;;;-0,014;0,004;-0,002;-0,002;;;;;;
2024-08-06;-0,011;-0,014;-0,015;-0,012;-0,020;0,005;0,003;-0,016;-0,014;0,002;0,002;-0,002;-0,024;-0,012;-0,012;0,004;-0,035;
2024-08-07;-0,008;-0,008;-0,009;-0,007;-0,021;0,003;0,003;-0,015;-0,015;0,000;-0,003;-0,002;-0,020;-0,012;-0,013;0,001;-0,037;
2024-08-08;-0,009;-0,009;-0,010;-0,008;-0,009;0,004;0,008;-0,016;-0,014;0,001;0,005;0,002;-0,017;-0,012;-0,012;0,010;-0,027;
2024-08-09;-0,007;-0,007;-0,008;-0,006;-0,004;0,007;0,013;-0,013;-0,014;0,003;0,009;0,003;-0,010;-0,012;-0,012;0,012;-0,023;
2024-08-12;-0,006;-0,005;-0,005;-0,004;-0,002;0,007;0,013;-0,014;-0,014;0,003;0,008;0,003;;;;;;
2024-08-13;-0,003;-0,001;-0,002;-0,000;;;0,013;-0,011;;;;;-0,005;-0,011;-0,010;0,018;-0,012;
2024-08-14;;;;;-0,002;0,011;;;-0,014;0,004;0,014;0,006;;;;;;
2024-08-15;0,002;0,007;0,007;0,008;;;0,017;-0,007;-0,014;0,006;0,022;0,009;-0,003;-0,011;-0,011;0,024;-0,003;
2024-08-16;0,004;0,009;0,010;0,011;0,013;0,012;0,020;-0,005;-0,014;0,007;0,024;0,009;0,006;-0,011;-0,010;0,027;0,002;
2024-08-19;0,003;0,008;0,008;0,009;0,014;0,015;0,017;-0,005;-0,014;0,006;0,023;0,009;0,003;-0,011;-0,010;0,024;0,000;
2024-08-20;0,003;0,008;0,008;0,009;0,005;0,016;0,015;-0,010;-0,014;0,002;0,017;0,007;-0,001;-0,011;-0,009;0,021;-0,003;
2024-08-21;0,002;0,006;0,006;0,008;0,002;0,017;0,014;-0,012;-0,013;0,001;0,016;0,007;-0,003;-0,011;-0,009;0,021;-0,003;
2024-08-22;0,004;0,008;0,009;0,009;;;0,015;-0,012;;;;;-0,003;-0,011;-0,009;0,020;-0,006;
2024-08-27;;;;;0,001;0,018;;;-0,013;0,002;0,019;0,008;;;;;;
2024-08-28;0,004;0,008;0,007;0,009;-0,004;0,016;0,014;-0,008;-0,013;0,000;0,015;0,008;-0,009;-0,010;-0,008;0,020;-0,009;
2024-08-29;0,005;0,010;0,010;0,011;-0,003;0,015;0,015;-0,009;;;;;-0,007;-0,010;-0,008;0,022;-0,008;
2024-08-30;0,006;0,011;0,011;0,012;-0,001;0,012;0,019;-0,005;-0,013;0,000;0,022;0,011;-0,006;-0,010;-0,007;0,026;-0,004;
2024-09-02;;;;;;;0,017;-0,004;-0,013;0,001;;0,011;-0,007;-0,010;-0,008;;;
2024-09-03;0,005;0,010;0,009;0,010;-0,007;0,010;0,016;-0,004;-0,013;0,002;0,018;0,009;-0,007;-0,010;-0,007;0,021;-0,013;
2024-09-04;0,000;0,002;0,001;0,002;;;0,015;;;;;;-0,017;-0,009;-0,007;0,015;-0,020;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;;;;;0,030;0,006;;;-0,010;0,005;0,040;0,013;;;;;;
2024-10-11;0,010;0,019;0,022;0,020;0,035;0,007;0,030;-0,001;;;;;0,033;-0,007;-0,005;0,039;0,012;
2024-10-14;0,014;0,024;0,027;0,025;0,034;0,005;0,030;0,002;-0,010;0,006;0,046;0,016;0,035;-0,007;-0,004;0,043;0,017;
2024-10-15;0,013;0,023;0,026;0,024;0,026;0,004;0,028;0,005;-0,009;0,006;0,042;0,013;0,028;-0,006;-0,004;0,039;0,010;
2024-10-16;0,013;0,022;0,024;0,024;0,029;0,003;0,036;0,008;-0,009;0,006;0,045;0,015;0,029;-0,006;-0,003;0,044;0,013;
2024-10-17;0,016;0,026;0,028;0,027;0,031;0,000;0,036;0,010;-0,009;0,010;0,052;0,016;0,029;-0,006;-0,003;0,045;0,014;
2024-10-18;0,017;0,027;0,029;0,028;0,035;0,000;0,035;0,009;-0,008;0,009;0,052;0,017;0,038;-0,006;-0,003;0,048;0,019;
2024-10-21;0,016;0,026;0,029;0,028;0,033;-0,003;0,036;0,008;-0,009;0,010;0,053;0,016;0,036;-0,006;-0,004;0,046;0,019;
2024-10-22;0,015;0,024;0,027;0,026;0,030;-0,004;0,039;0,005;-0,009;0,009;0,050;0,015;0,034;-0,006;-0,004;0,044;0,017;
2024-10-23;0,015;0,025;0,028;0,027;0,030;-0,008;0,041;0,005;-0,008;0,009;0,048;0,014;0,038;-0,006;-0,004;0,043;0,015;
2024-10-24;0,014;0,023;0,026;0,025;0,029;-0,005;0,038;0,003;;;;;0,033;-0,006;-0,003;0,040;0,013;
2024-10-25;0,015;0,024;0,027;0,026;;;0,037;0,002;;;;;0,034;-0,006;-0,003;0,039;0,013;
2024-10-28;;;;;0,033;-0,010;;;-0,008;0,011;0,047;0,017;;;;;;
2024-10-29;0,018;0,028;0,031;0,030;0,034;-0,010;0,044;0,005;-0,008;0,014;0,051;0,017;0,038;-0,006;-0,003;0,045;0,020;
2024-10-30;0,018;0,028;0,031;0,030;0,029;-0,010;0,046;0,002;-0,009;0,014;0,047;0,016;0,033;-0,006;-0,003;0,044;0,020;
2024-10-31;0,013;0,021;0,024;0,023;0,026;-0,010;0,044;0,002;-0,009;0,016;0,042;0,013;0,031;-0,006;-0,004;0,038;0,015;
2024-11-01;0,015;0,024;0,028;0,026;0,029;-0,014;0,044;0,002;-0,009;0,016;0,046;0,015;0,033;-0,006;-0,003;0,040;0,017;
2024-11-04;0,014;0,023;0,026;0,025;;;0,044;0,001;;;;;0,036;-0,005;-0,003;0,037;0,016;
2024-11-05;;;;;0,039;-0,009;;;-0,009;0,018;0,048;0,016;;;;;;
2024-11-06;0,021;0,034;0,038;0,037;0,039;-0,015;0,054;0,005;-0,008;0,020;0,062;0,017;0,041;-0,005;-0,003;0,052;0,031;
2024-11-07;0,021;0,034;0,039;0,038;;;0,045;0,001;;;;;0,039;-0,005;-0,004;0,048;0,029;
2024-11-08;;;;;0,034;-0,010;;;-0,008;0,016;0,066;0,017;;;;;;
2024-11-11;0,024;0,038;0,043;0,042;;;0,055;0,006;;;;;0,038;-0,005;-0,003;0,054;0,038;
2024-11-12;;;;;0,030;-0,017;;;-0,007;0,017;0,071;0,015;;;;;;
2024-11-13;0,022;0,035;0,040;0,039;0,027;-0,020;0,055;-0,002;-0,007;0,017;0,073;0,015;0,030;-0,005;-0,003;0,053;0,040;
2024-11-14;0,023;0,036;0,041;0,039;;;0,054;0,002;;;;;0,024;-0,005;-0,003;0,050;0,037;
2024-11-15;;;;;0,027;-0,019;;;-0,007;0,018;0,067;0,013;;;;;;
2024-11-18;0,019;0,030;0,034;0,033;0,034;-0,017;0,052;0,003;-0,007;0,018;0,066;0,013;0,028;-0,005;-0,003;0,047;0,033;
2024-11-19;0,018;0,029;0,033;0,032;0,032;-0,016;0,053;0,003;-0,007;0,017;0,065;0,013;0,030;-0,005;-0,003;0,050;0,036;
2024-11-20;0,020;0,033;0,037;0,036;0,032;-0,017;0,055;0,004;-0,007;0,017;0,068;0,013;0,034;-0,005;-0,003;0,053;0,040;
2024-11-21;0,020;0,033;0,037;0,035;0,033;-0,017;0,056;0,008;-0,007;0,018;0,072;0,014;0,030;-0,005;-0,003;0,054;0,041;
2024-11-22;0,024;0,038;0,043;0,041;0,036;-0,018;0,060;0,013;-0,006;0,018;0,077;0,015;0,030;-0,005;-0,003;0,056;0,043;
2024-11-25;0,024;0,037;0,042;0,040;0,037;-0,015;0,055;0,026;-0,006;0,019;0,074;0,015;0,029;-0,004;-0,002;0,056;0,043;
2024-11-26;0,024;0,037;0,042;0,040;0,035;-0,016;0,053;0,022;-0,006;0,017;0,075;0,015;0,028;-0,004;-0,002;0,059;0,047;
2024-11-27;0,024;0,037;0,041;0,039;0,030;-0,014;0,057;0,011;;;;;0,023;-0,004;-0,001;0,054;0,042;
2024-11-28;;;;;;;;;-0,005;0,017;;0,015;;;;;;
2024-11-29;0,024;0,036;0,041;0,038;0,028;-0,012;0,062;0,011;-0,005;0,017;0,072;0,016;0,019;-0,004;-0,001;0,056;0,044;
2024-12-02;0,028;0,043;0,047;0,045;0,033;-0,014;0,068;0,009;-0,004;0,017;0,076;0,019;0,027;-0,004;-0,000;0,061;0,051;
