
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;storebrand emerging markets plus a;storebrand europa a;storebrand frn företagsobligation a;storebrand global all countries a;storebrand global företagsobligation a;storebrand global indeks a4;storebrand global low volatility a;storebrand global multifactor a;storebrand global plus a;storebrand global solutions a;storebrand grön obligation a;storebrand japan a;storebrand kortränta a;storebrand obligation a;storebrand sverige a;storebrand sverige plus a;storebrand usa a;
2023-01-05;-0,052;-0,118;-0,061;-0,088;-0,042;;-0,052;-0,065;-0,083;-0,059;-0,053;-0,093;-0,038;-0,037;-0,091;-0,084;-0,123;
2023-01-09;-0,051;-0,113;-0,060;-0,089;-0,038;;-0,057;-0,069;-0,084;-0,057;-0,052;;-0,038;-0,036;-0,081;-0,073;-0,126;
2023-01-10;-0,049;-0,114;-0,060;-0,086;-0,039;;-0,056;-0,066;-0,081;-0,054;-0,051;-0,095;-0,038;-0,035;-0,082;-0,075;-0,121;
2023-01-11;-0,046;-0,110;-0,060;-0,080;-0,038;;-0,052;-0,061;-0,074;-0,045;-0,049;-0,089;-0,037;-0,031;-0,077;-0,069;-0,113;
2023-01-12;-0,046;-0,106;-0,060;-0,077;-0,036;;-0,051;-0,059;-0,071;-0,040;-0,049;-0,079;-0,037;-0,030;-0,072;-0,064;-0,113;
2023-01-13;-0,044;-0,106;-0,060;-0,077;-0,036;;-0,052;-0,059;-0,072;-0,039;-0,049;-0,076;-0,037;-0,031;-0,074;-0,066;-0,113;
2023-01-16;-0,042;-0,102;-0,059;;;;;;;;-0,049;-0,082;-0,037;-0,032;-0,070;-0,062;;
2023-01-17;-0,045;-0,103;-0,059;-0,078;-0,034;;-0,054;-0,060;-0,072;-0,038;-0,048;-0,078;-0,037;-0,030;-0,072;-0,065;-0,114;
2023-01-18;-0,050;-0,106;-0,058;-0,087;-0,032;;-0,065;-0,068;-0,081;-0,046;-0,048;-0,077;-0,037;-0,028;-0,072;-0,064;-0,127;
2023-01-19;-0,047;-0,110;-0,058;-0,086;-0,033;;-0,063;-0,068;-0,082;-0,050;-0,048;-0,078;-0,037;-0,030;-0,082;-0,075;-0,126;
2023-01-20;-0,046;-0,109;-0,058;-0,083;-0,035;;-0,063;-0,066;-0,078;-0,047;-0,049;-0,083;-0,037;-0,032;-0,077;-0,070;-0,121;
2023-01-23;;-0,109;-0,057;-0,082;-0,035;;-0,064;-0,065;-0,076;-0,045;-0,049;-0,084;-0,037;-0,033;-0,071;-0,063;-0,118;
2023-01-24;;-0,110;-0,057;-0,082;-0,034;;-0,065;-0,066;-0,077;-0,046;-0,048;-0,077;-0,037;-0,033;-0,073;-0,065;-0,119;
2023-01-25;-0,046;-0,108;-0,057;-0,080;-0,034;;-0,062;-0,063;-0,075;-0,046;-0,047;-0,071;-0,037;-0,031;-0,075;-0,068;-0,117;
2023-01-26;;;;;;;;;;;;;;;;;;
2023-01-27;-0,039;-0,103;-0,056;-0,072;-0,034;;-0,061;-0,056;-0,068;-0,035;-0,047;-0,068;-0,037;-0,033;-0,074;-0,066;-0,109;
2023-01-30;-0,040;-0,101;-0,056;-0,074;-0,035;;-0,059;-0,057;-0,070;-0,038;-0,047;-0,068;-0,037;-0,033;-0,075;-0,067;-0,112;
2023-01-31;-0,040;-0,099;-0,056;-0,067;-0,034;;-0,053;-0,048;-0,061;-0,029;-0,047;-0,065;-0,037;-0,032;-0,077;-0,069;-0,102;
2023-02-01;-0,037;-0,098;-0,056;-0,065;-0,033;;-0,055;-0,046;-0,059;-0,023;-0,046;-0,065;-0,037;-0,032;-0,074;-0,065;-0,098;
2023-02-02;-0,039;-0,096;-0,055;-0,064;-0,029;;-0,058;-0,048;-0,057;-0,021;-0,044;-0,067;-0,037;-0,027;-0,058;-0,048;-0,096;
2023-02-03;;;;;;;;;;;;;;;;;;
2023-02-06;-0,040;-0,093;-0,054;-0,060;-0,033;;-0,051;-0,044;-0,054;-0,022;-0,045;-0,066;-0,036;-0,030;-0,066;-0,057;-0,091;
2023-02-07;-0,040;-0,095;-0,054;-0,057;-0,034;;-0,050;-0,041;-0,050;-0,019;-0,045;-0,060;-0,036;-0,031;-0,067;-0,058;-0,086;
2023-02-08;-0,038;-0,093;-0,054;-0,059;-0,034;;-0,052;-0,044;-0,054;-0,021;-0,046;-0,062;-0,036;-0,031;-0,068;-0,058;-0,091;
2023-02-09;-0,049;-0,101;-0,054;-0,074;-0,034;;-0,065;-0,057;-0,068;-0,034;-0,047;-0,072;-0,036;-0,035;-0,070;-0,060;-0,108;
2023-02-10;-0,048;-0,103;-0,054;-0,070;-0,036;;-0,058;-0,051;-0,064;-0,033;-0,049;-0,067;-0,037;-0,038;-0,076;-0,067;-0,102;
2023-02-13;-0,051;-0,100;-0,053;-0,069;-0,036;;-0,057;-0,051;-0,062;-0,032;-0,049;-0,077;-0,036;-0,039;-0,070;-0,061;-0,099;
2023-02-14;-0,051;-0,100;-0,053;-0,069;-0,037;;-0,060;-0,052;-0,063;-0,030;-0,049;-0,074;-0,036;-0,039;-0,070;-0,061;-0,100;
2023-02-15;-0,053;-0,098;-0,052;-0,066;-0,038;;-0,057;-0,050;-0,059;-0,024;-0,049;-0,078;-0,036;-0,040;-0,066;-0,058;-0,095;
2023-02-16;-0,050;-0,097;-0,052;-0,069;-0,038;;-0,059;-0,051;-0,062;-0,029;-0,048;-0,074;-0,036;-0,039;-0,067;-0,058;-0,100;
2023-02-17;-0,054;-0,096;-0,052;-0,069;-0,038;;-0,055;-0,048;-0,062;-0,029;-0,049;-0,075;-0,036;-0,040;-0,068;-0,061;-0,100;
2023-02-20;-0,057;-0,101;-0,051;;;;;;;;-0,050;-0,078;-0,036;-0,042;-0,070;-0,062;;
2023-02-21;;;;;;;;;;;;;;;;;;
2023-02-22;-0,064;-0,102;-0,051;-0,080;-0,040;;-0,063;-0,058;-0,073;-0,039;-0,051;-0,084;-0,036;-0,045;-0,075;-0,068;-0,112;
2023-02-23;;;;;;;;;;;;;;;;;;
2023-02-24;-0,064;-0,106;-0,050;-0,079;-0,041;;-0,064;-0,057;-0,073;-0,039;-0,051;-0,083;-0,036;-0,046;-0,079;-0,073;-0,111;
2023-02-27;-0,069;-0,103;-0,050;-0,081;-0,041;;-0,066;-0,060;-0,074;-0,038;-0,051;-0,084;-0,036;-0,046;-0,073;-0,067;-0,113;
2023-02-28;-0,070;-0,103;-0,050;-0,081;-0,042;;-0,068;-0,060;-0,074;-0,038;-0,051;-0,083;-0,036;-0,046;-0,073;-0,067;-0,113;
2023-03-01;-0,062;-0,102;-0,050;-0,080;-0,043;;-0,069;-0,059;-0,075;-0,036;-0,051;-0,081;-0,036;-0,046;-0,076;-0,069;-0,114;
2023-03-02;-0,061;-0,101;-0,050;-0,076;-0,043;;-0,065;-0,056;-0,071;-0,031;-0,051;-0,082;-0,036;-0,046;-0,076;-0,070;-0,108;
2023-03-03;;;;;;;;;;;;;;;;;;
2023-03-06;-0,056;-0,096;-0,050;-0,071;-0,043;;-0,064;-0,055;-0,066;-0,024;-0,051;-0,072;-0,036;-0,045;-0,067;-0,061;-0,103;
2023-03-07;-0,049;-0,094;-0,050;-0,068;-0,043;;-0,060;-0,051;-0,063;-0,021;-0,051;-0,065;-0,036;-0,045;-0,071;-0,065;-0,101;
2023-03-08;-0,053;-0,095;-0,050;-0,068;-0,043;;-0,062;-0,050;-0,062;-0,021;-0,051;-0,064;-0,036;-0,043;-0,071;-0,065;-0,100;
2023-03-09;-0,055;-0,093;-0,050;-0,072;-0,043;;-0,063;-0,053;-0,065;-0,024;-0,051;-0,056;-0,035;-0,044;-0,073;-0,067;-0,107;
2023-03-10;-0,066;-0,098;-0,051;-0,082;-0,040;;-0,069;-0,064;-0,075;-0,036;-0,050;-0,062;-0,035;-0,041;-0,083;-0,077;-0,119;
2023-03-13;-0,065;-0,108;-0,052;-0,086;-0,038;;-0,072;-0,073;-0,079;-0,038;-0,047;-0,067;-0,035;-0,035;-0,090;-0,085;-0,122;
2023-03-14;-0,076;-0,107;-0,052;-0,087;-0,041;;-0,075;-0,074;-0,078;-0,038;-0,048;-0,086;-0,035;-0,038;-0,083;-0,077;-0,119;
2023-03-15;-0,068;-0,119;-0,053;-0,085;-0,038;;-0,070;-0,075;-0,077;-0,040;-0,049;-0,072;-0,035;-0,036;-0,101;-0,095;-0,116;
2023-03-16;-0,074;-0,115;-0,053;-0,085;-0,040;;-0,072;-0,075;-0,076;-0,042;-0,049;-0,083;-0,035;-0,037;-0,095;-0,089;-0,113;
2023-03-17;-0,070;-0,120;-0,053;-0,088;-0,038;;-0,076;-0,080;-0,080;-0,046;-0,049;-0,075;-0,035;-0,035;-0,104;-0,097;-0,119;
2023-03-20;-0,080;-0,118;-0,055;-0,090;-0,038;;-0,074;-0,080;-0,081;-0,049;-0,049;-0,085;-0,035;-0,035;-0,098;-0,093;-0,120;
2023-03-21;-0,077;-0,112;-0,055;-0,087;-0,037;;-0,074;-0,077;-0,078;-0,042;-0,049;;-0,035;-0,036;-0,093;-0,087;-0,116;
2023-03-22;-0,072;-0,110;-0,054;-0,090;-0,036;;-0,079;-0,082;-0,082;-0,045;-0,050;-0,082;-0,035;-0,038;-0,094;-0,089;-0,123;
2023-03-23;-0,070;-0,110;-0,054;-0,091;-0,034;;-0,082;-0,085;-0,083;-0,046;-0,049;-0,082;-0,035;-0,036;-0,095;-0,089;-0,125;
2023-03-24;-0,065;-0,114;-0,054;-0,085;-0,034;;-0,073;-0,078;-0,077;-0,043;-0,048;-0,074;-0,035;-0,034;-0,103;-0,098;-0,116;
2023-03-27;-0,069;-0,111;-0,054;-0,085;-0,036;;-0,071;-0,077;-0,077;-0,043;-0,049;-0,077;-0,035;-0,036;-0,098;-0,093;-0,117;
2023-03-28;;;;;;;;;;;;;;;;;;
2023-03-29;-0,062;-0,103;-0,054;-0,079;-0,037;;-0,066;-0,070;-0,071;-0,037;-0,049;-0,072;-0,035;-0,036;-0,091;-0,087;-0,111;
2023-03-30;-0,061;-0,097;-0,054;-0,078;-0,036;;-0,066;-0,069;-0,069;-0,034;-0,049;-0,074;-0,035;-0,037;-0,080;-0,076;-0,111;
2023-03-31;-0,058;-0,096;-0,054;-0,072;-0,035;;-0,062;-0,064;-0,063;-0,027;-0,049;-0,070;-0,035;-0,037;-0,075;-0,070;-0,104;
2023-04-03;-0,059;-0,095;-0,054;-0,071;-0,033;;-0,059;-0,062;-0,061;-0,028;-0,048;-0,064;-0,035;-0,036;-0,077;-0,073;-0,102;
2023-04-04;;;;;;;;;;;;;;;;;;
2023-04-05;-0,059;-0,095;-0,053;-0,074;-0,031;;-0,056;-0,066;-0,065;-0,037;-0,046;-0,065;-0,035;-0,034;-0,081;-0,077;-0,107;
2023-04-06;-0,059;-0,091;-0,053;-0,072;-0,031;;-0,054;-0,066;-0,063;-0,037;-0,046;-0,072;-0,035;-0,035;-0,079;-0,075;-0,104;
2023-04-11;-0,052;-0,088;-0,053;-0,068;-0,034;;-0,052;-0,060;-0,060;-0,031;-0,047;-0,071;-0,034;-0,037;-0,072;-0,068;-0,101;
2023-04-12;-0,057;-0,088;-0,053;-0,073;-0,034;;-0,056;-0,064;-0,065;-0,035;-0,048;-0,072;-0,034;-0,038;-0,071;-0,067;-0,108;
2023-04-13;-0,058;-0,086;-0,052;-0,071;-0,034;;-0,056;-0,063;-0,062;-0,032;-0,047;-0,071;-0,034;-0,037;-0,069;-0,065;-0,105;
2023-04-14;-0,055;-0,084;-0,052;-0,070;-0,035;;-0,058;-0,064;-0,062;-0,031;-0,047;-0,071;-0,034;-0,038;-0,064;-0,060;-0,105;
2023-04-17;-0,052;-0,086;-0,052;-0,067;-0,035;;-0,055;-0,060;-0,059;-0,026;-0,048;-0,071;-0,034;-0,040;-0,064;-0,061;-0,101;
2023-04-18;-0,055;-0,084;-0,052;-0,068;-0,034;;-0,056;-0,061;-0,060;-0,028;-0,048;-0,068;-0,034;-0,040;-0,063;-0,060;-0,102;
2023-04-19;-0,058;-0,084;-0,051;-0,069;-0,035;;-0,057;-0,063;-0,060;-0,029;-0,049;-0,069;-0,034;-0,041;-0,066;-0,063;-0,102;
2023-04-20;-0,060;-0,085;-0,051;-0,071;-0,034;;-0,058;-0,065;-0,063;-0,031;-0,048;-0,068;-0,034;-0,040;-0,067;-0,065;-0,105;
2023-04-21;-0,064;-0,083;-0,051;-0,071;-0,035;;-0,057;-0,064;-0,062;-0,032;-0,048;-0,071;-0,034;-0,041;-0,068;-0,066;-0,105;
2023-04-24;-0,067;-0,083;-0,050;-0,073;-0,034;;-0,058;-0,066;-0,063;-0,034;-0,048;-0,072;-0,034;-0,041;-0,066;-0,064;-0,107;
2023-04-25;;;;;;;;;;;;;;;;;;
2023-04-26;-0,069;-0,084;-0,050;-0,077;-0,033;;-0,061;-0,069;-0,067;-0,044;-0,046;-0,069;-0,034;-0,037;-0,070;-0,068;-0,112;
2023-04-27;-0,068;-0,085;-0,050;-0,072;-0,034;;-0,058;-0,066;-0,062;-0,039;-0,046;-0,070;-0,034;-0,038;-0,064;-0,062;-0,105;
2023-04-28;-0,067;-0,083;-0,050;-0,071;-0,033;;-0,058;-0,065;-0,061;-0,039;-0,045;-0,074;-0,034;-0,036;-0,062;-0,059;-0,103;
2023-05-02;-0,066;-0,087;-0,050;-0,072;-0,032;;-0,059;-0,066;-0,062;-0,044;-0,045;-0,068;-0,033;-0,037;-0,068;-0,066;-0,105;
2023-05-03;-0,070;-0,086;-0,050;-0,077;-0,032;;-0,062;-0,070;-0,066;-0,047;-0,045;;-0,033;-0,036;-0,067;-0,066;-0,111;
2023-05-04;-0,065;-0,089;-0,050;-0,078;-0,031;;-0,062;-0,074;-0,068;-0,047;-0,044;;-0,033;-0,035;-0,068;-0,066;-0,113;
2023-05-05;-0,067;-0,088;-0,049;-0,076;-0,033;;-0,062;-0,072;-0,065;-0,043;-0,044;;-0,033;-0,035;-0,065;-0,062;-0,109;
2023-05-08;-0,065;-0,086;-0,049;-0,075;-0,033;;-0,063;-0,072;-0,065;-0,041;-0,045;-0,072;-0,033;-0,036;-0,065;-0,062;-0,110;
2023-05-09;-0,066;-0,087;-0,050;-0,076;-0,034;;-0,063;-0,071;-0,066;-0,043;-0,045;-0,065;-0,033;-0,036;-0,069;-0,067;-0,110;
2023-05-10;-0,066;-0,087;-0,050;-0,073;-0,032;;-0,062;-0,069;-0,063;-0,039;-0,045;-0,064;-0,033;-0,036;-0,072;-0,069;-0,107;
2023-05-11;-0,061;-0,084;-0,050;-0,070;-0,032;;-0,059;-0,066;-0,060;-0,037;-0,044;-0,061;-0,033;-0,034;-0,068;-0,065;-0,103;
2023-05-12;-0,062;-0,083;-0,050;-0,069;-0,032;;-0,058;-0,063;-0,059;-0,033;-0,045;-0,059;-0,033;-0,034;-0,068;-0,065;-0,102;
2023-05-15;-0,060;-0,082;-0,050;-0,068;-0,033;;-0,058;-0,061;-0,057;-0,031;-0,045;-0,058;-0,033;-0,034;-0,065;-0,061;-0,101;
2023-05-16;-0,057;-0,082;-0,050;-0,068;-0,034;;-0,059;-0,063;-0,058;-0,034;-0,045;-0,054;-0,033;-0,035;-0,069;-0,065;-0,102;
2023-05-17;-0,056;-0,082;-0,050;-0,063;-0,035;;-0,057;-0,058;-0,053;-0,028;-0,045;-0,053;-0,033;-0,035;-0,069;-0,066;-0,095;
2023-05-19;-0,051;-0,074;-0,050;-0,057;-0,036;;-0,054;-0,052;-0,047;-0,022;-0,046;-0,046;-0,033;-0,038;-0,061;-0,058;-0,088;
