
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;fidelity - asian pacific opportunities fund a;fidelity - asian special situations fund a;fidelity - china consumer fund a;fidelity - china focus fund a;fidelity - emerging asia fund a;fidelity - emerging markets funds a;fidelity - global high yield fund a;folksam lo sverige;folksam lo världen;fondita global megatrends placeringsfond b;fondita nordic micro cap placeringsfond b;fondita nordic small cap placeringsfond b;franklin biotechnology discovery fund;franklin mutual global discovery fund a;franklin natural resources fund a;franklin technology fund a;franklin us opportunities fund a;
2024-03-07;0,006;-0,015;-0,045;-0,059;-0,017;0,001;0,003;-0,012;-0,005;0,049;-0,002;-0,004;0,126;0,001;0,037;0,027;0,019;
2024-03-08;0,005;-0,015;-0,049;-0,062;-0,018;0,001;0,001;-0,008;-0,006;0,043;-0,005;-0,006;0,119;-0,003;0,033;0,015;0,010;
2024-03-11;0,007;-0,012;-0,035;-0,053;-0,015;0,001;0,000;-0,010;-0,009;0,041;-0,007;-0,007;0,114;-0,002;0,037;0,012;0,007;
2024-03-12;0,011;-0,006;-0,023;-0,043;-0,008;0,006;0,002;-0,004;-0,005;0,046;-0,005;-0,001;0,115;0,001;0,036;0,021;0,016;
2024-03-13;0,011;-0,008;-0,021;-0,042;-0,010;0,005;0,002;-0,002;-0,005;0,044;-0,010;0,001;0,118;0,002;0,044;0,018;0,014;
2024-03-14;0,010;-0,009;-0,026;-0,046;-0,010;0,007;0,002;;;0,044;-0,007;-0,002;0,108;-0,000;0,045;0,015;0,013;
2024-03-15;0,009;-0,012;-0,024;-0,040;-0,010;0,005;0,006;0,000;-0,003;0,041;-0,008;-0,001;0,114;0,004;0,052;0,012;0,012;
2024-03-18;0,013;-0,009;-0,023;-0,041;-0,007;0,008;0,007;-0,005;0,002;0,045;-0,005;-0,002;0,109;0,005;0,053;0,016;0,015;
2024-03-19;0,013;-0,009;-0,024;-0,039;-0,005;0,009;0,013;-0,005;0,001;0,051;-0,002;0,004;0,119;0,012;0,060;0,022;0,022;
2024-03-20;0,015;-0,007;-0,022;-0,037;-0,004;0,011;0,012;-0,002;0,005;0,054;-0,005;0,004;0,123;0,014;0,062;0,027;0,026;
2024-03-21;0,020;-0,002;-0,024;-0,034;0,002;0,018;0,010;0,006;0,009;0,056;0,000;0,011;0,123;0,012;0,062;0,027;0,025;
2024-03-22;0,021;-0,001;-0,027;-0,034;0,001;0,019;0,016;0,008;0,011;0,060;0,003;0,014;;;;;;
2024-03-25;;;;;;;;;;;;;0,122;0,018;0,069;0,033;0,032;
2024-03-26;0,024;0,001;-0,026;-0,034;0,004;0,022;0,017;0,008;0,012;0,060;0,010;0,019;0,122;0,018;0,066;0,032;0,030;
2024-03-27;0,025;0,001;-0,027;-0,035;0,005;0,021;0,019;0,010;0,014;0,063;0,010;0,021;0,129;0,025;0,074;0,033;0,031;
2024-03-28;0,031;0,006;-0,020;-0,026;0,012;0,028;0,022;0,008;0,018;0,066;0,015;0,025;0,134;0,030;0,082;0,037;0,034;
2024-04-02;0,038;0,014;-0,012;-0,009;0,021;0,034;0,026;0,007;0,015;0,061;0,013;0,026;0,124;0,028;0,093;0,037;0,034;
2024-04-03;0,035;0,011;-0,016;-0,010;0,017;0,034;0,024;0,006;0,015;0,061;0,011;0,026;0,122;0,026;0,096;0,036;0,033;
2024-04-04;0,037;0,011;-0,018;-0,014;0,016;0,035;0,019;0,008;0,013;0,054;0,014;0,029;0,111;0,017;0,089;0,022;0,021;
2024-04-05;0,035;0,009;-0,021;-0,021;0,013;0,033;0,020;0,004;0,010;0,058;0,014;0,025;0,115;0,021;0,095;0,031;0,031;
2024-04-08;0,033;0,009;-0,025;-0,018;0,012;0,032;0,017;0,008;0,009;0,058;0,014;0,027;0,114;0,020;0,093;0,030;0,029;
2024-04-09;0,031;0,007;-0,024;-0,019;0,011;0,030;0,017;0,008;0,008;0,055;0,012;0,024;0,116;0,019;0,093;0,030;0,026;
2024-04-10;0,033;0,011;-0,022;-0,019;0,015;0,033;0,016;0,004;0,010;0,051;0,011;0,021;0,110;0,012;0,092;0,025;0,023;
2024-04-11;0,034;0,014;-0,019;-0,010;0,018;0,035;0,022;0,002;0,011;0,058;0,011;0,021;0,123;0,018;0,097;0,038;0,034;
2024-04-12;0,034;0,010;-0,025;-0,015;0,016;0,031;0,025;0,004;0,017;0,056;0,011;0,018;0,114;0,014;0,093;0,033;0,030;
2024-04-15;0,034;0,009;-0,024;-0,012;0,014;0,029;0,027;0,008;0,016;0,055;0,011;0,017;0,107;0,016;0,092;0,026;0,026;
2024-04-16;0,028;0,002;-0,031;-0,017;0,009;0,020;0,028;-0,003;0,010;0,053;0,007;0,011;0,109;0,016;0,090;0,030;0,030;
2024-04-17;0,029;0,001;-0,029;-0,016;0,009;0,019;0,028;-0,000;0,012;0,050;0,005;0,010;0,106;0,015;0,090;0,023;0,025;
2024-04-18;0,030;0,005;-0,024;-0,013;0,012;0,019;0,026;-0,002;0,009;0,047;0,002;0,010;;;;;;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;;;;;;;;;;;;;0,104;0,023;0,092;0,018;0,021;
2024-04-24;0,029;0,013;-0,004;-0,004;0,017;0,024;0,026;0,006;0,013;0,054;0,005;0,022;;;;;;
2024-04-25;;;;;;;;;;;;;0,095;0,021;0,096;0,019;0,018;
2024-04-26;0,037;0,020;0,010;0,007;0,027;0,035;0,027;0,009;0,019;0,060;0,006;0,023;0,103;0,022;0,098;0,030;0,026;
2024-04-29;0,040;0,023;0,015;0,012;0,031;0,037;0,030;0,012;0,020;0,061;0,012;0,032;0,114;0,026;0,103;0,032;0,027;
2024-04-30;0,037;0,023;0,012;0,010;0,031;0,037;0,031;0,012;0,020;0,057;0,013;0,033;0,113;0,023;0,090;0,022;0,022;
2024-05-02;0,038;0,027;0,029;0,020;0,033;0,040;0,029;0,007;0,013;0,056;0,010;0,030;0,122;0,022;0,087;0,024;0,025;
2024-05-03;0,038;0,029;0,032;0,022;0,034;0,043;0,029;0,010;0,015;0,059;0,015;0,037;;;;;;
2024-05-06;;;;;;;;;;;;;0,120;0,025;0,091;0,035;0,035;
2024-05-07;0,043;0,030;0,031;0,022;0,036;0,044;0,029;0,018;0,019;0,065;0,018;0,046;0,121;0,025;0,091;0,031;0,034;
2024-05-08;0,043;0,031;0,027;0,020;0,036;0,045;0,033;0,020;0,022;0,070;0,021;0,052;0,120;0,029;0,094;0,033;0,036;
2024-05-10;0,044;0,033;0,035;0,034;0,039;0,047;0,030;0,026;0,025;0,072;0,026;0,060;0,114;0,031;0,095;0,030;0,035;
2024-05-13;0,044;0,036;0,041;0,039;0,041;0,047;0,030;0,026;0,026;0,072;0,029;0,060;0,115;0,031;0,094;0,031;0,034;
2024-05-14;0,043;0,035;0,034;0,035;0,042;0,048;0,030;0,028;0,025;0,074;0,032;0,063;0,117;0,033;0,097;0,034;0,037;
2024-05-15;0,043;0,036;0,033;0,034;0,043;0,051;0,028;0,030;0,027;0,080;0,029;0,065;0,121;0,033;0,094;0,041;0,041;
2024-05-16;0,041;0,037;0,039;0,040;0,046;0,049;0,025;0,028;0,028;0,076;0,027;0,066;0,116;0,028;0,088;0,035;0,035;
2024-05-17;0,043;0,041;0,049;0,046;0,049;0,052;0,027;0,026;0,027;0,076;0,030;0,068;0,113;0,032;0,097;0,038;0,037;
2024-05-20;0,043;0,039;0,043;0,045;0,048;0,053;0,024;0,030;0,027;0,077;0,036;0,073;;;;;;
2024-05-21;0,034;0,033;0,035;0,036;0,043;0,048;0,025;0,029;0,025;0,077;0,039;0,072;0,111;0,027;0,095;0,039;0,036;
2024-05-22;0,032;0,032;0,032;0,034;0,043;0,046;0,026;0,031;0,028;0,077;0,040;0,073;0,111;0,025;0,086;0,040;0,037;
2024-05-23;0,030;0,033;0,028;0,027;0,042;0,047;0,027;0,031;0,026;0,076;0,044;0,073;0,104;0,021;0,083;0,041;0,038;
2024-05-24;0,029;0,031;0,023;0,024;0,039;0,045;0,027;0,028;0,022;0,075;0,045;0,076;0,111;0,023;0,088;0,043;0,041;
2024-05-27;0,027;0,031;0,023;0,025;0,038;0,044;0,024;0,029;;;0,045;0,072;;;;;;
2024-05-28;;;;;;;;;;;;;0,103;0,014;0,084;0,040;0,035;
2024-05-29;0,019;0,019;0,012;0,013;0,029;0,034;0,020;0,023;0,016;0,064;0,036;0,063;0,101;0,009;0,076;0,038;0,033;
2024-05-30;0,018;0,019;0,014;0,016;0,027;0,033;0,023;0,023;0,015;0,063;0,042;0,068;0,108;0,015;0,081;0,028;0,028;
2024-05-31;0,012;0,009;0,002;0,004;0,017;0,024;0,020;0,025;0,011;0,062;0,043;0,071;;;;;;
2024-06-03;;;;;;;;;;;;;0,107;0,013;0,072;0,019;0,023;
2024-06-04;0,010;0,008;0,004;0,004;0,016;0,016;0,015;0,024;0,013;0,058;0,036;0,063;0,102;0,009;0,061;0,016;0,021;
2024-06-05;0,015;0,017;0,006;0,002;0,023;0,025;0,014;0,025;0,012;0,063;0,038;0,064;0,110;0,009;0,063;0,028;0,030;
2024-06-07;0,014;0,018;0,000;-0,005;0,024;0,027;0,012;0,026;0,020;0,062;0,043;0,062;0,102;0,004;0,057;0,026;0,027;
2024-06-10;0,019;0,024;0,008;0,005;0,031;0,032;0,021;0,022;0,018;0,070;0,045;0,065;0,114;0,013;0,070;0,037;0,038;
2024-06-11;0,010;0,017;-0,001;-0,005;0,024;0,025;0,018;0,020;0,016;0,068;0,043;0,064;0,111;0,006;0,064;0,036;0,036;
2024-06-12;0,012;0,018;-0,005;-0,005;0,023;0,026;0,018;0,030;0,017;0,071;0,045;0,075;0,114;0,008;0,063;0,045;0,042;
2024-06-13;0,011;0,017;-0,007;-0,016;0,022;0,024;0,014;0,025;0,020;0,068;0,039;0,066;0,110;0,001;0,053;0,040;0,037;
2024-06-14;0,014;0,023;-0,004;-0,011;0,026;0,028;0,020;0,019;0,022;0,072;0,039;0,060;0,112;0,004;0,055;0,050;0,045;
2024-06-17;0,012;0,024;-0,004;-0,009;0,026;0,029;0,020;0,016;0,022;0,073;0,037;0,058;0,108;0,007;0,056;0,053;0,048;
2024-06-18;0,013;0,025;-0,009;-0,011;0,026;0,032;0,017;0,017;0,022;0,073;0,035;0,056;0,100;0,004;0,055;0,052;0,047;
2024-06-19;0,013;0,028;-0,006;-0,006;0,028;0,034;0,016;0,016;;;0,036;0,054;;;;;;
2024-06-20;0,013;0,028;-0,011;-0,011;0,028;0,035;0,016;0,020;0,021;0,073;0,040;0,062;0,100;0,005;0,060;0,047;0,042;
2024-06-24;0,011;0,026;-0,010;-0,012;0,025;0,033;0,020;0,022;0,023;0,071;0,040;0,062;;;;;;
2024-06-25;;;;;;;;;;;;;0,113;0,008;0,065;0,046;0,044;
2024-06-26;0,011;0,029;-0,010;-0,014;0,027;0,036;0,020;0,017;0,026;0,074;0,033;0,053;0,113;0,008;0,066;0,050;0,048;
2024-06-27;0,015;0,032;-0,016;-0,019;0,026;0,037;0,023;0,018;0,027;0,077;0,036;0,060;0,118;0,011;0,069;0,056;0,053;
2024-06-28;0,016;0,034;-0,016;-0,016;0,028;0,040;0,027;0,019;0,029;0,077;0,036;0,059;0,120;0,013;0,072;0,059;0,053;
2024-07-01;0,014;0,032;-0,017;-0,017;0,028;0,037;0,023;0,023;0,029;0,076;0,035;0,060;0,117;0,010;0,067;0,059;0,050;
2024-07-02;0,019;0,033;-0,015;-0,014;0,029;0,037;0,026;0,018;0,028;0,078;0,033;0,058;0,116;0,015;0,072;0,066;0,056;
2024-07-03;0,021;0,035;-0,011;-0,010;0,030;0,041;0,022;0,021;0,026;0,077;0,031;0,062;0,110;0,013;0,073;0,066;0,054;
2024-07-04;0,018;0,034;-0,017;-0,014;0,027;0,040;0,019;0,022;;;0,029;0,061;;;;;;
2024-07-05;0,017;0,034;-0,023;-0,021;0,028;0,039;0,019;0,022;0,029;0,079;0,029;0,065;0,112;0,012;0,066;0,066;0,055;
2024-07-08;0,016;0,035;-0,027;-0,025;0,028;0,042;0,020;0,023;0,031;0,079;0,031;0,068;0,115;0,010;0,065;0,067;0,054;
2024-07-09;0,018;0,040;-0,021;-0,020;0,034;0,047;0,024;0,020;0,033;0,080;0,031;0,068;0,123;0,013;0,065;0,068;0,055;
2024-07-10;0,019;0,041;-0,019;-0,023;0,033;0,049;0,023;0,021;0,033;0,081;0,030;0,066;0,130;0,015;0,068;0,071;0,056;
2024-07-11;0,020;0,042;-0,012;-0,014;0,034;0,048;0,024;0,025;0,035;0,081;0,030;0,071;0,140;0,020;0,074;0,062;0,051;
2024-07-12;0,028;0,044;-0,005;-0,006;0,039;0,052;0,024;0,036;0,038;0,086;0,036;0,076;;;;;;
2024-07-18;;;;;;;;;;;;;;;;;;
2024-07-19;;;;;;;;;;;;;0,140;0,025;0,079;0,044;0,042;
2024-07-22;0,028;0,035;-0,016;-0,018;0,025;0,040;0,029;0,034;0,041;0,079;0,035;0,073;0,145;0,027;0,077;0,052;0,048;
2024-07-23;0,031;0,039;-0,021;-0,021;0,029;0,046;0,034;0,033;0,044;0,085;0,035;0,073;0,152;0,027;0,077;0,056;0,053;
2024-07-24;0,027;0,031;-0,024;-0,021;0,022;0,040;0,036;0,029;0,040;0,076;0,031;0,069;0,151;0,027;0,076;0,039;0,041;
2024-07-25;0,027;0,028;-0,027;-0,025;0,020;0,038;0,037;0,022;0,037;0,074;0,027;0,065;;;;;;
2024-07-26;;;;;;;;;;;;;0,159;0,034;0,084;0,043;0,043;
2024-07-29;0,027;0,029;-0,030;-0,026;0,020;0,039;0,038;0,030;0,043;0,080;0,033;0,075;0,155;0,034;0,082;0,042;0,043;
2024-07-30;0,026;0,026;-0,034;-0,031;0,017;0,036;0,037;0,031;0,042;0,075;0,034;0,076;0,152;0,034;0,084;0,033;0,039;
2024-07-31;0,032;0,032;-0,030;-0,026;0,022;0,041;0,035;0,032;0,041;0,080;0,032;0,077;0,150;0,034;0,087;0,048;0,046;
2024-08-01;0,024;0,027;-0,038;-0,034;0,017;0,033;0,034;0,028;0,040;0,076;0,027;0,070;0,146;0,025;0,076;0,028;0,037;
2024-08-02;0,013;0,009;-0,048;-0,040;0,002;0,015;0,034;0,010;0,026;0,063;0,016;0,052;;;;;;
2024-08-05;;;;;;;;;;;;;0,118;0,003;0,046;-0,004;0,008;
2024-08-06;0,004;-0,003;-0,045;-0,047;-0,005;0,007;0,023;-0,005;0,014;0,051;0,005;0,037;0,121;0,003;0,046;-0,000;0,014;
2024-08-07;0,007;0,003;-0,044;-0,043;-0,001;0,013;0,023;0,006;0,019;0,046;0,011;0,048;0,110;0,001;0,043;-0,007;0,009;
2024-08-08;0,010;0,008;-0,039;-0,039;0,004;0,017;0,022;0,004;0,019;0,054;0,010;0,047;0,119;0,007;0,051;0,009;0,020;
2024-08-09;0,010;0,009;-0,039;-0,038;0,006;0,023;0,026;0,006;0,020;0,059;0,014;0,054;0,121;0,009;0,053;0,014;0,025;
2024-08-12;0,013;0,013;-0,035;-0,034;0,010;0,026;0,026;0,006;0,021;0,056;0,014;0,054;0,124;0,008;0,058;0,015;0,027;
2024-08-13;0,011;0,015;-0,036;-0,033;0,010;0,028;0,026;0,008;0,025;0,064;0,015;0,053;;;;;;
2024-08-14;0,006;0,009;-0,046;-0,042;0,005;0,024;0,024;;;;;;0,125;0,011;0,054;0,025;0,034;
2024-08-15;;;;;;;;0,018;0,033;0,072;0,021;0,064;;;;;;
2024-08-16;0,019;0,022;-0,034;-0,035;0,013;0,037;0,028;0,019;0,035;0,072;0,019;0,061;0,134;0,023;0,065;0,042;0,046;
2024-08-19;0,018;0,022;-0,034;-0,034;0,014;0,036;0,024;0,021;0,031;0,073;0,018;0,063;0,139;0,024;0,065;0,044;0,046;
2024-08-20;0,010;0,014;-0,049;-0,048;0,005;0,026;0,020;0,021;0,030;0,068;0,015;0,059;0,134;0,016;0,052;0,038;0,040;
2024-08-21;0,008;0,011;-0,048;-0,049;0,002;0,025;0,017;0,019;0,029;0,067;0,013;0,057;0,134;0,016;0,052;0,038;0,041;
2024-08-22;0,008;0,011;-0,051;-0,055;0,001;0,024;0,016;0,022;0,031;0,066;0,012;0,056;;;;;;
2024-08-27;;;;;;;;;;;;;0,136;0,020;0,058;0,029;0,037;
2024-08-28;0,010;0,010;-0,071;-0,058;-0,006;0,020;0,016;0,026;0,032;0,066;0,013;0,060;0,131;0,017;0,052;0,021;0,031;
2024-08-29;0,013;0,015;-0,065;-0,054;-0,003;0,022;0,016;0,028;0,035;0,068;0,023;0,064;0,132;0,018;0,056;0,022;0,031;
2024-08-30;0,013;0,014;-0,059;-0,051;-0,002;0,023;0,018;0,031;0,036;0,072;0,026;0,068;0,136;0,022;0,058;0,031;0,037;
2024-09-02;0,013;0,015;-0,062;-0,054;-0,005;0,025;0,021;0,029;;;0,025;0,066;;;;;;
2024-09-03;0,010;0,011;-0,061;-0,055;-0,007;0,019;0,021;0,024;0,037;0,064;0,021;0,057;0,128;0,018;0,046;0,014;0,028;
2024-09-04;0,009;0,009;-0,062;-0,054;-0,009;0,018;0,022;0,018;0,031;0,062;0,020;0,057;;;;;;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;;;;;;;;;;;;;0,126;0,025;0,073;0,059;0,062;
2024-10-11;0,053;0,053;0,048;0,039;0,039;0,044;0,031;0,030;0,044;0,075;0,020;0,052;0,138;0,028;0,077;0,062;0,067;
2024-10-14;0,052;0,053;0,040;0,037;0,040;0,046;0,031;0,030;0,050;0,077;0,019;0,051;0,139;0,030;0,075;0,066;0,070;
2024-10-15;0,045;0,043;0,019;0,018;0,029;0,037;0,032;0,031;0,048;0,070;0,023;0,053;0,142;0,026;0,066;0,054;0,065;
2024-10-16;0,048;0,046;0,021;0,023;0,032;0,039;0,033;0,027;0,047;0,070;0,021;0,048;0,148;0,029;0,069;0,055;0,065;
2024-10-17;0,049;0,048;0,014;0,016;0,034;0,041;0,038;0,029;0,053;0,075;0,020;0,051;0,152;0,031;0,074;0,062;0,070;
2024-10-18;0,053;0,052;0,026;0,029;0,038;0,044;0,037;0,030;0,052;0,076;0,020;0,048;0,153;0,032;0,073;0,063;0,072;
2024-10-21;0,053;0,050;0,022;0,024;0,036;0,044;0,038;0,030;0,053;0,075;0,020;0,046;0,148;0,028;0,072;0,065;0,073;
2024-10-22;0,052;0,050;0,028;0,031;0,037;0,043;0,037;0,025;0,050;0,075;0,017;0,045;0,148;0,026;0,072;0,063;0,072;
2024-10-23;0,051;0,050;0,023;0,030;0,036;0,042;0,039;0,026;0,051;0,073;0,012;0,044;0,143;0,027;0,071;0,059;0,068;
2024-10-24;0,049;0,047;0,019;0,025;0,033;0,040;0,039;0,026;0,049;0,073;0,017;0,044;0,141;0,029;0,069;0,062;0,070;
2024-10-25;0,053;0,050;0,022;0,029;0,035;0,044;0,039;0,026;0,049;0,074;0,014;0,042;;;;;;
2024-10-28;;;;;;;;;;;;;0,144;0,030;0,069;0,065;0,072;
2024-10-29;0,055;0,053;0,028;0,032;0,040;0,050;0,043;0,033;0,053;0,079;0,018;0,046;0,144;0,029;0,068;0,074;0,078;
2024-10-30;0,050;0,046;0,019;0,026;0,033;0,043;0,042;0,028;0,053;0,077;0,014;0,041;0,142;0,027;0,067;0,070;0,073;
2024-10-31;0,046;0,042;0,017;0,024;0,032;0,041;0,043;0,021;0,046;0,068;0,009;0,034;0,137;0,024;0,068;0,059;0,062;
2024-11-01;0,052;0,050;0,024;0,032;0,036;0,044;0,043;0,024;0,048;0,072;0,012;0,034;0,142;0,027;0,066;0,064;0,067;
2024-11-04;0,052;0,051;0,025;0,034;0,038;0,043;0,044;0,026;0,046;0,073;0,011;0,036;;;;;;
2024-11-05;;;;;;;;;;;;;0,147;0,031;0,075;0,068;0,071;
2024-11-06;0,060;0,056;0,030;0,039;0,045;0,053;0,050;0,024;0,059;0,085;0,007;0,031;0,159;0,042;0,090;0,087;0,088;
2024-11-07;0,064;0,060;0,045;0,054;0,050;0,057;0,051;0,031;0,056;0,086;0,012;0,038;;;;;;
2024-11-08;;;;;;;;;;;;;0,163;0,035;0,085;0,088;0,094;
2024-11-11;0,059;0,053;0,031;0,040;0,043;0,052;0,053;0,030;0,065;0,090;0,011;0,042;;;;;;
2024-11-12;;;;;;;;;;;;;0,157;0,036;0,086;0,096;0,100;
2024-11-13;0,055;0,043;0,018;0,028;0,033;0,045;0,055;0,015;0,064;0,087;0,003;0,032;0,152;0,036;0,086;0,096;0,099;
2024-11-14;0,055;0,042;0,015;0,026;0,032;0,043;0,058;0,020;0,065;0,085;0,004;0,036;;;;;;
2024-11-15;;;;;;;;;;;;;0,124;0,039;0,087;0,082;0,087;
2024-11-18;0,057;0,044;0,015;0,027;0,032;0,042;0,057;0,011;0,058;0,073;-0,001;0,024;0,117;0,042;0,094;0,085;0,087;
2024-11-19;0,058;0,045;0,012;0,023;0,033;0,043;0,055;0,006;0,057;0,074;-0,001;0,023;0,117;0,037;0,093;0,087;0,090;
2024-11-20;0,060;0,046;0,018;0,025;0,035;0,044;0,056;0,009;0,061;0,075;0,000;0,021;0,122;0,038;0,097;0,087;0,091;
2024-11-21;0,063;0,050;0,016;0,026;0,038;0,046;0,058;0,007;0,061;0,079;-0,002;0,023;0,124;0,042;0,103;0,096;0,096;
2024-11-22;0,064;0,053;0,009;0,018;0,039;0,049;0,061;0,015;0,068;0,086;0,002;0,030;0,132;0,046;0,108;0,100;0,100;
2024-11-25;0,064;0,051;0,005;0,017;0,037;0,050;0,061;0,015;0,067;0,085;0,008;0,035;0,136;0,051;0,102;0,101;0,102;
2024-11-26;0,061;0,048;0,003;0,014;0,034;0,046;0,059;0,013;0,067;0,082;0,002;0,028;0,136;0,046;0,097;0,099;0,102;
2024-11-27;0,060;0,042;0,007;0,019;0,029;0,039;0,056;0,014;0,068;0,077;0,001;0,029;0,137;0,045;0,095;0,090;0,096;
2024-11-28;;;;;;;;;;;;;;;;;;
2024-11-29;0,063;0,045;0,007;0,018;0,032;0,039;0,055;0,016;0,067;0,079;0,008;0,036;0,134;0,046;0,095;0,092;0,097;
2024-12-02;0,064;0,048;0,012;0,023;0,036;0,043;0,058;0,023;0,073;0,082;0,010;0,041;0,138;0,047;0,095;0,099;0,102;
2024-12-03;0,068;0,049;0,015;0,028;0,038;0,046;0,058;0,026;0,074;0,083;0,011;0,042;0,131;0,047;0,096;0,102;0,104;
2024-12-04;0,068;0,051;0,010;0,026;0,039;0,049;0,061;0,032;0,073;0,089;0,014;0,049;0,136;0,047;0,092;0,115;0,113;
2024-12-05;0,063;0,050;0,007;0,021;0,036;0,049;0,057;0,032;0,071;;;;0,127;0,043;0,087;0,107;0,106;
2024-12-06;0,060;0,049;0,011;0,023;0,036;0,048;0,055;0,035;0,073;;;;;;;;;
2024-12-09;;;;;;;;;;;;;0,132;0,042;0,082;0,109;0,104;
2024-12-10;0,067;0,056;0,027;0,038;0,043;0,055;0,059;0,034;0,074;0,080;0,016;0,045;0,134;0,040;0,079;0,101;0,101;
2024-12-11;0,067;0,056;0,024;0,038;0,045;0,056;0,061;0,032;0,073;0,083;0,016;0,049;;;;;;
2024-12-12;;;;;;;;;;;;;0,120;0,038;0,078;0,109;0,106;
2024-12-13;0,059;0,055;0,018;0,035;0,042;0,054;0,062;0,028;0,075;0,075;0,015;0,046;0,118;0,038;0,076;0,112;0,105;
2024-12-16;0,057;0,052;0,012;0,028;0,040;0,054;0,060;0,025;0,073;0,076;0,010;0,043;0,123;0,034;0,067;0,119;0,106;
2024-12-17;0,052;0,047;0,013;0,027;0,035;0,048;0,058;0,024;0,072;0,072;0,006;0,037;0,125;0,029;0,062;0,114;0,101;
2024-12-18;0,055;0,051;0,014;0,027;0,039;0,049;0,059;0,025;0,072;0,065;0,008;0,040;0,108;0,020;0,049;0,098;0,087;
2024-12-19;0,049;0,050;0,016;0,026;0,038;0,045;0,061;0,014;0,065;0,065;0,005;0,033;0,109;0,023;0,049;0,100;0,091;
2024-12-20;0,046;0,046;0,013;0,028;0,034;0,042;0,060;0,010;0,060;0,065;0,003;0,034;;;;;;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;;;;;;;;;;;;;0,102;0,049;0,078;0,109;0,100;
2025-02-19;0,039;0,050;0,046;0,041;0,042;0,040;0,054;0,049;0,069;0,064;0,026;0,042;0,106;0,048;0,077;0,105;0,097;
2025-02-20;0,036;0,049;0,048;0,050;0,041;0,039;0,054;0,051;0,067;0,063;0,024;0,043;0,110;0,050;0,080;0,101;0,090;
2025-02-21;0,040;0,055;0,059;0,051;0,045;0,041;0,052;0,050;0,065;0,057;0,023;0,041;0,105;0,045;0,067;0,085;0,077;
2025-02-24;0,035;0,043;0,039;0,037;0,033;0,030;0,051;0,046;0,062;0,053;0,020;0,038;;;;;;
2025-02-25;;;;;;;;;;;;;0,098;0,047;0,061;0,071;0,069;
2025-02-26;0,040;0,048;0,053;0,051;0,039;0,030;0,051;0,052;0,061;0,054;0,023;0,039;0,096;0,044;0,059;0,077;0,073;
2025-02-27;0,043;0,046;0,057;0,053;0,039;0,031;0,054;0,047;0,061;0,047;0,020;0,034;0,096;0,045;0,058;0,063;0,063;
2025-02-28;0,040;0,036;0,045;0,045;0,029;0,023;0,057;0,046;0,057;0,051;0,017;0,031;0,105;0,052;0,066;0,072;0,074;
2025-03-03;0,038;0,034;0,041;0,045;0,027;0,022;0,056;0,048;0,056;0,042;0,020;0,032;0,093;0,050;0,051;0,056;0,061;
2025-03-04;0,028;0,024;0,031;0,033;0,018;0,010;0,047;0,033;0,045;0,031;0,012;0,016;0,085;0,038;0,039;0,048;0,050;
2025-03-05;0,026;0,027;0,038;0,041;0,021;0,014;0,039;0,040;0,037;0,033;0,021;0,024;0,087;0,038;0,036;0,048;0,049;
2025-03-06;0,022;0,026;0,041;0,040;0,020;0,012;0,028;0,038;0,030;0,017;0,015;0,021;;;;;;
2025-03-10;;;;;;;;;;;;;0,071;0,023;0,024;0,003;0,006;
2025-03-11;0,010;0,009;0,029;0,030;0,006;-0,006;0,023;0,025;0,010;-0,002;0,007;0,005;;;;;;
2025-03-12;;;;;;;;;;;;;0,076;0,017;0,026;0,012;0,013;
2025-03-13;0,017;0,016;0,034;0,036;0,014;0,005;0,027;0,025;0,018;0,003;0,008;0,010;;;;;;
2025-03-14;;;;;;;;;;;;;0,080;0,028;0,040;0,020;0,020;
2025-03-17;0,024;0,025;0,053;0,055;0,024;0,017;0,026;0,032;0,020;0,013;0,015;0,020;;;;;;
2025-03-18;;;;;;;;;;;;;0,076;0,027;0,043;0,010;0,009;
2025-03-19;0,024;0,028;0,053;0,053;0,027;0,021;0,026;0,032;0,021;0,014;0,017;0,025;0,083;0,031;0,051;0,020;0,019;
2025-03-20;0,020;0,024;0,043;0,044;0,024;0,017;0,028;0,030;0,026;0,012;0,018;0,022;0,084;0,031;0,052;0,019;0,018;
2025-03-21;0,018;0,023;0,036;0,039;0,021;0,013;0,028;0,024;0,020;0,008;0,017;0,019;0,083;0,029;0,048;0,019;0,020;
2025-03-24;0,016;0,025;0,037;0,038;0,022;0,017;0,027;0,025;0,025;0,013;0,016;0,018;0,084;0,030;0,052;0,028;0,028;
2025-03-25;0,012;0,020;0,028;0,036;0,018;0,012;0,027;0,023;0,021;0,010;0,017;0,020;0,076;0,030;0,054;0,028;0,029;
2025-03-26;0,008;0,019;0,029;0,033;0,017;0,010;0,025;0,020;0,020;0,001;0,010;0,011;0,066;0,028;0,051;0,014;0,018;
2025-03-27;0,011;0,022;0,038;0,041;0,020;0,013;0,025;0,016;0,017;-0,003;0,011;0,008;0,066;0,028;0,049;0,009;0,016;
