
# ;[];[];[];[];[];[];[];[];[];[];[];[];[seb aktiespar][seb aktiesparfond];[];[];[seb choice emerging markets][seb emerg market][seb emerging mark][seb emerging markets][seb emerging markets fund][seb emerging marketsfond];[];
# ;pictet indian equities r;pictet japanese equity opportunities r;pictet premium brands r;pictet security r;pictet timber r;pictet water r;pictet-emerging corporate bonds r ;prior & nilsson realinvest a;prior & nilsson sverige aktiv a;s-banken emerging markets esg aktie a;s-banken fenno aktie a;s-banken usa aktie a;seb aktiespar;seb asienfond ex japan;seb asset selection fund c;seb choice emerging markets;seb dynamic bond fund c;
2023-11-27;;-0,030;0,014;-0,033;0,055;-0,013;-0,017;-0,008;-0,036;0,002;-0,014;-0,051;-0,063;-0,051;0,099;-0,040;-0,052;
2023-11-28;-0,053;-0,033;0,009;-0,032;0,056;-0,015;-0,016;-0,012;-0,040;0,004;-0,012;-0,052;-0,068;-0,051;0,097;-0,040;-0,052;
2023-11-29;-0,052;-0,032;0,010;-0,029;0,056;-0,016;;-0,008;-0,037;-0,002;-0,008;-0,054;-0,065;-0,053;;;-0,050;
2023-11-30;;;;;;;-0,014;;;;;;;;0,095;-0,036;;
2023-12-01;-0,044;-0,028;0,017;-0,024;0,061;-0,007;-0,012;-0,005;-0,033;0,003;-0,003;-0,042;-0,063;-0,051;0,089;-0,039;-0,050;
2023-12-04;-0,040;-0,030;0,019;-0,022;0,062;-0,005;-0,015;-0,008;-0,034;-0,005;-0,011;-0,047;-0,066;-0,054;0,088;-0,040;-0,048;
2023-12-05;-0,038;-0,033;0,017;-0,024;0,059;-0,007;-0,011;-0,001;-0,030;;;;-0,066;-0,058;0,087;-0,043;-0,047;
2023-12-06;-0,035;-0,024;0,021;-0,017;0,067;-0,001;-0,008;0,006;-0,027;;;;-0,062;-0,054;0,087;-0,042;-0,047;
2023-12-07;-0,036;-0,030;0,017;-0,023;0,062;-0,003;-0,009;0,009;-0,027;;;;-0,063;-0,056;0,081;-0,045;-0,046;
2023-12-08;-0,038;-0,030;0,021;-0,021;0,062;-0,003;-0,012;0,006;-0,024;-0,011;-0,008;-0,046;-0,059;-0,054;0,083;-0,041;-0,047;
2023-12-11;-0,034;-0,028;0,027;-0,015;0,064;0,000;;0,007;-0,019;-0,012;-0,007;-0,043;-0,056;-0,054;;;-0,047;
2023-12-12;;;;;;;-0,008;;;;;;;;0,088;-0,039;;
2023-12-13;-0,034;-0,029;0,028;-0,013;0,060;0,004;-0,007;0,001;-0,023;-0,013;-0,013;-0,036;-0,053;-0,054;0,080;-0,040;-0,046;
2023-12-14;-0,035;-0,026;0,028;-0,008;0,077;0,007;-0,010;0,026;-0,013;-0,013;-0,006;-0,047;-0,056;-0,058;0,073;-0,039;-0,043;
2023-12-15;-0,031;-0,026;0,029;-0,010;0,078;0,008;-0,010;0,026;-0,011;-0,005;-0,006;-0,041;-0,056;-0,052;0,076;-0,034;-0,042;
2023-12-18;-0,033;-0,030;0,025;-0,011;0,073;0,004;-0,011;0,027;-0,013;-0,008;-0,007;-0,041;-0,057;-0,057;0,074;-0,038;-0,042;
2023-12-19;-0,035;-0,030;0,026;-0,009;0,081;0,006;-0,012;0,032;-0,012;-0,012;-0,003;-0,042;-0,056;-0,059;0,079;-0,039;-0,041;
2023-12-20;-0,043;-0,031;0,025;-0,012;0,079;0,006;-0,013;0,033;-0,010;-0,011;-0,004;-0,049;-0,055;-0,061;0,077;-0,041;-0,040;
2023-12-21;-0,042;-0,032;0,020;-0,012;0,079;0,004;-0,013;0,033;-0,011;-0,012;-0,004;-0,045;-0,059;-0,063;0,076;-0,041;-0,040;
2023-12-22;-0,043;-0,030;0,014;-0,013;0,077;0,002;-0,017;0,038;-0,010;-0,018;-0,003;-0,047;-0,061;-0,069;0,076;-0,046;-0,040;
2023-12-27;-0,042;-0,033;0,011;-0,014;0,077;0,000;-0,020;0,037;-0,009;-0,016;-0,001;-0,051;-0,058;-0,062;0,078;-0,043;-0,040;
2023-12-28;-0,041;-0,030;0,011;-0,017;0,074;0,001;-0,022;0,040;-0,009;-0,010;-0,004;-0,051;-0,057;-0,055;0,077;-0,037;-0,040;
2023-12-29;-0,038;-0,026;0,015;-0,015;0,076;0,003;-0,019;0,041;-0,008;-0,005;-0,005;-0,048;-0,053;-0,050;0,074;-0,031;-0,039;
2024-01-02;-0,036;;0,014;-0,018;0,077;0,006;-0,016;0,038;-0,008;-0,005;-0,001;-0,045;-0,056;-0,050;0,072;-0,031;-0,039;
2024-01-03;-0,033;;0,009;-0,022;0,074;0,002;;0,032;-0,014;-0,006;-0,005;-0,044;-0,058;-0,050;;;-0,039;
2024-01-04;;;;;;;-0,012;;;;;;;;0,073;-0,035;-0,039;
