
# ;[];[];[];[];[];[];[];[];[];[kotak funds - india growth fund][kotak funds - india esg a];[];[kpa blandfond][kpa etisk blandfond 2];[];[];[];[];[];
# ;holberg global a;holberg norden;holberg norge;humle småbolagsfond a;indecap guide 1 c;indecap guide 2 c;indecap guide sverige c;jpmorgan china a;jpmorgan funds - europe sustainable equity fund;kotak funds - india growth fund;kotak funds - india midcap a;kpa blandfond;lannebo europa småbolag a;lannebo mixfond;lannebo mixfond offensiv a;lannebo räntefond kort;lannebo småbolag;
2023-10-19;-0,040;-0,076;-0,090;-0,136;-0,021;-0,050;-0,066;0,007;;-0,012;-0,019;-0,062;-0,062;-0,038;-0,041;-0,030;-0,145;
2023-10-20;-0,043;-0,081;-0,095;-0,139;-0,021;-0,056;-0,072;0,001;;-0,016;-0,023;-0,066;-0,069;-0,043;-0,047;-0,030;-0,146;
2023-10-23;-0,044;-0,083;-0,103;-0,137;-0,021;-0,056;-0,074;;;-0,022;-0,032;-0,069;-0,072;-0,048;-0,053;-0,030;-0,152;
2023-10-24;-0,041;-0,079;-0,099;-0,132;-0,020;-0,054;-0,073;-0,002;;;;-0,067;-0,068;-0,044;-0,048;-0,030;-0,148;
2023-10-25;-0,044;-0,080;-0,099;-0,137;;;;0,008;;-0,019;-0,028;-0,068;-0,073;-0,047;-0,051;-0,030;-0,155;
2023-10-26;;;;;-0,020;-0,057;-0,076;;;;;;;;;;;
2023-10-27;-0,050;-0,087;-0,098;-0,132;;;;0,018;;-0,018;-0,027;-0,069;-0,074;-0,049;-0,055;-0,030;-0,147;
2023-10-30;;;;;-0,020;-0,057;-0,076;;;;;;;;;;;
2023-10-31;-0,045;-0,079;-0,092;-0,123;-0,019;-0,054;-0,072;0,010;;-0,020;-0,031;-0,065;-0,068;-0,043;-0,047;-0,029;-0,137;
2023-11-01;-0,040;-0,077;-0,092;-0,121;-0,018;-0,052;-0,072;0,011;;;;-0,063;-0,065;-0,043;-0,047;-0,029;-0,139;
2023-11-02;-0,031;-0,069;-0,088;-0,107;;;;0,009;;-0,017;-0,026;-0,057;-0,055;-0,035;-0,037;-0,029;-0,121;
2023-11-03;;;;;-0,018;-0,046;-0,062;;;;;;;;;;;
2023-11-06;-0,032;-0,071;-0,091;-0,105;-0,018;-0,046;-0,063;0,020;;-0,020;-0,030;-0,057;-0,055;-0,035;-0,037;-0,029;-0,120;
2023-11-07;-0,029;-0,072;-0,098;-0,104;-0,018;-0,047;-0,066;0,017;;-0,018;-0,028;-0,057;-0,054;-0,037;-0,039;-0,029;-0,117;
2023-11-08;-0,029;-0,072;-0,102;-0,104;-0,018;-0,047;-0,066;0,018;;-0,015;-0,023;-0,056;-0,052;-0,034;-0,036;-0,029;-0,116;
2023-11-09;-0,031;-0,070;-0,098;-0,095;-0,018;-0,046;-0,062;0,014;;-0,020;-0,027;-0,055;-0,050;-0,033;-0,035;-0,029;-0,109;
2023-11-10;-0,028;-0,074;-0,097;-0,102;-0,018;-0,046;-0,065;0,008;;-0,017;-0,024;-0,057;-0,052;-0,038;-0,041;-0,029;-0,114;
2023-11-13;-0,030;-0,073;-0,097;-0,103;-0,018;-0,046;-0,064;0,011;;-0,017;-0,024;-0,057;-0,053;-0,038;-0,041;-0,028;-0,116;
2023-11-14;-0,029;-0,063;-0,093;-0,081;-0,017;-0,041;-0,055;0,012;;;;-0,052;-0,045;-0,030;-0,032;-0,028;-0,094;
2023-11-15;-0,032;-0,065;-0,094;-0,081;;;;0,011;;-0,025;-0,032;-0,050;-0,043;-0,028;-0,028;-0,028;-0,089;
2023-11-16;;;;;-0,017;-0,042;-0,056;;;;;;;;;;;
2023-11-17;-0,034;-0,064;-0,096;-0,078;-0,017;-0,039;-0,051;0,001;;-0,024;-0,029;-0,049;-0,043;-0,028;-0,029;-0,028;-0,088;
2023-11-20;-0,032;-0,062;-0,092;-0,075;-0,017;-0,039;-0,050;0,005;;-0,030;-0,035;-0,049;-0,043;-0,027;-0,027;-0,028;-0,084;
2023-11-21;-0,034;-0,066;-0,096;-0,080;-0,017;-0,041;-0,052;0,002;;-0,031;-0,037;-0,050;-0,048;-0,029;-0,030;-0,028;-0,088;
2023-11-22;-0,028;-0,064;-0,096;-0,076;-0,016;-0,037;-0,049;0,003;;-0,028;-0,034;-0,047;-0,047;-0,028;-0,028;-0,028;-0,084;
2023-11-23;;;;-0,074;-0,016;;-0,046;0,007;;-0,030;-0,035;-0,047;-0,045;-0,026;-0,026;-0,028;-0,082;
2023-11-24;-0,031;-0,061;-0,092;-0,074;-0,016;-0,035;-0,045;0,002;;-0,030;-0,036;-0,047;-0,045;-0,027;-0,027;-0,028;-0,081;
2023-11-27;-0,035;-0,064;-0,092;-0,074;-0,016;-0,036;-0,046;-0,002;;;;-0,046;-0,044;-0,026;-0,026;-0,027;-0,080;
2023-11-28;-0,036;-0,062;-0,091;-0,077;-0,016;-0,039;-0,049;-0,000;;-0,029;-0,035;-0,049;-0,049;-0,028;-0,029;-0,027;-0,085;
2023-11-29;-0,039;-0,063;-0,093;-0,074;;;;-0,012;;-0,030;-0,035;-0,046;-0,045;-0,027;-0,028;-0,027;-0,082;
2023-11-30;;;;;-0,014;-0,035;-0,046;;;;;;;;;;;
2023-12-01;-0,037;-0,057;-0,091;-0,074;-0,014;-0,034;-0,044;-0,011;;-0,017;-0,022;-0,044;-0,046;-0,026;-0,027;-0,028;-0,083;
2023-12-04;-0,034;-0,056;-0,093;-0,077;-0,013;-0,034;-0,044;-0,021;;-0,012;-0,020;-0,043;-0,048;-0,026;-0,027;-0,028;-0,082;
2023-12-05;-0,036;-0,058;-0,097;-0,070;-0,013;-0,034;-0,042;-0,030;;-0,009;-0,019;-0,042;-0,046;-0,026;-0,026;-0,028;-0,076;
2023-12-06;-0,034;-0,058;-0,096;-0,063;-0,013;-0,032;-0,039;-0,024;;-0,008;-0,016;-0,039;-0,047;-0,022;-0,022;-0,028;-0,068;
2023-12-07;-0,038;-0,062;-0,100;-0,060;-0,013;-0,033;-0,039;-0,030;;-0,010;-0,017;-0,039;-0,044;-0,021;-0,021;-0,028;-0,065;
2023-12-08;-0,035;-0,059;-0,095;-0,059;-0,013;-0,030;-0,037;-0,032;;-0,012;-0,020;-0,038;-0,042;-0,019;-0,018;-0,028;-0,062;
