
# ;[];[];[];[];[];[];[];[];[];[kotak funds - india growth fund][kotak funds - india esg a];[];[kpa blandfond][kpa etisk blandfond 2];[];[];[];[];[];
# ;holberg global a;holberg norden;holberg norge;humle småbolagsfond a;indecap guide 1 c;indecap guide 2 c;indecap guide sverige c;jpmorgan china a;jpmorgan funds - europe sustainable equity fund;kotak funds - india growth fund;kotak funds - india midcap a;kpa blandfond;lannebo europa småbolag a;lannebo mixfond;lannebo mixfond offensiv a;lannebo räntefond kort;lannebo småbolag;
2024-05-06;;;;;-0,002;0,022;0,017;;;;;;;;;;;
2024-05-07;0,042;-0,000;-0,028;0,008;-0,001;0,026;0,022;0,024;;0,031;0,033;0,005;0,009;0,013;0,020;-0,016;-0,001;
2024-05-08;0,042;0,003;-0,023;0,009;-0,000;0,027;0,022;0,021;;0,038;0,041;0,006;0,013;0,014;0,022;-0,016;0,004;
2024-05-10;0,045;0,009;-0,018;0,016;0,000;0,031;0,027;0,027;;0,030;0,035;0,009;0,012;0,019;0,028;-0,016;0,011;
2024-05-13;0,042;0,010;-0,019;0,015;0,001;0,032;0,028;0,032;;0,031;0,035;0,009;0,013;0,023;0,033;-0,016;0,010;
2024-05-14;0,045;0,015;-0,017;0,022;0,000;0,033;0,030;0,031;;0,032;0,036;0,009;0,018;0,025;0,035;-0,016;0,014;
2024-05-15;0,042;0,013;-0,019;0,025;0,001;0,033;0,028;;;0,032;0,039;0,011;0,019;0,025;0,035;-0,015;0,016;
2024-05-16;0,041;0,013;-0,018;0,024;0,001;0,031;0,026;0,030;;0,033;0,041;0,010;0,021;0,024;0,034;-0,015;0,016;
2024-05-17;;;;0,024;0,001;0,032;0,026;0,040;;0,038;0,049;0,009;0,021;0,023;0,032;-0,015;0,016;
2024-05-20;;;;0,028;0,001;0,034;0,030;0,038;;;;0,011;0,024;0,025;0,035;-0,015;0,021;
2024-05-21;0,040;0,014;-0,017;0,029;0,001;0,033;0,030;0,028;0,007;0,035;0,047;0,011;0,021;0,024;0,034;-0,015;0,021;
2024-05-22;0,042;0,014;-0,019;0,033;0,001;0,033;0,030;0,029;0,007;0,037;0,048;0,012;0,024;0,024;0,035;-0,015;0,026;
2024-05-23;0,040;0,013;-0,016;0,034;0,000;0,033;0,032;0,023;0,008;;;0,011;0,023;0,023;0,033;-0,015;0,027;
2024-05-24;0,041;0,014;-0,012;0,032;;;0,029;0,018;0,007;0,043;0,053;0,009;0,022;0,021;0,030;-0,015;0,024;
2024-05-27;0,041;0,013;-0,010;0,031;;;;0,018;0,007;0,041;0,052;0,009;0,022;0,022;0,031;-0,014;0,022;
2024-05-28;;;;;-0,001;0,028;0,028;;;;;;;;;;;
2024-05-29;0,035;0,009;-0,009;0,023;-0,001;0,024;0,022;0,005;-0,001;0,032;0,044;0,006;0,014;0,018;0,026;-0,014;0,016;
2024-05-30;0,031;0,011;-0,007;0,026;-0,001;0,024;0,024;0,006;0,002;0,033;0,042;0,005;0,016;0,019;0,027;-0,014;0,018;
2024-05-31;0,030;0,011;-0,005;0,031;;;;-0,003;0,001;0,031;0,039;0,004;0,015;0,020;0,028;-0,014;0,020;
2024-06-03;;;;;-0,001;0,024;0,027;;;;;;;;;;;
2024-06-04;0,030;0,008;-0,016;0,025;-0,000;0,022;0,023;0,001;-0,001;0,013;0,017;0,006;0,012;0,018;0,026;-0,014;0,015;
2024-06-05;0,034;0,008;-0,017;0,028;-0,000;0,024;0,024;-0,001;-0,000;0,026;0,039;0,005;0,009;0,018;0,025;-0,014;0,017;
2024-06-07;0,036;0,009;-0,018;0,029;0,000;0,027;0,026;-0,006;0,002;0,035;0,046;0,008;0,012;0,018;0,026;-0,014;0,018;
2024-06-10;0,036;0,007;-0,017;0,027;-0,001;0,024;0,022;;0,001;0,043;0,056;0,006;0,008;0,016;0,023;-0,014;0,016;
2024-06-11;0,037;0,006;-0,020;0,027;-0,001;0,022;0,020;-0,003;-0,004;0,040;0,054;0,005;0,004;0,014;0,021;-0,013;0,021;
2024-06-12;0,036;0,009;-0,018;0,037;-0,001;0,024;0,026;-0,006;0,001;0,042;0,059;0,009;0,006;0,019;0,027;-0,013;0,033;
2024-06-13;0,037;0,006;-0,024;0,030;-0,000;0,022;0,020;-0,007;-0,006;0,039;0,058;0,008;0,004;0,016;0,022;-0,013;0,027;
2024-06-14;0,040;0,005;-0,022;0,025;-0,000;0,021;0,015;-0,001;-0,009;0,047;0,069;0,008;-0,000;0,012;0,018;-0,013;0,019;
2024-06-17;0,040;0,005;-0,020;0,024;-0,000;0,020;0,015;-0,000;-0,009;;;0,007;-0,001;0,010;0,016;-0,013;0,019;
2024-06-18;0,036;0,004;-0,017;0,023;-0,000;0,020;0,016;-0,005;-0,007;0,047;0,069;0,007;0,000;0,011;0,016;-0,013;0,017;
2024-06-19;;0,004;-0,015;0,020;-0,001;;0,014;-0,001;-0,008;0,044;0,065;0,007;0,001;0,010;0,015;-0,013;0,016;
2024-06-20;0,037;0,007;-0,014;0,026;-0,001;0,022;0,018;-0,004;-0,005;0,046;0,067;0,008;0,004;0,012;0,018;-0,013;0,024;
2024-06-24;0,036;0,010;-0,009;0,025;;;;-0,009;-0,002;0,049;0,070;0,009;0,005;0,014;0,020;-0,013;0,022;
2024-06-25;;;;;0,000;0,022;0,016;;;;;;;;;;;
2024-06-26;0,044;0,004;-0,014;0,018;0,000;0,023;0,016;-0,008;-0,005;0,055;0,069;0,009;0,002;0,010;0,015;-0,013;0,016;
2024-06-27;0,043;0,002;-0,012;0,020;0,000;0,023;0,016;-0,013;-0,002;0,060;0,075;0,010;0,003;0,010;0,015;-0,013;0,017;
2024-06-28;0,042;0,007;-0,007;0,019;-0,000;0,024;0,019;-0,014;-0,002;0,062;0,078;0,011;0,004;0,010;0,015;-0,013;0,017;
2024-07-01;0,040;0,009;-0,008;0,022;-0,000;0,027;0,023;;0,000;0,061;0,080;0,011;0,008;0,013;0,018;-0,012;0,019;
2024-07-02;0,044;0,008;-0,006;0,022;-0,000;0,024;0,018;-0,014;-0,002;0,063;0,081;0,009;0,007;0,010;0,015;-0,012;0,020;
2024-07-03;0,040;0,004;-0,007;0,025;-0,001;0,024;0,019;-0,013;-0,001;0,062;0,080;0,010;0,009;0,012;0,017;-0,012;0,024;
2024-07-04;;0,009;-0,008;0,027;-0,000;;0,021;-0,014;0,001;0,058;0,079;0,011;0,013;0,013;0,019;-0,012;0,026;
2024-07-05;0,044;0,008;-0,007;0,030;-0,000;0,026;0,019;-0,019;-0,000;0,058;0,079;0,011;0,017;0,013;0,019;-0,012;0,031;
2024-07-08;0,046;0,009;-0,010;0,033;0,000;0,027;0,020;-0,024;0,002;0,057;0,077;0,012;0,019;0,013;0,018;-0,012;0,031;
2024-07-09;0,045;0,007;-0,012;0,032;-0,000;0,024;0,016;-0,017;0,001;0,062;0,082;0,012;0,018;0,010;0,015;-0,012;0,033;
2024-07-10;0,052;0,012;-0,013;0,033;0,001;0,026;0,017;-0,016;0,002;0,060;0,079;0,012;0,020;0,010;0,015;-0,012;0,031;
2024-07-11;0,050;0,015;-0,011;0,036;0,001;0,028;0,021;-0,008;0,006;0,060;0,080;0,015;0,021;0,013;0,019;-0,012;0,034;
2024-07-12;0,051;0,021;-0,011;0,047;;;;-0,004;0,010;0,061;0,080;0,019;0,031;0,021;0,029;-0,012;0,045;
2024-07-18;;;;;;;;;;;;;;;;;;
2024-07-19;;;;;0,004;0,031;0,028;;;;;;;;;;;
2024-07-22;0,054;0,026;-0,005;0,040;0,005;0,036;0,034;-0,017;0,008;0,064;0,080;0,020;0,034;0,019;0,027;-0,011;0,039;
2024-07-23;0,054;0,024;-0,008;0,038;0,005;0,037;0,033;-0,021;0,013;0,066;0,082;0,021;0,033;0,018;0,025;-0,011;0,037;
2024-07-24;0,044;0,025;-0,009;0,035;0,004;0,032;0,030;-0,022;0,011;0,065;0,082;0,018;0,034;0,016;0,022;-0,011;0,034;
2024-07-25;0,043;0,022;-0,012;0,031;;;;-0,028;0,007;0,065;0,081;0,014;0,029;0,013;0,018;-0,011;0,025;
2024-07-26;;;;;0,005;0,033;0,029;;;;;;;;;;;
2024-07-29;0,051;0,025;-0,006;0,035;0,005;0,033;0,029;-0,029;0,014;0,071;0,090;0,020;0,036;0,017;0,024;-0,011;0,035;
2024-07-30;0,049;0,029;-0,004;0,037;0,005;0,033;0,031;-0,034;0,014;0,071;0,090;0,019;0,036;0,018;0,024;-0,011;0,035;
2024-07-31;0,054;0,029;-0,002;0,038;0,005;0,035;0,032;-0,025;0,011;0,069;0,090;0,020;0,032;0,017;0,024;-0,011;0,036;
2024-08-01;0,051;0,023;-0,003;0,030;0,005;0,028;0,024;-0,031;0,008;0,067;0,086;0,019;0,030;0,015;0,021;-0,011;0,034;
2024-08-02;0,040;0,017;-0,018;0,018;;;;-0,037;-0,006;0,066;0,083;0,008;0,015;0,006;0,009;-0,011;0,017;
2024-08-05;;;;;0,003;0,005;0,001;;;;;;;;;;;
2024-08-06;0,023;-0,003;-0,038;0,010;0,003;0,006;-0,000;-0,048;-0,021;0,045;0,060;-0,001;0,003;-0,003;-0,003;-0,011;0,004;
2024-08-07;0,018;0,003;-0,029;0,018;0,003;0,010;0,007;-0,046;-0,015;0,047;0,069;0,004;0,006;0,003;0,005;-0,010;0,019;
2024-08-08;0,028;0,004;-0,028;0,018;0,003;0,014;0,008;-0,046;-0,017;0,044;0,063;0,003;0,007;0,002;0,003;-0,010;0,013;
2024-08-09;0,032;0,009;-0,024;0,023;0,004;0,016;0,010;-0,040;-0,012;0,049;0,069;0,004;0,010;0,003;0,005;-0,010;0,019;
2024-08-12;0,034;0,011;-0,020;0,023;0,003;0,016;0,010;-0,037;-0,011;0,049;0,069;0,005;0,011;0,003;0,005;-0,010;0,019;
2024-08-13;0,039;0,012;-0,020;0,022;;;;-0,036;-0,009;0,048;0,066;0,008;0,009;0,005;0,007;-0,010;0,020;
2024-08-14;;;;;0,004;0,020;0,015;-0,042;-0,007;0,045;0,063;;;;;;;
2024-08-15;0,047;0,017;-0,013;0,030;0,005;0,026;0,021;;;;;0,013;0,014;0,011;0,015;-0,010;0,026;
2024-08-16;0,047;0,019;-0,012;0,028;0,005;0,028;0,022;-0,033;0,004;0,055;0,076;0,015;0,016;0,011;0,015;-0,010;0,026;
2024-08-19;0,043;0,017;-0,012;0,031;0,005;0,028;0,024;-0,034;0,005;0,050;0,071;0,014;0,016;0,012;0,017;-0,010;0,027;
2024-08-20;0,039;0,013;-0,018;0,030;0,004;0,025;0,022;-0,042;0,001;0,048;0,071;0,014;0,012;0,012;0,017;-0,010;0,029;
2024-08-21;0,040;0,014;-0,018;0,028;0,005;0,024;0,021;-0,048;-0,001;0,044;0,069;0,013;0,012;0,011;0,016;-0,010;0,025;
2024-08-22;0,040;0,016;-0,018;0,030;;;;-0,045;0,002;0,045;0,069;0,015;0,015;0,013;0,018;-0,009;0,028;
2024-08-27;;;;;0,005;0,028;0,028;;;;;;;;;;;
2024-08-28;0,036;0,015;-0,014;0,037;0,005;0,028;0,029;-0,068;0,005;0,047;0,069;0,015;0,017;0,014;0,020;-0,009;0,037;
2024-08-29;0,037;0,019;-0,011;0,038;0,006;0,032;0,033;-0,061;0,005;0,047;0,069;0,017;0,017;0,015;0,021;-0,009;0,037;
2024-08-30;0,046;0,024;-0,009;0,039;0,006;0,034;0,035;-0,052;0,008;0,052;0,074;0,018;0,021;0,017;0,024;-0,009;0,039;
2024-09-02;;0,022;-0,016;0,037;0,006;;0,033;-0,057;0,007;0,054;0,074;0,017;0,018;0,016;0,021;-0,009;0,037;
2024-09-03;0,039;0,019;-0,024;0,030;0,007;0,030;0,029;-0,055;0,006;0,055;0,077;0,016;0,013;0,013;0,018;-0,009;0,036;
2024-09-04;0,032;0,013;-0,027;0,029;;;;-0,055;0,003;0,056;0,078;0,012;0,014;0,010;0,013;-0,009;0,030;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;;;;;0,008;0,036;0,032;0,061;;;;;;;;;;
2024-10-11;0,060;0,011;-0,016;0,024;0,009;0,039;0,034;;0,004;0,058;0,088;0,023;0,020;0,013;0,017;-0,007;0,025;
2024-10-14;0,066;0,012;-0,017;0,024;0,010;0,041;0,035;0,057;0,006;0,060;0,091;0,025;0,020;0,013;0,016;-0,007;0,023;
2024-10-15;0,059;0,008;-0,021;0,025;0,009;0,039;0,035;0,039;0,007;0,063;0,094;0,025;0,018;0,010;0,015;-0,007;0,028;
2024-10-16;0,066;0,009;-0,019;0,022;0,011;0,041;0,035;0,037;0,004;0,063;0,093;0,024;0,021;0,011;0,015;-0,007;0,022;
2024-10-17;0,065;0,007;-0,018;0,023;0,011;0,042;0,036;0,034;0,012;0,062;0,089;0,027;0,022;0,012;0,017;-0,007;0,024;
2024-10-18;0,070;0,009;-0,019;0,025;0,012;0,044;0,040;0,053;0,009;0,063;0,091;0,027;0,025;0,014;0,018;-0,007;0,024;
2024-10-21;0,068;0,006;-0,018;0,020;0,011;0,042;0,036;0,048;0,010;0,063;0,087;0,026;0,017;0,012;0,018;-0,006;0,025;
2024-10-22;0,065;0,005;-0,019;0,019;0,010;0,040;0,034;0,051;0,005;0,055;0,076;0,024;0,018;0,013;0,017;-0,006;0,018;
2024-10-23;0,065;0,006;-0,016;0,018;0,010;0,040;0,036;0,056;0,005;0,058;0,082;0,025;0,016;0,014;0,020;-0,006;0,019;
2024-10-24;0,062;0,004;-0,017;0,017;0,010;0,039;0,033;0,048;0,006;0,058;0,080;0,025;0,016;0,013;0,021;-0,006;0,020;
2024-10-25;0,064;0,003;-0,014;0,019;;;;0,049;0,004;0,053;0,074;0,025;0,015;0,016;0,020;-0,006;0,020;
2024-10-28;;;;;0,012;0,044;0,041;;;;;;;;;;;
2024-10-29;0,067;0,004;-0,013;0,021;0,011;0,044;0,039;0,053;0,008;0,060;0,083;0,028;0,016;0,018;0,026;-0,006;0,026;
2024-10-30;0,068;0,004;-0,010;0,016;0,011;0,041;0,034;0,045;0,003;0,059;0,079;0,027;0,018;0,016;0,023;-0,006;0,022;
2024-10-31;0,062;0,003;-0,016;0,011;0,009;0,035;0,029;0,043;-0,004;0,059;0,079;0,022;0,014;0,013;0,017;-0,006;0,016;
2024-11-01;0,066;0,005;-0,020;0,013;0,010;0,038;0,031;0,047;0,005;;;0,023;0,016;0,016;0,021;-0,006;0,017;
2024-11-04;0,065;0,005;-0,021;0,018;;;;0,051;0,004;0,055;0,079;0,023;0,015;0,018;0,024;-0,006;0,021;
2024-11-05;;;;;0,010;0,041;0,034;;;;;;;;;;;
2024-11-06;0,080;0,003;-0,018;0,015;0,012;0,044;0,031;0,056;0,004;0,068;0,096;0,027;0,019;0,012;0,017;-0,006;0,019;
2024-11-07;0,081;0,006;-0,013;0,021;;;;0,069;0,003;0,064;0,092;0,028;0,023;0,015;0,022;-0,006;0,026;
2024-11-08;;;;;0,012;0,046;0,034;;;;;;;;;;;
2024-11-11;0,087;0,008;-0,012;0,026;;;;0,059;0,005;0,063;0,087;0,032;0,027;0,014;0,019;-0,005;0,028;
2024-11-12;;;;;0,012;0,044;0,027;;;;;;;;;;;
2024-11-13;0,088;-0,004;-0,017;0,015;0,012;0,044;0,026;0,052;-0,007;0,059;0,076;0,027;0,017;0,006;0,008;-0,005;0,015;
2024-11-14;0,089;-0,002;-0,013;0,018;;;;0,044;-0,001;0,065;0,084;0,029;0,020;0,009;0,012;-0,005;0,019;
2024-11-15;;;;;0,011;0,040;0,024;;;;;;;;;;;
2024-11-18;0,076;-0,008;-0,011;0,004;0,012;0,039;0,022;0,044;-0,007;0,062;0,082;0,024;0,014;0,005;0,006;-0,005;0,003;
2024-11-19;0,079;-0,010;-0,011;0,002;0,012;0,037;0,019;0,045;-0,012;0,062;0,082;0,022;0,012;0,003;0,002;-0,005;-0,001;
2024-11-20;0,083;-0,010;-0,007;-0,001;0,012;0,037;0,016;0,048;-0,008;;;0,025;0,015;0,001;0,003;-0,005;-0,001;
2024-11-21;0,085;-0,010;-0,003;0,000;0,013;0,039;0,018;0,046;-0,006;0,065;0,082;0,024;0,014;0,001;-0,000;-0,005;-0,002;
2024-11-22;0,087;-0,004;0,001;0,007;0,014;0,043;0,022;0,036;0,000;0,073;0,090;0,029;0,017;0,004;0,005;-0,005;0,007;
2024-11-25;0,092;0,000;0,003;0,011;0,015;0,044;0,024;0,034;0,000;0,081;0,098;0,029;0,021;0,006;0,007;-0,005;0,009;
2024-11-26;0,091;-0,006;-0,005;0,008;0,015;0,043;0,020;0,029;-0,002;0,078;0,096;0,029;0,017;0,002;0,004;-0,005;0,009;
2024-11-27;0,087;-0,007;-0,004;0,011;;0,042;;0,036;-0,006;0,077;0,094;0,029;0,017;0,004;0,005;-0,005;0,011;
2024-11-28;;;;;0,015;;0,023;;;;;;;;;;;
2024-11-29;0,090;-0,004;-0,001;0,016;0,015;0,044;0,024;0,029;-0,003;0,073;0,092;0,029;0,024;0,006;0,006;-0,005;0,013;
2024-12-02;0,097;-0,000;0,000;0,021;0,017;0,049;0,030;0,035;0,001;0,076;0,099;0,034;0,023;0,010;0,012;-0,004;0,022;
2024-12-03;0,099;0,004;0,006;0,023;0,017;0,050;0,032;0,038;0,005;0,081;0,102;0,036;0,025;0,012;0,015;-0,004;0,024;
2024-12-04;0,102;0,009;0,010;0,029;0,017;0,052;0,035;0,039;0,009;0,082;0,106;0,036;0,027;0,014;0,018;-0,004;0,029;
2024-12-05;0,097;0,007;0,008;0,026;0,015;0,051;0,036;0,032;0,007;0,081;0,103;0,035;0,028;0,015;0,019;-0,004;0,027;
2024-12-06;0,099;;0,001;0,030;;;;0,036;0,008;0,080;0,102;0,037;0,031;0,016;0,020;-0,004;0,031;
2024-12-09;;;;;0,015;0,051;0,038;;;;;;;;;;;
2024-12-10;0,100;0,008;0,003;0,029;0,015;0,051;0,036;0,051;0,008;0,079;0,106;0,036;0,035;0,016;0,021;-0,004;0,029;
2024-12-11;0,103;0,009;0,002;0,030;;;;0,048;0,008;0,081;0,109;0,036;0,035;0,016;0,021;-0,004;0,032;
2024-12-12;;;;;0,015;0,049;0,033;;;;;;;;;;;
2024-12-13;0,099;0,007;0,010;0,025;0,014;0,047;0,031;0,045;0,005;0,084;0,108;0,033;0,031;0,011;0,015;-0,004;0,027;
2024-12-16;0,098;0,005;0,004;0,022;0,013;0,044;0,029;0,039;0,006;0,083;0,108;0,032;0,026;0,009;0,011;-0,004;0,024;
2024-12-17;0,094;-0,002;-0,002;0,021;0,013;0,043;0,027;0,036;0,002;0,077;0,103;0,031;0,024;0,008;0,011;-0,004;0,023;
2024-12-18;0,093;0,002;-0,000;0,025;0,012;0,042;0,029;0,040;0,003;0,076;0,102;0,031;0,026;0,009;0,011;-0,004;0,026;
2024-12-19;0,093;-0,001;-0,003;0,018;0,009;0,034;0,019;0,043;-0,004;0,075;0,103;0,024;0,019;0,002;0,003;-0,004;0,016;
2024-12-20;0,083;-0,016;-0,009;0,021;;;;0,041;-0,012;0,071;0,095;0,022;0,021;0,000;-0,002;-0,004;0,014;
2025-02-06;;;;;;;;;;;;;;;;;;
2025-02-18;;;;;0,014;0,064;0,061;;;0,020;0,018;;;;;;;
2025-02-19;0,098;0,036;0,013;0,038;0,013;0,059;0,053;0,081;0,022;;;0,040;0,034;0,033;0,041;-0,001;0,047;
2025-02-20;0,094;0,040;0,013;0,039;0,012;0,058;0,055;0,079;0,023;0,023;0,027;0,039;0,032;0,034;0,041;-0,001;0,046;
2025-02-21;0,091;0,040;0,012;0,035;0,012;0,054;0,054;0,090;0,023;0,017;0,019;0,039;0,031;0,033;0,041;-0,001;0,044;
2025-02-24;0,084;0,039;0,010;0,034;;;;0,083;0,021;0,012;0,014;0,037;0,031;0,033;0,039;-0,000;0,042;
2025-02-25;;;;;0,012;0,054;0,054;;;;;;;;;;;
2025-02-26;0,085;0,044;0,007;0,035;0,013;0,057;0,059;0,088;0,027;0,010;0,010;0,038;0,036;0,037;0,044;-0,000;0,041;
2025-02-27;0,082;0,042;0,005;0,030;0,013;0,055;0,055;0,085;0,024;0,010;0,010;0,037;0,034;0,033;0,040;-0,000;0,034;
2025-02-28;0,084;0,039;0,003;0,028;0,014;0,055;0,052;0,074;0,024;0,006;0,004;0,035;0,032;0,032;0,039;-0,000;0,033;
2025-03-03;0,075;0,044;0,004;0,028;0,012;0,051;0,054;0,073;0,028;0,005;0,008;0,036;0,029;0,032;0,042;-0,000;0,036;
2025-03-04;0,059;0,025;-0,014;0,017;0,011;0,041;0,040;0,064;0,016;-0,002;0,001;0,028;0,018;0,023;0,029;-0,000;0,025;
2025-03-05;0,060;0,028;-0,011;0,021;0,008;0,043;0,048;0,069;0,019;-0,004;0,001;0,026;0,023;0,029;0,035;-0,000;0,030;
2025-03-06;0,051;0,026;-0,013;0,014;;;;0,077;0,014;-0,011;-0,007;0,023;0,022;0,029;0,034;-0,000;0,023;
2025-03-10;;;;;0,004;0,032;0,043;;;;;;;;;;;
2025-03-11;0,029;0,017;-0,010;-0,002;;;;0,064;-0,003;-0,018;-0,017;0,012;0,007;0,020;0,026;0,000;0,011;
2025-03-12;;;;;0,001;0,025;0,033;;;;;;;;;;;
2025-03-13;0,029;0,021;0,002;-0,001;;;;0,064;0,005;-0,016;-0,017;0,015;0,011;0,022;0,027;0,000;0,010;
2025-03-14;;;;;0,003;0,032;0,040;;;;;;;;;;;
2025-03-17;0,039;0,032;0,013;0,012;;;;0,078;0,011;-0,014;-0,015;0,018;0,019;0,027;0,033;0,000;0,021;
2025-03-18;;;;;0,003;0,032;0,041;;;;;;;;;;;
2025-03-19;0,041;0,036;0,018;0,015;0,004;0,035;0,041;0,084;0,015;-0,003;0,002;0,018;0,020;0,027;0,033;0,000;0,026;
2025-03-20;0,041;0,035;0,019;0,014;0,004;0,034;0,039;0,075;0,013;0,001;0,005;0,019;0,018;0,026;0,031;0,000;0,023;
2025-03-21;0,040;0,031;0,021;0,009;0,003;0,029;0,032;0,065;0,010;0,005;0,013;0,015;0,010;0,022;0,026;0,000;0,018;
2025-03-24;0,046;0,031;0,021;0,007;0,003;0,030;0,031;0,069;0,010;0,009;0,017;0,018;0,008;0,020;0,025;0,000;0,019;
2025-03-25;0,044;0,031;0,020;0,008;0,002;0,029;0,031;0,060;0,009;0,007;0,012;0,016;0,008;0,021;0,024;0,000;0,017;
2025-03-26;0,039;0,029;0,023;0,001;0,001;0,024;0,025;0,058;0,006;0,003;0,006;0,015;0,006;0,016;0,022;0,000;0,014;
2025-03-27;0,032;0,023;0,020;0,000;0,001;0,021;0,022;0,060;0,004;0,006;0,011;0,013;0,003;0,015;0,019;0,000;0,010;
2025-03-28;0,024;0,021;0,015;-0,002;0,001;0,016;0,019;0,054;-0,001;0,004;0,008;0,009;-0,002;0,013;0,014;0,000;0,005;
2025-03-31;0,023;0,014;0,013;-0,002;0,001;0,012;0,010;0,046;-0,006;;;0,006;-0,008;0,006;0,009;0,000;0,004;
2025-04-01;0,028;0,018;0,016;0,006;0,001;0,013;0,014;0,048;-0,003;;;0,007;-0,006;0,007;0,008;0,000;0,009;
2025-04-02;0,028;0,016;0,010;0,004;0,000;0,011;0,011;0,047;-0,007;0,002;0,007;0,004;-0,010;0,005;0,002;0,000;0,005;
2025-04-03;-0,000;0,001;0,000;-0,002;-0,003;-0,006;-0,004;0,029;-0,016;-0,009;-0,005;-0,004;-0,021;-0,003;-0,002;0,000;0,005;
2025-04-04;-0,005;-0,010;-0,019;-0,021;-0,003;-0,019;-0,021;;-0,027;-0,010;-0,009;-0,011;-0,035;-0,016;-0,017;-0,000;-0,012;
2025-04-07;-0,005;-0,019;-0,020;-0,041;-0,008;-0,035;-0,042;-0,013;-0,048;-0,027;-0,026;-0,023;-0,053;-0,031;-0,032;-0,001;-0,029;
2025-04-08;-0,019;-0,021;-0,028;-0,031;-0,007;-0,030;-0,033;-0,012;-0,034;-0,013;-0,012;-0,015;-0,041;-0,025;-0,027;-0,001;-0,028;
2025-04-09;-0,001;-0,043;-0,039;-0,049;-0,003;-0,027;-0,048;-0,010;-0,045;-0,021;-0,020;-0,025;-0,050;-0,035;-0,041;-0,001;-0,043;
2025-04-10;-0,003;-0,021;-0,028;-0,029;-0,005;-0,023;-0,031;-0,004;-0,031;;;-0,013;-0,038;-0,023;-0,026;-0,001;-0,024;
2025-04-11;-0,001;-0,022;-0,028;-0,029;-0,002;-0,018;-0,030;-0,007;-0,026;-0,019;-0,015;-0,014;-0,029;-0,021;-0,026;-0,001;-0,027;
2025-04-14;-0,001;-0,015;-0,021;-0,017;-0,002;-0,014;-0,019;-0,005;-0,020;;;-0,008;-0,024;-0,013;-0,017;-0,001;-0,017;
2025-04-15;0,002;-0,008;-0,015;-0,006;0,000;-0,005;-0,010;-0,002;-0,011;-0,011;-0,005;-0,002;-0,011;-0,006;-0,008;-0,001;-0,004;
2025-04-16;-0,005;-0,004;-0,010;-0,009;-0,001;-0,010;-0,012;-0,008;-0,008;-0,005;0,001;-0,007;-0,013;-0,008;-0,011;-0,001;-0,009;
2025-04-17;;;;-0,013;-0,004;-0,015;-0,016;-0,006;-0,009;-0,002;0,002;-0,010;-0,021;-0,011;-0,013;-0,001;-0,009;
2025-04-22;-0,020;-0,013;-0,016;-0,007;-0,004;-0,016;-0,014;-0,012;-0,015;-0,003;0,003;-0,013;-0,021;-0,010;-0,015;-0,001;-0,014;
2025-04-23;-0,008;-0,002;-0,011;0,000;;;;-0,000;-0,009;-0,001;0,005;-0,002;-0,013;-0,003;-0,001;-0,001;0,001;
2025-04-24;;;;;;;;;;;;;;;;;;
2025-04-25;;;;;;;;;;;;;;;;;;
2025-04-28;;;;;0,000;0,000;0,000;;;;;;;;;;;
2025-04-29;0,000;0,000;0,000;0,000;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;
