
# ;[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];[];
# ;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;seligson & co global top 25 pharmaceuticals a;
2023-03-08;-0,069;-0,038;;-0,080;-0,059;-0,041;-0,029;-0,002;-0,070;-0,070;-0,001;-0,064;-0,064;-0,172;-0,022;-0,013;0,042;
2023-03-09;-0,067;-0,031;;-0,078;-0,060;-0,041;-0,026;-0,001;-0,069;-0,071;-0,003;-0,063;-0,063;-0,174;-0,023;-0,013;0,039;
2023-03-10;-0,078;-0,041;;-0,090;-0,060;-0,039;-0,034;-0,018;-0,079;-0,076;0,001;-0,075;-0,075;-0,178;-0,014;-0,016;0,038;
2023-03-13;-0,085;-0,052;;-0,097;-0,062;-0,037;-0,033;-0,030;-0,089;-0,078;0,006;-0,082;-0,081;-0,188;-0,006;-0,021;0,035;
2023-03-14;-0,087;-0,047;;-0,099;-0,061;-0,039;-0,036;-0,025;-0,084;-0,077;0,003;-0,073;-0,072;-0,188;-0,012;-0,023;0,035;
2023-03-15;-0,092;-0,057;;-0,104;-0,064;-0,036;-0,039;-0,033;-0,098;-0,078;0,006;-0,085;-0,085;-0,206;-0,015;-0,027;0,030;
2023-03-16;-0,093;-0,052;;-0,104;-0,063;-0,039;-0,037;-0,031;-0,099;-0,078;0,004;-0,084;-0,084;-0,204;-0,014;-0,024;0,036;
2023-03-17;-0,094;-0,056;;-0,106;-0,064;-0,037;-0,036;-0,034;-0,105;-0,080;0,005;-0,091;-0,090;-0,211;-0,015;-0,020;0,036;
2023-03-20;-0,094;-0,056;;-0,105;-0,067;-0,038;-0,039;-0,034;-0,098;-0,081;0,005;-0,083;-0,082;-0,209;-0,010;-0,023;0,032;
2023-03-21;-0,093;-0,051;;-0,104;-0,063;-0,039;-0,039;-0,032;-0,092;-0,078;0,003;-0,078;-0,078;-0,205;-0,018;-0,022;0,032;
