
# ;[];[seb europafond småbolag][seb eur småbolag][seb europa småbolag][seb europa småbolagsfond][seb europeiska småbolagsfo][seb europeiska småbolagsfond];[];[];[];[];[];[];[];[];[];[];[];[seb östeuropafond små och medelstora bolag c][seb östeuropafond små och medelstora bolag ex ryssland c];[];[];[];
# ;seb dynamisk aktiefond;seb europafond småbolag;seb europe equity fund;seb global aktiefond;seb global high yield fund c;seb green bond fund c;seb läkemedelsfond;seb nordamerikafond små och medelstora bolag a;seb nordenfond;seb pension fund c;seb realräntefond d;seb sverige expanderad;seb sweden equity fund c;seb östeuropafond små och medelstora bolag c;seligson & co euroobligation a;seligson & co global top 25 brands a;seligson & co global top 25 pharmaceuticals a;
2023-08-31;-0,030;-0,022;;-0,035;-0,051;-0,033;0,022;0,030;-0,068;-0,046;-0,011;-0,065;-0,067;-0,109;0,009;0,031;0,079;
2023-09-01;-0,027;-0,018;;-0,032;;-0,034;0,025;0,035;-0,067;;-0,011;-0,066;-0,068;-0,103;0,011;0,033;0,079;
2023-09-04;;-0,015;;;;;;;-0,064;;-0,012;-0,062;-0,064;;0,009;0,035;0,083;
2023-09-05;;;;;-0,052;-0,034;;;;-0,045;;;;-0,107;;;;
2023-09-06;-0,027;-0,021;;-0,033;-0,053;-0,035;0,021;0,030;-0,065;-0,046;-0,012;-0,062;-0,065;-0,114;0,008;0,031;0,080;
2023-09-07;-0,030;-0,024;;-0,035;-0,052;-0,034;0,025;0,025;-0,067;-0,047;-0,012;-0,068;-0,070;-0,118;0,007;0,027;0,078;
2023-09-08;-0,031;-0,026;;-0,036;-0,052;-0,034;0,023;0,022;-0,069;-0,048;-0,012;-0,068;-0,071;-0,116;0,008;0,027;0,081;
2023-09-11;-0,029;-0,025;;-0,035;-0,052;-0,034;0,022;0,023;-0,067;-0,047;-0,012;-0,069;-0,072;-0,120;0,006;0,028;0,083;
2023-09-12;-0,028;-0,030;;-0,034;-0,052;-0,034;0,022;0,022;-0,068;-0,047;-0,012;-0,071;-0,074;-0,122;0,006;0,031;0,085;
2023-09-13;-0,030;-0,033;;-0,036;-0,052;-0,035;0,024;0,020;-0,069;-0,047;-0,012;-0,074;-0,077;-0,119;0,006;0,028;0,083;
2023-09-14;-0,025;-0,030;;-0,031;-0,051;-0,034;0,026;0,026;-0,065;-0,045;-0,011;-0,070;-0,073;-0,117;0,008;0,028;0,085;
2023-09-15;-0,026;-0,026;;-0,033;-0,052;-0,034;0,024;0,024;-0,061;-0,046;-0,012;-0,067;-0,069;-0,119;0,006;0,035;0,091;
2023-09-18;-0,026;-0,028;;-0,033;-0,052;-0,035;0,021;0,025;-0,064;-0,047;-0,013;-0,070;-0,073;-0,125;0,006;0,033;0,088;
2023-09-19;-0,030;-0,033;;-0,037;-0,052;-0,035;0,017;0,020;-0,066;-0,049;-0,013;-0,074;-0,077;-0,127;0,004;0,029;0,083;
2023-09-20;-0,030;-0,031;;-0,036;-0,052;-0,035;0,015;0,020;-0,061;-0,050;-0,013;-0,068;-0,071;-0,122;0,004;0,028;0,085;
2023-09-21;-0,032;-0,032;;-0,040;-0,054;-0,035;0,014;0,014;-0,062;-0,052;-0,013;-0,070;-0,073;-0,126;0,002;0,025;0,083;
2023-09-22;-0,035;-0,038;;-0,043;-0,054;-0,035;0,008;0,010;-0,065;-0,054;-0,013;-0,074;-0,077;-0,123;0,003;0,020;0,078;
2023-09-25;-0,040;-0,048;;-0,047;;;0,004;0,007;-0,071;;-0,013;-0,077;-0,080;;-0,002;0,016;0,077;
2023-09-26;;;;;-0,056;-0,035;;;;-0,059;;;;-0,132;;;;
2023-09-27;-0,043;-0,056;;-0,051;-0,056;-0,036;0,008;0,002;-0,074;-0,059;-0,013;-0,081;-0,083;-0,140;-0,008;0,006;0,072;
2023-09-28;-0,045;-0,057;;-0,052;-0,056;-0,036;0,006;0,003;-0,075;-0,059;-0,015;-0,081;-0,084;-0,145;-0,014;0,001;0,069;
2023-09-29;-0,045;-0,047;;-0,051;-0,056;-0,035;0,002;0,005;-0,072;-0,060;-0,013;-0,075;-0,078;-0,143;-0,016;-0,001;0,063;
2023-10-02;-0,045;-0,055;;-0,051;-0,057;-0,036;-0,000;0,003;-0,075;-0,059;-0,014;-0,078;-0,081;-0,140;-0,013;0,003;0,063;
2023-10-03;;-0,061;;-0,051;;;-0,001;0,002;-0,080;;-0,015;-0,082;-0,084;;-0,015;0,004;0,064;
2023-10-06;;;;;-0,060;;;;;;;;;;;;;
2023-10-09;-0,045;;;;;-0,035;;;;-0,059;;;;-0,135;;;;
2023-10-10;-0,044;-0,061;;-0,051;-0,058;-0,034;0,002;0,002;-0,071;-0,057;-0,014;-0,073;-0,076;-0,129;-0,012;0,000;0,069;
2023-10-11;;-0,057;;-0,048;;;0,006;0,005;-0,066;;-0,013;-0,070;-0,073;;-0,009;-0,001;0,069;
2023-10-12;-0,039;;;;-0,058;-0,035;;;;-0,056;;;;-0,128;;;;
2023-10-13;-0,040;-0,067;;-0,045;-0,058;-0,035;0,006;-0,000;-0,063;-0,057;-0,013;-0,070;-0,073;-0,130;-0,010;-0,000;0,071;
2023-10-16;-0,042;-0,071;;-0,049;-0,058;-0,035;0,004;-0,001;-0,066;-0,058;-0,013;-0,072;-0,075;-0,118;-0,012;-0,002;0,070;
2023-10-17;-0,041;-0,076;;-0,050;-0,060;-0,036;0,005;0,001;-0,071;-0,059;-0,014;-0,080;-0,082;-0,112;-0,015;0,001;0,070;
2023-10-18;-0,042;-0,079;;-0,048;-0,061;-0,036;0,005;-0,002;-0,071;-0,060;-0,014;-0,081;-0,084;-0,118;-0,014;0,004;0,068;
2023-10-19;-0,050;-0,079;;-0,053;-0,063;-0,037;-0,003;-0,005;-0,078;-0,064;-0,013;-0,085;-0,088;-0,122;-0,012;0,005;0,064;
2023-10-20;-0,055;-0,084;;-0,059;-0,063;-0,036;-0,005;-0,012;-0,086;-0,066;-0,013;-0,092;-0,094;-0,129;-0,012;0,002;0,059;
2023-10-23;-0,053;-0,089;;-0,059;-0,062;-0,036;-0,005;-0,014;-0,092;-0,065;-0,013;-0,099;-0,101;-0,127;-0,012;-0,002;0,059;
2023-10-24;-0,049;-0,085;;-0,056;-0,060;-0,035;-0,005;-0,014;-0,091;-0,062;-0,013;-0,098;-0,100;-0,119;-0,007;-0,001;0,055;
2023-10-25;;-0,091;;-0,057;;;-0,007;-0,019;-0,093;;-0,014;-0,100;-0,103;;-0,005;0,005;0,064;
2023-10-26;-0,052;;;;-0,061;-0,035;;;;-0,066;;;;-0,112;;;;
2023-10-27;;-0,088;;-0,062;;;-0,013;-0,026;-0,093;;-0,014;-0,099;-0,102;;-0,004;-0,004;0,057;
2023-10-30;-0,053;;;;-0,061;-0,034;;;;-0,065;;;;-0,111;;;;
2023-10-31;-0,051;-0,081;;-0,061;-0,059;-0,034;-0,014;-0,023;-0,086;-0,063;-0,013;-0,093;-0,095;-0,110;-0,000;0,000;0,049;
2023-11-01;-0,044;-0,077;;-0,054;;;-0,009;-0,023;-0,086;;;-0,095;;;-0,003;0,003;0,054;
2023-11-02;;-0,064;;-0,048;;-0,032;-0,004;-0,014;-0,077;;-0,012;-0,082;-0,084;;0,002;0,008;0,056;
2023-11-03;-0,043;;;;-0,051;;;;;-0,056;;;;-0,102;;;;
2023-11-06;-0,042;-0,065;;-0,051;-0,051;-0,032;-0,006;-0,013;-0,080;-0,056;-0,012;-0,083;-0,085;-0,104;-0,003;0,006;0,049;
2023-11-07;-0,041;-0,064;;-0,049;-0,051;-0,032;-0,004;-0,013;-0,082;-0,054;-0,012;-0,083;-0,085;-0,106;-0,003;0,008;0,053;
2023-11-08;-0,042;-0,057;;-0,047;-0,051;-0,031;-0,001;-0,013;-0,080;-0,055;-0,012;-0,080;-0,083;-0,107;-0,001;0,011;0,055;
2023-11-09;-0,045;-0,056;;-0,050;-0,052;-0,032;-0,009;-0,016;-0,079;-0,056;-0,012;-0,077;-0,080;-0,104;-0,002;0,009;0,053;
2023-11-10;-0,039;-0,059;;-0,049;-0,052;-0,032;-0,016;-0,017;-0,084;-0,054;-0,012;-0,084;-0,086;-0,106;-0,003;0,009;0,046;
2023-11-13;-0,040;-0,067;;-0,048;-0,051;-0,032;-0,015;-0,017;-0,085;-0,055;-0,013;-0,085;-0,087;-0,108;-0,003;0,009;0,045;
2023-11-14;-0,039;-0,052;;-0,046;-0,048;-0,030;-0,010;-0,010;-0,079;-0,052;-0,011;-0,073;-0,076;-0,097;-0,005;0,008;0,044;
2023-11-15;;-0,049;;-0,047;;;-0,013;-0,005;-0,076;;-0,011;-0,069;-0,072;;-0,006;0,008;0,036;
2023-11-16;-0,042;;;;-0,048;-0,030;;;;-0,052;;;;-0,101;;;;
2023-11-17;-0,042;-0,051;;-0,049;-0,048;-0,030;-0,014;-0,009;-0,074;-0,052;-0,009;-0,067;-0,069;-0,099;-0,004;0,007;0,036;
2023-11-20;-0,042;-0,048;;-0,050;-0,047;-0,030;-0,014;-0,013;-0,073;-0,051;-0,009;-0,065;-0,067;-0,097;-0,007;0,004;0,032;
2023-11-21;-0,045;-0,054;;-0,052;-0,047;-0,030;-0,016;-0,014;-0,075;-0,052;-0,009;-0,067;-0,069;-0,102;-0,008;0,003;0,031;
2023-11-22;-0,039;-0,050;;-0,046;-0,046;-0,030;-0,009;-0,007;-0,074;-0,050;-0,009;-0,064;-0,066;-0,098;-0,005;0,008;0,034;
2023-11-23;;-0,048;;;;-0,030;;;-0,071;;-0,009;-0,062;-0,064;-0,100;-0,006;0,009;0,033;
2023-11-24;-0,041;-0,050;;-0,047;-0,046;-0,030;-0,009;-0,010;-0,070;-0,051;-0,009;-0,062;-0,064;-0,100;-0,008;0,008;0,034;
2023-11-27;-0,041;-0,049;;-0,047;-0,046;-0,029;-0,010;-0,011;-0,070;-0,050;-0,009;-0,062;-0,064;-0,101;-0,007;0,007;0,034;
2023-11-28;-0,044;-0,055;;-0,051;-0,045;-0,028;-0,018;-0,015;-0,075;-0,051;-0,008;-0,066;-0,068;-0,096;-0,006;0,005;0,030;
2023-11-29;;-0,050;;-0,048;;;-0,014;-0,011;-0,072;;-0,006;-0,064;-0,065;;-0,005;0,003;0,026;
2023-11-30;-0,038;;;;-0,042;-0,027;;;;-0,048;;;;-0,097;;;;
2023-12-01;-0,037;-0,050;;-0,044;-0,041;-0,026;-0,007;-0,005;-0,068;-0,046;-0,006;-0,062;-0,064;-0,088;-0,004;0,007;0,036;
2023-12-04;-0,037;-0,052;;-0,044;-0,040;-0,026;-0,007;0,002;-0,069;-0,046;-0,004;-0,061;-0,063;-0,090;-0,004;0,008;0,036;
2023-12-05;-0,038;-0,052;;-0,045;-0,040;-0,025;-0,009;0,001;-0,068;-0,045;-0,003;-0,058;-0,060;-0,088;-0,003;0,006;0,037;
2023-12-06;-0,039;-0,049;;-0,041;-0,039;-0,024;-0,005;0,006;-0,065;-0,045;-0,002;-0,052;-0,054;-0,088;;;;
2023-12-07;-0,039;-0,052;;-0,044;-0,039;-0,024;-0,007;0,002;-0,066;-0,044;-0,002;-0,053;-0,054;-0,092;-0,001;0,005;0,037;
2023-12-08;-0,036;-0,049;;-0,041;-0,039;-0,025;-0,005;0,007;-0,062;-0,043;-0,003;-0,048;-0,049;-0,092;-0,005;0,008;0,033;
2023-12-11;;-0,050;;-0,039;;;-0,004;0,010;-0,059;;-0,003;-0,044;-0,046;;-0,003;0,010;0,036;
2023-12-12;-0,032;;;;-0,038;-0,025;;;;-0,041;;;;-0,091;;;;
2023-12-13;-0,029;-0,054;;-0,037;-0,036;-0,024;-0,000;0,009;-0,060;-0,038;-0,002;-0,046;-0,048;-0,090;-0,000;0,012;0,038;
2023-12-14;-0,034;-0,040;;-0,038;-0,031;-0,022;0,002;0,019;-0,055;-0,039;-0,001;-0,037;-0,039;-0,089;0,000;0,012;0,039;
2023-12-15;-0,032;-0,034;;-0,036;-0,032;-0,021;-0,001;0,020;-0,053;-0,037;-0,000;-0,032;-0,034;-0,086;0,004;0,009;0,035;
2023-12-18;-0,033;-0,037;;-0,039;-0,032;-0,022;-0,003;0,015;-0,053;-0,038;0,000;-0,034;-0,036;-0,088;0,002;0,006;0,031;
2023-12-19;-0,032;-0,030;;-0,037;-0,031;-0,021;-0,003;0,018;-0,051;-0,037;0,002;-0,031;-0,033;-0,088;0,002;0,007;0,031;
2023-12-20;-0,036;-0,030;;-0,037;-0,030;-0,021;-0,005;0,016;-0,051;-0,038;0,003;-0,031;-0,033;-0,090;0,003;0,006;0,032;
2023-12-21;-0,034;-0,033;;-0,040;-0,030;-0,020;-0,009;0,012;-0,054;-0,038;0,003;-0,036;-0,038;-0,088;0,003;0,003;0,029;
2023-12-22;-0,036;-0,033;;-0,042;-0,030;-0,020;-0,006;0,012;-0,052;-0,039;0,003;-0,033;-0,035;-0,092;0,001;-0,002;0,028;
2023-12-27;-0,038;-0,028;;-0,040;-0,028;-0,019;-0,002;0,015;-0,050;-0,039;0,003;-0,031;-0,032;-0,094;0,000;-0,003;0,029;
2023-12-28;-0,036;-0,027;;-0,040;-0,029;-0,020;0,001;0,014;-0,049;-0,038;0,003;-0,030;-0,031;-0,095;;;;
2023-12-29;-0,032;-0,024;;-0,037;-0,029;-0,020;0,003;0,018;-0,048;-0,036;0,003;-0,028;-0,030;-0,094;-0,001;-0,001;0,034;
2024-01-02;-0,030;-0,028;;-0,037;-0,030;-0,020;0,010;0,017;-0,048;-0,036;0,002;-0,031;-0,033;-0,096;-0,002;0,002;0,037;
2024-01-03;;-0,034;;-0,035;;;0,011;0,012;-0,053;;0,001;-0,040;-0,042;;0,001;0,005;0,052;
2024-01-04;-0,033;;;;-0,032;-0,022;;;;-0,039;-0,000;;-0,039;-0,092;;;;
2024-01-05;-0,033;-0,038;;-0,036;-0,032;-0,022;0,012;0,008;-0,047;-0,040;;-0,041;;-0,093;-0,002;0,000;0,058;
2024-01-08;-0,028;-0,035;;-0,034;-0,031;-0,022;0,014;0,011;-0,046;-0,037;-0,002;-0,038;-0,039;-0,085;-0,000;0,001;0,061;
2024-01-09;-0,027;-0,032;;-0,032;-0,030;-0,022;0,021;0,014;-0,048;-0,036;-0,002;-0,041;-0,042;-0,087;-0,001;0,004;0,062;
2024-01-10;-0,027;-0,031;;-0,030;-0,029;-0,022;0,021;0,014;-0,046;-0,035;-0,003;-0,041;-0,042;-0,089;-0,001;0,003;0,061;
2024-01-11;-0,024;-0,029;;-0,028;-0,028;-0,022;0,022;0,016;-0,044;-0,034;-0,003;-0,038;-0,040;-0,090;-0,001;0,003;0,062;
2024-01-12;-0,025;-0,029;;-0,028;-0,027;-0,021;0,023;0,019;-0,043;-0,033;-0,001;-0,037;-0,038;-0,087;0,000;0,002;0,062;
2024-01-15;;-0,034;;;;-0,021;;;-0,046;;-0,000;-0,041;-0,043;-0,087;0,000;0,003;0,063;
2024-01-16;-0,020;-0,032;;-0,024;-0,029;-0,021;0,024;0,021;-0,048;-0,032;0,000;-0,044;-0,045;-0,087;0,003;0,006;0,067;
2024-01-17;-0,020;-0,037;;-0,023;-0,030;-0,023;0,025;0,023;-0,053;-0,033;-0,001;-0,052;-0,052;-0,090;0,004;0,004;0,065;
2024-01-18;-0,016;-0,030;;-0,020;-0,030;-0,023;0,021;0,024;-0,051;-0,032;-0,001;-0,048;-0,049;-0,087;0,003;0,004;0,063;
2024-01-19;-0,012;-0,033;;-0,016;-0,030;-0,023;0,025;0,027;-0,052;-0,030;-0,002;-0,048;-0,050;-0,083;0,005;0,008;0,065;
2024-01-22;-0,012;-0,030;;-0,013;-0,029;-0,022;0,026;0,035;-0,049;-0,029;-0,001;-0,045;-0,046;-0,080;0,005;0,008;0,065;
2024-01-23;-0,010;-0,028;;-0,012;-0,029;-0,022;0,025;0,038;-0,048;-0,028;-0,002;-0,042;-0,043;-0,083;0,004;0,007;0,065;
2024-01-24;-0,012;-0,028;;-0,013;-0,029;-0,022;0,024;0,033;-0,045;-0,029;-0,002;-0,039;-0,041;-0,079;0,002;0,012;0,064;
2024-01-25;;-0,022;;-0,011;;;0,022;0,033;-0,041;;-0,002;-0,037;-0,039;;0,001;0,009;0,060;
2024-01-26;-0,010;;;;-0,027;-0,021;;;;-0,027;;;;-0,079;;;;
2024-01-29;-0,006;-0,016;;-0,009;-0,027;-0,020;0,027;0,034;-0,037;-0,024;-0,002;-0,033;-0,035;-0,079;0,004;0,022;0,064;
2024-01-30;-0,006;-0,014;;-0,008;-0,027;-0,020;0,027;0,036;-0,039;-0,025;-0,002;-0,034;-0,035;-0,078;0,001;0,022;0,063;
2024-01-31;-0,012;-0,014;;-0,012;-0,027;-0,019;0,028;0,027;-0,037;-0,028;-0,001;-0,031;-0,033;-0,072;0,001;0,019;0,061;
2024-02-01;-0,005;-0,012;;-0,009;-0,027;-0,019;0,028;0,026;-0,037;-0,024;0,000;-0,028;-0,030;-0,068;0,003;0,014;0,061;
2024-02-02;;-0,014;;-0,002;;;0,030;0,028;-0,034;;-0,001;-0,027;-0,029;;0,004;0,018;0,059;
2024-02-05;0,005;;;;-0,028;-0,021;;;;-0,021;;;;-0,063;;;;
2024-02-06;0,004;-0,009;;0,002;-0,028;-0,021;0,042;0,031;-0,034;-0,021;-0,003;-0,028;-0,030;-0,058;0,004;0,024;0,063;
2024-02-07;0,004;-0,010;;0,000;-0,028;-0,021;0,040;0,028;-0,033;-0,021;-0,003;-0,025;-0,027;-0,062;0,000;0,023;0,063;
2024-02-08;0,005;-0,005;;0,002;-0,028;-0,022;0,036;0,032;-0,036;-0,021;-0,004;-0,025;-0,027;-0,059;-0,000;0,023;0,061;
2024-02-09;0,006;-0,009;;0,002;-0,028;-0,022;0,038;0,037;-0,037;-0,021;-0,005;-0,028;-0,030;-0,060;-0,002;0,026;0,058;
2024-02-12;0,004;-0,011;;0,003;-0,028;-0,022;0,034;0,039;-0,036;-0,022;-0,005;-0,025;-0,027;-0,058;-0,002;0,023;0,055;
2024-02-13;0,005;-0,014;;0,002;-0,029;-0,023;0,038;0,035;-0,036;-0,022;-0,005;-0,029;-0,031;-0,066;-0,003;0,024;0,057;
2024-02-14;0,007;-0,009;;0,005;-0,029;-0,022;0,041;0,039;-0,034;-0,021;-0,005;-0,025;-0,027;-0,057;0,001;0,026;0,058;
2024-02-15;0,007;-0,011;;0,003;-0,028;-0,022;0,042;0,043;-0,030;-0,021;-0,004;-0,022;-0,024;-0,057;0,000;0,025;0,057;
2024-02-16;0,007;-0,009;;0,006;-0,028;-0,023;0,044;0,043;-0,027;-0,021;-0,004;-0,018;-0,020;-0,057;-0,002;0,025;0,060;
2024-02-19;;-0,011;;;;-0,023;;;-0,026;;-0,004;-0,018;-0,020;-0,054;-0,003;0,024;0,060;
2024-02-20;0,000;-0,014;;-0,002;-0,028;-0,022;0,041;0,034;-0,029;-0,024;-0,003;-0,021;-0,023;-0,051;-0,003;0,023;0,060;
2024-02-21;0,000;-0,016;;-0,004;-0,028;-0,023;0,036;0,032;-0,029;-0,024;-0,003;-0,021;-0,023;-0,051;-0,003;0,024;0,056;
2024-02-22;0,007;-0,012;;0,002;-0,027;-0,023;0,038;0,037;-0,026;-0,021;-0,004;-0,016;-0,018;-0,049;-0,007;0,021;0,054;
2024-02-23;;-0,012;;0,006;;;0,043;0,037;-0,024;;-0,003;-0,013;-0,016;;-0,006;0,026;0,060;
2024-02-26;0,006;;;;-0,027;-0,022;;;;-0,022;;;;-0,046;;;;
2024-02-27;0,007;-0,014;;0,004;-0,028;-0,023;0,044;0,039;-0,023;-0,021;-0,004;-0,013;-0,016;-0,051;-0,007;0,022;0,060;
2024-02-28;0,007;-0,016;;0,004;-0,028;-0,022;0,045;0,041;-0,021;-0,021;-0,004;-0,014;-0,016;-0,053;-0,005;0,025;0,063;
2024-02-29;0,008;-0,013;;0,005;-0,028;-0,022;0,042;0,045;-0,021;-0,020;-0,004;-0,012;-0,015;-0,051;-0,006;0,024;0,061;
2024-03-01;0,012;-0,012;;0,009;-0,027;-0,022;0,046;0,043;-0,018;-0,018;-0,004;-0,010;-0,013;-0,052;-0,005;0,024;0,057;
2024-03-04;;-0,010;;0,012;;;0,050;0,050;-0,016;;-0,003;-0,010;-0,012;;-0,004;0,021;0,060;
2024-03-05;0,010;;;;-0,027;-0,021;;;;-0,018;;;;-0,056;;;;
2024-03-06;0,011;-0,014;;0,010;-0,027;-0,021;0,049;0,046;-0,014;-0,019;-0,001;-0,009;-0,011;-0,055;0,002;0,019;0,059;
2024-03-07;0,014;-0,013;;0,011;-0,026;-0,020;0,050;0,048;-0,009;-0,017;-0,000;-0,007;-0,009;-0,058;0,001;0,014;0,060;
2024-03-08;0,010;-0,013;;0,012;-0,025;-0,019;0,049;0,050;-0,008;-0,017;0,002;-0,003;-0,006;-0,059;0,000;0,018;0,058;
2024-03-11;0,009;-0,017;;0,006;-0,025;-0,020;0,047;0,044;-0,011;-0,018;0,001;-0,005;-0,008;-0,057;0,001;0,019;0,060;
2024-03-12;0,014;-0,014;;0,011;-0,025;-0,020;0,049;0,046;-0,005;-0,016;0,001;0,000;-0,003;-0,053;0,000;0,022;0,063;
2024-03-13;0,013;-0,015;;0,011;-0,024;-0,020;0,049;0,044;-0,004;-0,016;0,001;0,001;-0,001;-0,056;-0,001;0,023;0,061;
2024-03-14;0,016;-0,008;;0,013;-0,025;-0,021;0,047;0,042;-0,004;-0,015;-0,002;0,001;-0,002;-0,056;0,001;0,027;0,061;
2024-03-15;0,015;-0,005;;0,014;-0,026;-0,021;0,049;0,043;-0,002;-0,016;-0,003;0,003;0,000;-0,061;0,000;0,028;0,061;
2024-03-18;0,019;-0,006;;0,018;-0,025;-0,021;0,053;0,045;-0,005;-0,015;-0,003;-0,001;-0,005;-0,064;0,001;0,026;0,060;
2024-03-19;0,022;-0,003;;0,017;-0,025;-0,021;0,052;0,045;-0,003;-0,014;-0,003;-0,000;-0,003;-0,060;0,004;0,033;0,063;
2024-03-20;0,027;0,000;;0,021;-0,025;-0,020;0,055;0,052;-0,003;-0,011;-0,003;0,001;-0,001;-0,060;0,004;0,031;0,063;
2024-03-21;0,030;0,004;;0,026;-0,024;-0,020;0,058;0,060;0,003;-0,009;-0,002;0,009;0,007;-0,050;0,004;0,031;0,061;
2024-03-22;;0,005;;0,028;;;0,059;0,060;0,006;;-0,000;0,011;0,009;;0,007;0,034;0,067;
2024-03-25;0,033;;;;-0,024;-0,020;;;;-0,008;;;;-0,053;;;;
2024-03-26;0,032;0,007;;0,030;-0,025;-0,019;0,062;0,062;0,007;-0,008;-0,001;0,010;0,008;-0,050;0,010;0,035;0,069;
2024-03-27;0,035;0,010;;0,030;-0,024;-0,019;0,067;0,067;0,008;-0,006;-0,000;0,012;0,010;-0,048;0,012;0,039;0,072;
2024-03-28;0,039;0,011;;0,034;-0,024;-0,019;0,072;0,075;0,006;-0,005;;0,010;;-0,042;0,013;0,046;0,078;
2024-04-02;0,035;0,009;;0,030;-0,026;-0,019;0,065;0,067;0,007;-0,007;-0,002;0,010;0,007;-0,036;0,012;0,049;0,079;
2024-04-03;0,033;0,005;;0,028;-0,025;-0,019;0,064;0,063;0,006;-0,008;-0,002;0,008;0,006;-0,037;0,012;0,044;0,072;
2024-04-04;0,027;0,005;;0,028;-0,025;-0,019;0,062;0,064;0,009;-0,011;-0,001;0,009;0,007;-0,035;0,011;0,037;0,066;
2024-04-05;0,033;0,004;;0,026;-0,025;-0,019;0,061;0,060;0,006;-0,009;-0,002;0,005;0,002;-0,029;0,012;0,034;0,061;
2024-04-08;0,030;0,006;;0,024;-0,025;-0,020;0,058;0,058;0,009;-0,010;-0,003;0,008;0,006;-0,025;0,008;0,033;0,060;
2024-04-09;0,029;0,005;;0,022;-0,025;-0,019;0,057;0,059;0,009;-0,010;-0,002;0,007;0,005;-0,030;0,008;0,031;0,058;
2024-04-10;0,031;0,005;;0,025;-0,027;-0,020;0,061;0,059;0,007;-0,010;-0,002;0,003;0,001;-0,027;0,009;0,033;0,058;
2024-04-11;0,036;0,006;;0,027;-0,028;-0,021;0,062;0,059;0,005;-0,009;-0,002;0,002;0,000;-0,027;0,009;0,035;0,060;
2024-04-12;0,036;0,002;;0,032;-0,028;-0,020;0,067;0,062;0,010;-0,008;-0,000;0,005;0,003;-0,030;0,012;0,040;0,063;
2024-04-15;0,032;0,000;;0,031;-0,030;-0,020;0,066;0,060;0,012;-0,011;-0,002;0,008;0,006;-0,029;0,013;0,040;0,060;
2024-04-16;0,030;-0,006;;0,025;-0,031;-0,021;0,061;0,052;0,002;-0,013;-0,003;-0,003;-0,005;-0,037;0,011;0,038;0,061;
2024-04-17;0,030;-0,006;;0,027;-0,031;-0,021;0,064;0,056;0,008;-0,013;-0,002;0,000;-0,002;-0,033;0,012;0,041;0,058;
2024-04-18;;-0,014;;0,023;;;0,058;0,049;0,005;;-0,001;-0,003;-0,006;;0,013;0,041;0,056;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;0,028;;;;-0,028;-0,021;;;;-0,013;;;;-0,019;;;;
2024-04-24;;-0,007;;0,025;;;0,064;0,056;0,008;;-0,000;0,007;0,005;;0,010;0,049;0,065;
2024-04-25;0,027;;;;-0,030;-0,022;;;;-0,014;;;;-0,023;;;;
2024-04-26;0,033;-0,004;;0,026;-0,029;-0,022;0,063;0,058;0,009;-0,010;-0,000;0,008;0,006;-0,017;0,011;0,056;0,063;
2024-04-29;0,034;0,001;;0,028;-0,028;-0,021;0,066;0,059;0,012;-0,009;0,000;0,011;0,009;-0,013;0,015;0,059;0,067;
2024-04-30;0,030;0,006;;0,029;-0,029;-0,022;0,070;0,061;0,015;-0,011;;0,012;;-0,013;0,015;0,060;0,071;
2024-05-02;0,029;-0,001;;0,020;-0,028;-0,021;0,066;0,056;0,010;-0,011;0,000;0,006;0,004;;0,015;0,053;0,075;
2024-05-03;;0,004;;0,025;;;0,064;0,063;0,008;;0,002;0,008;0,006;;0,013;0,056;0,076;
2024-05-06;0,034;;;;-0,025;-0,019;;;;-0,007;;;;-0,007;;;;
2024-05-07;0,036;0,005;;0,031;-0,025;-0,019;0,068;0,068;0,016;-0,005;0,003;0,016;0,014;-0,006;0,016;0,058;0,075;
2024-05-08;0,038;0,011;;0,033;-0,025;-0,019;0,074;0,071;0,018;-0,004;;0,019;;-0,002;0,018;0,062;0,081;
2024-05-10;0,039;0,012;;0,035;-0,025;-0,019;0,073;0,071;0,023;-0,003;0,002;0,025;0,023;-0,003;0,016;0,062;0,083;
2024-05-13;0,038;0,013;;0,035;-0,025;-0,019;0,073;0,073;0,025;-0,003;0,003;0,027;0,025;-0,003;0,016;0,063;0,083;
2024-05-14;0,041;0,018;;0,035;-0,025;-0,019;0,072;0,073;0,027;-0,002;0,003;0,029;0,027;-0,000;0,015;0,064;0,085;
2024-05-15;0,042;0,021;;0,037;-0,023;-0,018;0,075;0,074;0,027;-0,001;0,003;0,031;0,028;0,002;0,016;0,062;0,085;
2024-05-16;0,040;0,022;;0,039;-0,023;-0,018;0,074;0,071;0,024;-0,001;0,003;0,029;0,026;0,001;0,015;0,057;0,086;
2024-05-17;0,039;0,020;0,012;0,036;-0,023;-0,019;0,073;0,070;0,024;-0,001;0,002;0,027;0,025;0,007;0,014;0,061;0,086;
2024-05-20;0,041;0,026;;0,036;;;0,073;0,070;0,028;;;0,032;;;0,013;0,059;0,086;
2024-05-21;0,041;0,023;0,013;0,035;-0,023;-0,019;0,075;0,066;0,027;-0,000;0,003;0,032;0,029;0,007;0,013;0,057;0,086;
2024-05-22;0,042;0,026;0,011;0,038;-0,023;-0,019;0,077;0,070;0,027;-0,001;0,002;0,033;0,031;0,006;0,012;0,058;0,085;
2024-05-23;0,041;0,027;0,012;0,037;-0,023;-0,020;0,076;0,066;0,028;-0,002;-0,011;0,033;0,031;0,006;0,012;0,058;0,091;
