
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;blackrock - global high yield bond fund a2;blackrock - india a2;blackrock - japan small & midcap a2;blackrock - latin american a2;blackrock - natural resources growth & income fund a2;blackrock - sustainable energy a2;blackrock - us basic value a2;blackrock - us flexible equity a2;blackrock - us mid-cap value fund a2;blackrock - world energy a2;blackrock - world financials a2;blackrock - world gold a2;blackrock - world healthscience a2;blackrock - world mining a2;blackrock - world real estate securities fund a2;blackrock - world technology a2;bmc global select fund;
2023-02-22;-0,045;-0,062;-0,080;0,003;;0,070;-0,029;-0,053;-0,003;0,015;-0,150;-0,217;-0,003;0,062;0,010;-0,162;;
2023-02-23;;;;;;;;;;;;;;;;;;
2023-02-24;-0,042;-0,061;-0,082;-0,005;;0,068;-0,033;-0,058;-0,007;0,012;-0,150;-0,225;-0,008;0,045;0,005;-0,162;;
2023-02-27;-0,038;-0,060;-0,077;-0,002;;0,075;-0,024;-0,049;0,003;0,023;-0,140;-0,215;-0,003;0,051;0,012;-0,154;;
2023-02-28;-0,041;-0,064;-0,080;-0,006;;0,071;-0,032;-0,054;-0,004;0,020;-0,142;-0,217;-0,011;0,053;0,007;-0,159;;
2023-03-01;-0,040;-0,060;-0,077;-0,012;;0,076;-0,033;-0,054;-0,005;0,021;-0,143;-0,203;-0,012;0,068;0,002;-0,157;;
2023-03-02;-0,039;-0,061;-0,078;-0,008;;0,075;-0,033;-0,054;-0,005;0,027;-0,149;-0,201;-0,010;0,070;0,001;-0,160;;
2023-03-03;;;;;;;;;;;;;;;;;;
2023-03-06;-0,035;-0,051;-0,071;-0,005;;0,090;-0,026;-0,042;0,003;0,032;-0,138;-0,197;-0,002;0,075;0,013;-0,143;;
2023-03-07;-0,037;-0,051;-0,072;-0,005;;0,087;-0,029;-0,045;-0,002;0,029;-0,143;-0,209;-0,005;0,064;0,008;-0,146;;
2023-03-08;-0,027;-0,041;-0,062;0,014;;0,092;-0,025;-0,041;0,003;0,038;-0,137;-0,207;-0,002;0,070;0,012;-0,141;;
2023-03-09;-0,030;-0,045;-0,057;0,013;;0,094;-0,028;-0,041;0,002;0,035;-0,146;-0,210;-0,002;0,068;0,010;-0,137;;
2023-03-10;-0,028;-0,045;-0,057;0,003;;0,089;-0,035;-0,053;-0,008;0,032;-0,172;-0,201;-0,003;0,060;0,002;-0,153;;
2023-03-13;-0,035;-0,057;-0,062;-0,010;;0,083;-0,046;-0,062;-0,021;0,017;-0,200;-0,186;-0,004;0,054;-0,004;-0,158;;
2023-03-14;-0,035;-0,061;-0,080;-0,011;;0,087;-0,045;-0,058;-0,018;0,015;-0,195;-0,187;-0,005;0,052;-0,003;-0,152;;
2023-03-15;-0,046;-0,074;-0,081;-0,040;;0,066;-0,064;-0,074;-0,040;-0,021;-0,225;-0,198;-0,018;0,025;-0,016;-0,166;;
2023-03-16;-0,041;-0,066;-0,080;-0,026;;0,075;-0,056;-0,063;-0,032;-0,020;-0,218;-0,194;-0,008;0,026;-0,012;-0,151;;
2023-03-17;-0,043;-0,066;-0,078;-0,031;;0,066;-0,063;-0,067;-0,040;-0,025;-0,230;-0,185;-0,012;0,029;-0,021;-0,150;;
2023-03-20;-0,043;-0,067;-0,083;-0,029;;0,075;-0,055;-0,061;-0,032;-0,014;-0,218;-0,168;-0,007;0,044;-0,017;-0,148;;
2023-03-21;-0,047;-0,071;-0,090;-0,034;;0,074;-0,057;-0,063;-0,033;-0,009;-0,212;-0,185;-0,010;0,036;-0,023;-0,151;;
2023-03-22;-0,047;-0,071;-0,086;-0,034;;0,075;-0,056;-0,061;-0,032;-0,004;-0,213;-0,182;-0,009;0,038;-0,031;-0,146;;
2023-03-23;-0,049;-0,073;-0,084;-0,043;;0,076;-0,063;-0,065;-0,040;-0,012;-0,223;-0,175;-0,013;0,037;-0,038;-0,144;;
2023-03-24;-0,046;-0,072;-0,077;-0,045;;0,068;-0,066;-0,069;-0,044;-0,027;-0,239;-0,167;-0,011;0,032;-0,039;-0,148;;
2023-03-27;-0,045;-0,070;-0,078;-0,035;0,024;0,074;-0,054;-0,060;-0,033;-0,015;-0,223;-0,169;-0,002;0,037;-0,030;-0,144;;
2023-03-28;;;;;;;;;;;;;;;;;;
2023-03-29;-0,045;-0,068;-0,076;-0,021;0,036;0,076;-0,050;-0,059;-0,028;0,001;-0,215;-0,156;-0,004;0,049;-0,027;-0,144;;
2023-03-30;-0,041;-0,066;-0,073;-0,005;0,045;0,089;-0,043;-0,051;-0,020;0,008;-0,202;-0,152;0,001;0,060;-0,015;-0,134;;
2023-03-31;-0,042;-0,061;-0,073;-0,008;0,041;0,087;-0,046;-0,053;-0,022;0,004;-0,208;-0,151;0,001;0,059;-0,016;-0,135;;
2023-04-03;-0,038;-0,060;-0,066;-0,013;0,056;0,088;-0,038;-0,046;-0,015;0,027;-0,202;-0,152;0,004;0,065;-0,009;-0,133;;
2023-04-04;;;;;;;;;;;;;;;;;;
2023-04-05;-0,042;-0,061;-0,075;-0,016;0,045;0,080;-0,043;-0,052;-0,022;0,018;-0,212;-0,134;0,008;0,054;-0,016;-0,143;;
2023-04-06;-0,038;-0,055;-0,079;-0,017;0,046;0,081;-0,038;-0,050;-0,018;0,023;-0,205;-0,133;0,015;0,054;-0,013;-0,145;;
2023-04-11;-0,034;-0,052;-0,075;0,005;0,057;0,091;-0,031;-0,043;-0,010;0,027;-0,197;-0,119;0,020;0,070;-0,006;-0,135;;
2023-04-12;-0,036;-0,053;-0,077;0,014;0,060;0,090;-0,031;-0,044;-0,010;0,029;-0,193;-0,123;0,019;0,071;-0,005;-0,140;;
2023-04-13;-0,038;-0,054;-0,075;0,014;0,059;0,086;-0,036;-0,048;-0,015;0,027;-0,193;-0,111;0,018;0,076;-0,011;-0,142;;
2023-04-14;-0,041;-0,058;-0,080;0,009;0,060;0,085;-0,035;-0,045;-0,016;0,028;-0,187;-0,119;0,017;0,075;-0,012;-0,141;;
2023-04-17;-0,038;-0,057;-0,081;0,012;0,060;0,087;-0,034;-0,045;-0,015;0,027;-0,189;-0,127;0,017;0,074;-0,014;-0,142;;
2023-04-18;-0,039;-0,059;-0,080;0,009;0,061;0,088;-0,033;-0,044;-0,014;0,023;-0,183;-0,124;0,016;0,077;-0,010;-0,139;;
2023-04-19;-0,039;-0,059;-0,079;-0,001;0,057;0,087;-0,033;-0,047;-0,015;0,020;-0,181;-0,129;0,017;0,075;-0,012;-0,144;;
2023-04-20;-0,038;-0,058;-0,077;-0,001;0,055;0,086;-0,033;-0,046;-0,015;0,018;-0,180;-0,129;0,016;0,071;-0,009;-0,142;;
2023-04-21;-0,038;-0,058;-0,078;-0,001;0,048;0,086;-0,034;-0,046;-0,015;0,018;-0,181;-0,137;0,020;0,058;-0,011;-0,146;;
2023-04-24;-0,039;-0,057;-0,080;-0,001;0,047;0,086;-0,033;-0,045;-0,016;0,018;-0,179;-0,138;0,019;0,054;-0,012;-0,146;;
2023-04-25;;;;;;;;;;;;;;;;;;
2023-04-26;-0,042;-0,057;-0,080;-0,009;0,039;0,074;-0,041;-0,053;-0,024;0,010;-0,189;-0,139;0,007;0,046;-0,016;-0,156;;
2023-04-27;-0,039;-0,054;-0,079;-0,005;0,039;0,079;-0,038;-0,048;-0,021;0,010;-0,183;-0,142;0,009;0,048;-0,014;-0,157;;
2023-04-28;-0,039;-0,053;-0,080;-0,002;0,041;0,080;-0,034;-0,043;-0,017;0,011;-0,184;-0,140;0,012;0,048;-0,007;-0,152;;
2023-05-02;-0,040;-0,053;;-0,005;0,030;0,080;-0,038;-0,046;-0,021;-0,003;-0,189;-0,145;0,015;0,042;-0,012;-0,150;;
2023-05-03;-0,040;-0,052;;-0,005;0,031;0,079;-0,039;-0,045;-0,021;-0,010;-0,192;-0,130;0,017;0,045;-0,014;-0,152;;
2023-05-04;-0,041;-0,051;;-0,002;0,026;0,075;-0,047;-0,053;-0,031;-0,013;-0,203;-0,120;0,011;0,042;-0,016;-0,157;;
2023-05-05;-0,044;-0,056;;0,000;0,027;0,075;-0,044;-0,050;-0,029;-0,006;-0,199;-0,129;0,010;0,042;-0,011;-0,155;;
2023-05-08;-0,045;-0,053;-0,079;0,010;0,031;0,075;-0,043;-0,051;-0,027;-0,005;-0,193;-0,122;0,010;0,051;-0,011;-0,155;;
2023-05-09;;;;;;;;;;;;;;;;;;
2023-05-10;-0,044;-0,051;-0,074;0,014;0,029;0,077;-0,043;-0,049;-0,027;-0,010;-0,193;-0,125;0,010;0,049;-0,012;-0,149;;
2023-05-11;-0,041;-0,048;-0,071;0,018;0,021;0,076;-0,044;-0,047;-0,028;-0,013;-0,192;-0,136;0,011;0,036;-0,013;-0,148;;
2023-05-12;-0,039;-0,047;-0,070;0,028;0,026;0,084;-0,040;-0,042;-0,024;-0,007;-0,186;-0,139;0,016;0,039;-0,011;-0,143;;
2023-05-15;-0,036;-0,042;-0,067;0,031;0,031;0,086;-0,037;-0,040;-0,021;-0,006;-0,183;-0,131;0,017;0,050;-0,008;-0,142;;
2023-05-16;-0,039;-0,045;-0,067;0,038;0,026;0,084;-0,040;-0,041;-0,024;-0,011;-0,184;-0,137;0,013;0,045;-0,011;-0,139;;
2023-05-17;-0,036;-0,043;-0,066;0,033;0,027;0,086;-0,037;-0,038;-0,022;-0,009;-0,181;-0,147;0,013;0,044;-0,015;-0,136;;
2023-05-19;-0,031;-0,039;-0,062;0,042;0,037;0,099;-0,024;-0,022;-0,009;0,008;-0,165;-0,151;0,024;0,048;-0,007;-0,116;;
2023-05-22;-0,032;-0,040;-0,061;0,040;0,032;0,097;-0,028;-0,025;-0,012;0,004;-0,168;-0,151;0,021;0,045;-0,010;-0,114;;
2023-05-23;-0,029;-0,037;-0,061;0,041;0,034;0,097;-0,024;-0,024;-0,008;0,011;-0,162;-0,153;0,021;0,041;-0,003;-0,114;;
2023-05-24;-0,027;-0,034;-0,062;0,040;0,029;0,091;-0,028;-0,029;-0,013;0,008;-0,170;-0,154;0,017;0,031;-0,009;-0,120;;
2023-05-25;-0,024;-0,029;-0,061;0,048;0,027;0,094;-0,027;-0,026;-0,011;0,007;-0,164;-0,160;0,017;0,031;-0,010;-0,103;;
2023-05-26;-0,023;-0,024;-0,063;0,055;0,031;0,098;-0,026;-0,020;-0,010;0,008;-0,164;-0,159;0,020;0,035;-0,008;-0,093;;
2023-05-29;;;;;;;;;;;;;;;;;;
2023-05-30;-0,018;-0,018;-0,059;0,052;0,028;0,108;-0,022;-0,014;-0,005;0,003;-0,161;-0,156;0,022;0,038;0,002;-0,080;;
2023-05-31;-0,015;-0,018;-0,063;0,049;0,024;0,105;-0,024;-0,015;-0,008;-0,001;-0,165;-0,150;0,019;0,033;0,002;-0,081;;
2023-06-01;-0,016;-0,017;-0,058;0,050;0,025;0,104;-0,026;-0,018;-0,010;-0,001;-0,165;-0,141;0,021;0,038;0,000;-0,084;;
2023-06-02;-0,019;-0,020;-0,059;0,064;0,034;0,106;-0,023;-0,015;-0,006;0,009;-0,158;-0,139;0,022;0,051;0,004;-0,083;;
2023-06-05;-0,016;-0,017;-0,051;0,067;0,038;0,108;-0,018;-0,010;-0,000;0,016;-0,155;-0,143;0,029;0,052;0,011;-0,079;;
2023-06-07;-0,013;-0,011;-0,050;0,085;0,048;0,113;-0,015;-0,006;0,005;0,022;-0,144;-0,130;0,026;0,063;0,017;-0,074;;
2023-06-08;-0,014;-0,014;-0,053;0,082;0,047;0,111;-0,014;-0,011;0,005;0,023;-0,145;-0,140;0,025;0,059;0,015;-0,083;;
2023-06-09;-0,016;-0,017;-0,051;0,085;0,043;0,112;-0,015;-0,010;0,004;0,018;-0,146;-0,145;0,025;0,059;0,016;-0,076;;
2023-06-12;-0,015;-0,016;-0,049;0,085;0,042;0,112;-0,014;-0,010;0,005;0,017;-0,143;-0,148;0,024;0,058;0,013;-0,075;;
2023-06-13;-0,018;-0,014;-0,044;0,086;0,046;0,113;-0,014;-0,008;0,006;0,019;-0,145;-0,147;0,024;0,063;0,011;-0,071;;
2023-06-14;-0,020;-0,014;-0,048;0,089;0,047;0,113;-0,014;-0,011;0,007;0,015;-0,142;-0,152;0,021;0,069;0,011;-0,072;;
2023-06-15;-0,018;-0,012;-0,047;0,096;0,049;0,116;-0,012;-0,007;0,009;0,015;-0,144;-0,153;0,026;0,069;0,013;-0,068;;
2023-06-16;-0,022;-0,013;-0,054;0,090;0,046;0,115;-0,014;-0,010;0,006;0,011;-0,147;-0,152;0,026;0,069;0,011;-0,069;;
2023-06-19;-0,019;-0,012;-0,052;0,092;0,047;0,113;-0,011;-0,009;0,009;0,014;-0,144;-0,152;0,025;0,067;0,011;-0,070;;
2023-06-20;-0,018;-0,010;-0,051;0,094;0,041;0,113;-0,013;-0,009;0,007;0,008;-0,144;-0,161;0,026;0,061;0,007;-0,069;;
2023-06-21;-0,015;-0,006;-0,048;0,098;0,045;0,112;-0,011;-0,007;0,009;0,015;-0,140;-0,165;0,028;0,061;0,009;-0,070;;
2023-06-22;-0,021;-0,013;-0,053;0,091;0,038;0,106;-0,017;-0,012;0,002;0,006;-0,147;-0,173;0,027;0,054;-0,002;-0,077;;
2023-06-26;-0,021;-0,013;-0,063;0,091;0,037;0,104;-0,018;-0,011;0,002;0,010;-0,151;-0,171;0,021;0,050;-0,005;-0,075;;
2023-06-27;;;;;;;;;;;;;;;;;;
2023-06-28;-0,020;-0,008;-0,059;0,083;0,032;0,106;-0,015;-0,010;0,006;0,007;-0,149;-0,176;0,023;0,047;0,005;-0,075;;
2023-06-29;-0,015;-0,003;-0,057;0,089;0,038;0,109;-0,008;-0,004;0,013;0,018;-0,140;-0,175;0,026;0,049;0,009;-0,070;;
2023-06-30;-0,013;0,002;-0,053;0,097;0,046;0,117;-0,002;0,002;0,019;0,024;-0,133;-0,166;0,034;0,057;0,017;-0,062;;
2023-07-03;-0,013;0,003;-0,048;0,101;0,050;0,119;-0,002;0,002;0,020;0,027;-0,131;-0,159;0,029;0,064;0,017;-0,062;;
2023-07-04;-0,013;0,003;-0,048;0,101;0,053;0,119;-0,000;0,003;0,021;0,028;-0,130;-0,154;0,029;0,066;0,021;-0,062;;
2023-07-05;;;;;;;;;;;;;;;;;;
2023-07-06;-0,011;0,008;-0,051;0,094;0,041;0,110;-0,002;0,000;0,018;0,019;-0,136;-0,166;0,029;0,053;0,016;-0,066;;
2023-07-07;-0,012;0,004;-0,047;0,098;0,044;0,111;-0,001;0,003;0,021;0,021;-0,132;-0,166;0,027;0,054;0,018;-0,062;;
2023-07-10;-0,016;0,002;-0,048;0,093;0,045;0,109;-0,003;-0,002;0,020;0,025;-0,133;-0,169;0,023;0,053;0,014;-0,071;;
2023-07-11;-0,020;0,000;-0,051;0,082;0,044;0,110;-0,007;-0,005;0,018;0,023;-0,136;-0,160;0,019;0,055;0,014;-0,072;;
2023-07-12;-0,021;-0,001;-0,052;0,096;0,053;0,114;-0,004;-0,003;0,021;0,033;-0,127;-0,153;0,017;0,064;0,021;-0,065;;
2023-07-13;-0,030;-0,012;-0,061;0,087;0,045;0,110;-0,015;-0,012;0,010;0,023;-0,136;-0,154;0,008;0,064;0,008;-0,070;;
2023-07-14;-0,035;-0,015;-0,070;0,078;0,035;0,105;-0,021;-0,016;0,003;0,008;-0,141;-0,158;0,006;0,057;0,004;-0,070;;
2023-07-17;-0,036;-0,013;-0,071;0,072;0,030;0,101;-0,023;-0,019;0,000;0,003;-0,142;-0,164;0,004;0,048;0,004;-0,074;;
2023-07-18;-0,037;-0,013;-0,068;0,079;0,033;0,104;-0,021;-0,018;0,002;0,006;-0,137;-0,159;0,004;0,050;-0,001;-0,073;;
2023-07-19;-0,034;-0,010;-0,065;0,081;0,037;0,105;-0,016;-0,011;0,007;0,013;-0,131;-0,156;0,011;0,049;0,007;-0,065;;
2023-07-20;-0,033;-0,007;-0,066;0,083;0,042;0,103;-0,013;-0,011;0,009;0,017;-0,128;-0,157;0,013;0,053;0,007;-0,070;;
2023-07-21;-0,029;-0,008;-0,069;0,090;0,043;0,106;-0,009;-0,011;0,012;0,021;-0,125;-0,163;0,020;0,049;0,012;-0,072;;
2023-07-24;-0,026;-0,005;-0,062;0,094;0,048;0,109;-0,006;-0,008;0,016;0,031;-0,121;-0,163;0,023;0,050;0,017;-0,074;;
2023-07-25;-0,030;-0,008;-0,065;0,097;0,050;0,107;-0,009;-0,010;0,012;0,026;-0,124;-0,165;0,019;0,060;0,014;-0,072;;
2023-07-26;-0,029;-0,007;-0,061;0,098;0,051;0,107;-0,008;-0,010;0,014;0,028;-0,121;-0,163;0,015;0,060;0,015;-0,073;;
2023-07-27;-0,030;-0,010;-0,063;0,098;0,048;0,107;-0,009;-0,006;0,014;0,027;-0,122;-0,175;0,017;0,055;0,014;-0,067;;
2023-07-28;-0,020;-0,001;-0,051;0,106;0,057;0,113;-0,002;0,002;0,021;0,035;-0,112;-0,165;0,023;0,063;0,020;-0,060;;
2023-07-31;-0,021;-0,001;-0,052;0,110;0,061;0,113;-0,003;0,001;0,020;0,042;-0,112;-0,159;0,021;0,070;0,018;-0,060;;
2023-08-01;-0,020;0,000;-0,050;0,107;0,059;0,113;-0,002;0,003;0,020;0,041;-0,114;-0,166;0,022;0,065;0,017;-0,060;;
2023-08-02;-0,019;-0,004;-0,054;0,101;0,055;0,108;-0,004;0,001;0,018;0,039;-0,117;-0,173;0,022;0,058;0,015;-0,063;;
2023-08-03;;;;;;;;;;;;;;;;;;
2023-08-04;-0,017;0,002;-0,050;0,096;0,061;0,104;-0,000;0,004;0,020;0,049;-0,111;-0,175;0,023;0,060;0,015;-0,064;;
2023-08-07;-0,020;-0,001;-0,053;0,090;0,052;0,097;-0,006;-0,001;0,015;0,042;-0,114;-0,182;0,018;0,051;0,008;-0,070;;
2023-08-08;-0,019;-0,002;-0,053;0,085;0,048;0,096;-0,008;-0,001;0,012;0,038;-0,122;-0,187;0,026;0,043;0,010;-0,072;;
2023-08-09;-0,017;0,001;-0,051;0,092;0,060;0,101;-0,004;0,002;0,016;0,056;-0,119;-0,183;0,030;0,053;0,011;-0,072;;
2023-08-10;-0,016;-0,001;-0,048;0,099;0,063;0,103;-0,003;0,004;0,017;0,059;-0,115;-0,181;0,032;0,055;0,015;-0,069;;
2023-08-11;-0,015;-0,002;-0,047;0,094;0,057;0,097;-0,006;-0,002;0,014;0,057;-0,118;-0,180;0,030;0,047;0,011;-0,078;;
2023-08-14;-0,010;0,004;-0,049;0,087;0,057;0,098;-0,001;0,004;0,018;0,061;-0,114;-0,180;0,037;0,045;0,013;-0,073;;
2023-08-15;;;;;;;;;;;;;;;;;;
2023-08-16;-0,011;0,005;-0,053;0,088;0,049;0,095;-0,006;0,002;0,013;0,056;-0,121;-0,191;0,035;0,032;0,008;-0,072;;
2023-08-17;-0,008;0,005;-0,051;0,089;0,054;0,093;-0,004;0,003;0,015;0,061;-0,119;-0,193;0,036;0,036;0,009;-0,076;;
2023-08-18;-0,009;0,005;-0,052;0,086;0,050;0,090;-0,005;-0,001;0,013;0,059;-0,122;-0,195;0,033;0,033;0,006;-0,084;;
2023-08-21;-0,008;0,007;-0,053;0,086;0,055;0,091;-0,004;0,004;0,014;0,064;-0,117;-0,196;0,036;0,037;0,005;-0,074;;
2023-08-22;-0,011;0,006;-0,051;0,087;0,053;0,089;-0,007;0,001;0,010;0,061;-0,121;-0,197;0,032;0,035;0,002;-0,072;;
2023-08-23;-0,007;0,013;-0,041;0,100;0,053;0,094;-0,005;0,005;0,013;0,054;-0,119;-0,177;0,038;0,044;0,011;-0,066;;
2023-08-24;-0,007;0,011;-0,043;0,103;0,052;0,096;-0,003;0,007;0,015;0,057;-0,115;-0,178;0,038;0,041;0,017;-0,062;;
2023-08-25;-0,004;0,011;-0,044;0,097;0,054;0,096;-0,003;0,003;0,014;0,059;-0,116;-0,176;0,037;0,040;0,015;-0,068;;
2023-08-28;;;;;;;;;;;;;;;;;;
2023-08-29;-0,005;0,010;-0,042;0,098;0,059;0,099;-0,001;0,006;0,017;0,062;-0,111;-0,172;0,040;0,045;0,016;-0,065;;
2023-08-30;-0,006;0,009;-0,040;0,100;0,063;0,100;0,000;0,009;0,019;0,065;-0,107;-0,161;0,041;0,052;0,021;-0,059;;
2023-08-31;-0,007;0,007;-0,040;0,092;0,063;0,099;-0,002;0,009;0,019;0,063;-0,110;-0,166;0,038;0,050;0,019;-0,055;;
2023-09-01;-0,004;0,013;-0,032;0,091;0,070;0,101;0,001;0,011;0,022;0,073;-0,109;-0,166;0,039;0,056;0,021;-0,052;;
2023-09-04;-0,001;0,018;-0,026;0,095;0,074;0,103;0,002;0,013;0,023;0,076;-0,106;-0,168;0,041;0,062;0,023;-0,049;;
2023-09-05;;;;;;;;;;;;;;;;;;
2023-09-06;0,002;0,020;-0,025;0,093;0,075;0,099;0,000;0,014;0,021;0,082;-0,113;-0,175;0,036;0,058;0,022;-0,046;;
2023-09-07;0,002;0,022;-0,024;0,084;0,069;0,094;0,000;0,011;0,018;0,081;-0,118;-0,180;0,040;0,048;0,021;-0,056;;
2023-09-08;0,002;0,025;-0,029;0,082;0,069;0,095;-0,001;0,012;0,017;0,084;-0,118;-0,176;0,041;0,047;0,023;-0,052;;
2023-09-11;0,001;0,026;-0,028;0,088;0,072;0,093;0,000;0,012;0,017;0,083;-0,114;-0,176;0,039;0,052;0,018;-0,055;;
2023-09-12;0,002;0,023;-0,026;0,092;0,072;0,092;0,001;0,014;0,018;0,084;-0,111;-0,173;0,039;0,052;0,019;-0,054;;
2023-09-13;0,002;0,025;-0,030;0,098;0,072;0,090;0,002;0,013;0,018;0,086;-0,106;-0,173;0,042;0,053;0,020;-0,057;;
2023-09-14;0,004;0,026;-0,025;0,102;0,079;0,093;0,006;0,015;0,021;0,093;-0,102;-0,171;0,042;0,061;0,024;-0,055;;
2023-09-15;0,006;0,029;-0,023;0,105;0,083;0,097;0,008;0,016;0,023;0,093;-0,101;-0,161;0,045;0,069;0,026;-0,056;;
2023-09-18;0,006;0,029;-0,022;0,104;0,080;0,092;0,006;0,015;0,021;0,091;-0,105;-0,162;0,040;0,065;0,023;-0,059;;
2023-09-19;0,003;0,025;-0,023;0,101;0,080;0,088;0,005;0,012;0,020;0,092;-0,106;-0,161;0,038;0,064;0,021;-0,065;;
2023-09-20;0,004;0,023;-0,028;0,105;0,081;0,092;0,007;0,014;0,023;0,090;-0,099;-0,160;0,041;0,065;0,024;-0,060;;
2023-09-21;0,003;0,019;-0,032;0,089;0,070;0,080;0,001;0,004;0,015;0,083;-0,107;-0,171;0,036;0,048;0,016;-0,075;;
2023-09-22;0,003;0,021;-0,031;0,093;0,073;0,080;-0,000;0,005;0,014;0,084;-0,106;-0,165;0,035;0,055;0,011;-0,073;;
2023-09-25;0,000;0,017;-0,033;0,083;0,066;0,073;-0,006;0,000;0,009;0,079;-0,112;-0,176;0,031;0,045;0,005;-0,077;;
2023-09-26;;;;;;;;;;;;;;;;;;
2023-09-27;-0,004;0,015;-0,038;0,071;0,063;0,062;-0,012;-0,008;0,003;0,084;-0,120;-0,198;0,027;0,035;-0,005;-0,084;;
2023-09-28;-0,005;0,011;-0,039;0,070;0,067;0,060;-0,011;-0,006;0,005;0,088;-0,119;-0,206;0,028;0,036;-0,007;-0,084;;
2023-09-29;-0,011;;-0,050;0,076;0,063;0,060;-0,017;-0,009;-0,000;0,077;-0,121;-0,205;0,020;0,039;-0,007;-0,082;;
2023-10-02;-0,008;0,010;-0,050;0,070;0,056;0,053;-0,019;-0,010;-0,003;0,069;-0,124;-0,217;0,018;0,031;-0,009;-0,081;;
2023-10-03;-0,006;0,013;-0,054;0,070;0,054;0,049;-0,019;-0,006;-0,003;0,069;-0,127;-0,220;0,021;0,027;-0,014;-0,076;;
2023-10-06;;;;;;;;;;;;;;;;;;
2023-10-09;;;;;;;;;;;;;;;;;;
2023-10-10;-0,010;0,011;-0,045;0,061;0,059;0,052;-0,016;-0,004;-0,001;0,072;-0,120;-0,197;0,027;0,033;-0,009;-0,068;;
2023-10-11;-0,012;0,009;-0,050;0,063;0,056;0,055;-0,018;-0,006;-0,003;0,069;-0,119;-0,194;0,027;0,033;-0,006;-0,069;;
2023-10-12;;;;;;;;;;;;;;;;;;
2023-10-13;-0,009;0,009;-0,051;0,065;0,058;0,055;-0,016;-0,003;-0,004;0,079;-0,123;-0,186;0,030;0,028;-0,011;-0,066;;
2023-10-16;-0,009;0,011;-0,056;0,061;0,061;0,051;-0,015;-0,002;-0,002;0,083;-0,122;-0,178;0,031;0,033;-0,010;-0,070;;
2023-10-17;-0,012;0,010;-0,055;0,058;0,061;0,047;-0,015;-0,005;-0,001;0,084;-0,122;-0,176;0,027;0,032;-0,009;-0,078;;
2023-10-18;-0,013;0,007;-0,052;0,053;0,062;0,044;-0,015;-0,004;-0,003;0,088;-0,123;-0,169;0,028;0,032;-0,013;-0,076;;
2023-10-19;-0,010;0,012;-0,052;0,054;0,062;0,046;-0,012;-0,002;-0,001;0,090;-0,121;-0,168;0,026;0,030;-0,015;-0,074;;
2023-10-20;-0,012;0,008;-0,056;0,049;0,055;0,036;-0,019;-0,009;-0,007;0,086;-0,131;-0,162;0,022;0,021;-0,022;-0,083;;
2023-10-23;-0,012;;-0,060;0,048;0,047;0,031;-0,022;-0,013;-0,012;0,080;-0,134;-0,167;0,021;0,013;-0,028;-0,089;;
2023-10-24;-0,012;0,001;-0,060;0,055;0,047;0,035;-0,022;-0,012;-0,012;0,076;-0,139;-0,172;0,018;0,019;-0,026;-0,084;;
2023-10-25;-0,005;0,005;-0,052;0,058;0,053;0,037;-0,018;-0,010;-0,009;0,078;-0,140;-0,163;0,021;0,027;-0,025;-0,080;;
2023-10-26;;;;;;;;;;;;;;;;;;
2023-10-27;-0,004;0,006;-0,049;0,067;0,051;0,042;-0,020;-0,016;-0,009;0,070;-0,136;-0,173;0,014;0,028;-0,026;-0,091;;
2023-10-30;;;;;;;;;;;;;;;;;;
2023-10-31;-0,006;0,002;-0,052;0,055;0,044;0,041;-0,021;-0,016;-0,010;0,067;-0,137;-0,177;0,011;0,017;-0,024;-0,088;;
2023-11-01;;;;;;;;;;;;;;;;;;
2023-11-02;-0,000;0,005;-0,038;0,073;0,053;0,055;-0,009;-0,005;0,004;0,079;-0,124;-0,181;0,020;0,028;-0,005;-0,069;;
2023-11-03;;;;;;;;;;;;;;;;;;
2023-11-06;-0,007;-0,000;-0,041;0,079;0,045;0,053;-0,013;-0,010;0,001;0,067;-0,127;-0,174;0,014;0,025;-0,009;-0,072;;
2023-11-07;-0,006;0,002;-0,045;0,082;0,035;0,052;-0,013;-0,008;0,001;0,055;-0,127;-0,186;0,016;0,016;-0,011;-0,066;;
2023-11-08;-0,003;0,005;-0,052;0,084;0,036;0,054;-0,012;-0,004;0,001;0,054;-0,123;-0,185;0,021;0,015;-0,008;-0,061;;
2023-11-09;-0,006;0,000;-0,051;0,083;0,034;0,053;-0,016;-0,008;-0,003;0,049;-0,125;-0,192;0,013;0,012;-0,008;-0,060;;
2023-11-10;-0,005;0,003;-0,049;0,079;0,032;0,049;-0,018;-0,009;-0,005;0,052;-0,127;-0,202;0,008;0,005;-0,014;-0,060;;
2023-11-13;-0,006;0,001;-0,053;0,077;0,034;0,049;-0,016;-0,008;-0,003;0,055;-0,124;-0,207;0,010;0,007;-0,016;-0,058;;
2023-11-14;-0,006;0,001;-0,050;0,094;0,042;0,062;-0,009;-0,001;0,005;0,057;-0,114;-0,195;0,016;0,022;-0,001;-0,048;;
2023-11-15;-0,015;-0,004;-0,059;0,084;0,033;0,058;-0,018;-0,011;-0,001;0,046;-0,123;-0,205;0,001;0,016;-0,004;-0,058;;
2023-11-16;;;;;;;;;;;;;;;;;;
