
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;blackrock - global high yield bond fund a2;blackrock - india a2;blackrock - japan small & midcap a2;blackrock - latin american a2;blackrock - natural resources growth & income fund a2;blackrock - sustainable energy a2;blackrock - us basic value a2;blackrock - us flexible equity a2;blackrock - us mid-cap value fund a2;blackrock - world energy a2;blackrock - world financials a2;blackrock - world gold a2;blackrock - world healthscience a2;blackrock - world mining a2;blackrock - world real estate securities fund a2;blackrock - world technology a2;bmc global select fund;
2023-12-21;-0,015;-0,002;-0,054;0,103;0,030;0,076;-0,014;-0,006;0,006;0,027;-0,106;-0,177;0,003;0,033;0,018;-0,051;;
2023-12-22;-0,019;-0,002;-0,054;0,103;0,031;0,076;-0,015;-0,006;0,006;0,027;-0,108;-0,170;0,002;0,034;0,017;-0,052;;
2023-12-27;-0,022;-0,001;-0,055;0,105;0,029;0,077;-0,017;-0,008;0,004;0,026;-0,108;-0,178;-0,001;0,034;0,016;-0,052;;
2023-12-28;-0,023;-0,002;-0,050;0,103;0,026;0,076;-0,018;-0,009;0,003;0,019;-0,110;-0,182;0,001;0,032;0,016;-0,055;;
2023-12-29;-0,020;0,003;;0,104;0,025;0,079;-0,015;-0,006;0,006;0,020;-0,106;-0,190;0,004;0,030;0,019;-0,051;;
2024-01-02;-0,017;0,005;;0,103;0,029;0,075;-0,011;-0,007;0,008;0,024;-0,108;-0,185;0,011;0,033;0,020;-0,061;;
2024-01-03;-0,014;0,008;-0,043;0,101;0,028;0,069;-0,008;-0,004;0,009;0,029;-0,107;-0,201;0,018;0,025;0,019;-0,061;;
2024-01-04;;;;;;;;;;;;;;;;;;
2024-01-05;-0,013;0,017;-0,044;0,104;0,033;0,068;-0,003;-0,003;0,012;0,035;-0,095;-0,201;0,021;0,028;0,018;-0,061;;
2024-01-08;-0,011;0,014;-0,041;0,108;0,028;0,071;-0,001;0,000;0,015;0,024;-0,092;-0,201;0,024;0,026;0,022;-0,053;;
2024-01-09;-0,012;0,014;-0,038;0,104;0,024;0,068;-0,003;0,000;0,013;0,023;-0,096;-0,207;0,027;0,022;0,020;-0,052;;
2024-01-10;-0,011;0,014;-0,040;0,098;0,021;0,066;-0,004;0,001;0,011;0,020;-0,099;-0,211;0,026;0,017;0,021;-0,049;;
2024-01-11;-0,012;0,014;-0,040;0,097;0,018;0,065;-0,007;0,002;0,008;0,016;-0,100;-0,213;0,025;0,016;0,017;-0,045;;
2024-01-12;-0,010;0,021;-0,036;0,105;0,024;0,066;-0,004;0,005;0,012;0,024;-0,098;-0,201;0,028;0,022;0,022;-0,042;;
2024-01-15;-0,008;0,024;-0,033;0,102;0,021;0,064;-0,005;0,005;0,010;0,023;-0,100;-0,204;0,027;0,018;0,022;-0,041;;
2024-01-16;-0,003;0,027;-0,036;0,100;0,019;0,064;-0,003;0,008;0,012;0,024;-0,098;-0,208;0,031;0,016;0,023;-0,036;;
2024-01-17;-0,002;0,023;-0,041;0,093;0,013;0,057;-0,002;0,008;0,012;0,018;-0,100;-0,224;0,031;0,007;0,019;-0,039;;
2024-01-18;-0,002;0,023;-0,039;0,091;0,011;0,062;-0,005;0,010;0,010;0,014;-0,099;-0,223;0,028;0,006;0,015;-0,027;;
2024-01-19;-0,000;0,029;-0,035;0,091;0,013;0,065;-0,001;0,015;0,013;0,019;-0,097;-0,221;0,033;0,007;0,017;-0,020;;
2024-01-22;-0,001;0,026;-0,028;0,092;0,009;0,069;0,003;0,019;0,019;0,017;-0,090;-0,224;0,032;0,003;0,022;-0,011;;
2024-01-23;-0,001;0,018;-0,033;0,086;0,013;0,068;0,002;0,019;0,019;0,020;-0,093;-0,222;0,029;0,009;0,020;-0,014;;
2024-01-24;-0,001;0,024;-0,031;0,094;0,015;0,072;0,003;0,022;0,019;0,021;-0,088;-0,216;0,032;0,017;0,019;-0,008;;
2024-01-25;-0,002;0,021;-0,029;0,093;0,018;0,069;0,001;0,021;0,018;0,026;-0,090;-0,218;0,027;0,017;0,017;-0,008;;
2024-01-26;;;;;;;;;;;;;;;;;;
2024-01-29;0,002;0,029;-0,029;0,096;0,020;0,065;0,006;0,026;0,022;0,033;-0,085;-0,217;0,033;0,015;0,019;-0,009;;
2024-01-30;0,000;0,021;-0,031;0,090;0,020;0,066;0,006;0,026;0,022;0,031;-0,084;-0,213;0,033;0,018;0,017;-0,007;;
2024-01-31;-0,001;0,027;-0,025;0,094;0,022;0,067;0,008;0,023;0,022;0,034;-0,086;-0,210;0,039;0,021;0,018;-0,015;;
2024-02-01;0,001;0,030;-0,025;0,097;0,021;0,065;0,006;0,024;0,020;0,035;-0,090;-0,211;0,037;0,019;0,014;-0,013;;
2024-02-02;-0,002;0,030;-0,028;0,091;0,011;0,061;0,002;0,026;0,017;0,024;-0,094;-0,218;0,036;0,011;0,010;-0,008;;
2024-02-05;;;;;;;;;;;;;;;;;;
2024-02-06;0,007;0,042;-0,021;0,104;0,018;0,068;0,012;0,035;0,025;0,034;-0,083;-0,218;0,051;0,010;0,018;0,005;;
2024-02-07;0,003;0,037;-0,022;0,095;0,013;0,067;0,008;0,032;0,020;0,028;-0,091;-0,221;0,049;0,007;0,013;0,002;;
2024-02-08;0,003;0,033;-0,027;0,090;0,012;0,070;0,008;0,034;0,022;0,031;-0,089;-0,226;0,044;0,004;0,015;0,010;;
2024-02-09;0,002;0,031;-0,029;0,091;0,012;0,071;0,008;0,034;0,021;0,033;-0,090;-0,230;0,045;0,000;0,013;0,014;;
2024-02-12;0,001;0,026;-0,031;0,091;0,012;0,073;0,008;0,035;0,023;0,032;-0,085;-0,232;0,042;0,001;0,015;0,014;;
2024-02-13;0,000;0,027;-0,028;0,084;0,005;0,062;0,004;0,028;0,017;0,027;-0,092;-0,245;0,040;-0,009;0,002;0,003;;
2024-02-14;0,006;0,036;-0,026;0,093;0,011;0,071;0,013;0,036;0,027;0,037;-0,081;-0,248;0,047;-0,005;0,012;0,016;;
2024-02-15;0,004;0,036;-0,027;0,088;0,011;0,074;0,013;0,036;0,030;0,033;-0,078;-0,236;0,049;-0,002;0,018;0,013;;
2024-02-16;0,002;0,036;-0,026;0,084;0,013;0,071;0,013;0,033;0,028;0,037;-0,078;-0,238;0,047;0,004;0,015;0,010;;
2024-02-19;0,001;0,036;-0,022;0,084;0,013;0,069;0,011;0,032;0,026;0,037;-0,080;-0,237;0,047;0,002;0,014;0,008;;
2024-02-20;0,000;0,037;-0,023;0,089;0,010;0,068;0,011;0,030;0,025;0,036;-0,081;-0,234;0,048;-0,003;0,013;-0,001;;
2024-02-21;-0,001;0,032;-0,026;0,086;0,008;0,067;0,009;0,027;0,023;0,036;-0,086;-0,241;0,042;-0,008;0,013;-0,007;;
2024-02-22;-0,005;0,034;-0,028;0,085;0,004;0,068;0,008;0,031;0,022;0,033;-0,084;-0,250;0,041;-0,013;0,010;0,006;;
2024-02-23;-0,002;0,035;-0,026;0,084;0,007;0,068;0,012;0,036;0,025;0,034;-0,080;-0,253;0,049;-0,011;0,012;0,012;;
2024-02-26;;;;;;;;;;;;;;;;;;
2024-02-27;-0,004;0,034;-0,024;0,085;0,004;0,066;0,008;0,030;0,023;0,034;-0,082;-0,253;0,044;-0,015;0,007;0,009;;
2024-02-28;-0,001;0,032;-0,020;0,087;0,006;0,069;0,012;0,033;0,027;0,038;-0,076;-0,254;0,045;-0,014;0,007;0,009;;
2024-02-29;-0,002;0,033;-0,016;0,083;0,008;0,072;0,012;0,034;0,028;0,037;-0,075;-0,245;0,042;-0,010;0,013;0,012;;
