
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;sensor sverige select;simplicity företagsobligationer a;simplicity global corporate bond a;simplicity likviditet a;skagen focus d;skagen global e;skagen kon-tiki f;skagen m2 c;skagen vekst c;skandia balanserad;skandia europa exponering;skandia försiktig;skandia global exponering a;skandia japan exponering;skandia korträntefond;skandia nordamerika exponering;skandia obligationsfond;
2023-01-03;-0,056;-0,071;-0,075;-0,044;-0,043;-0,093;-0,049;-0,009;-0,095;-0,080;-0,115;-0,063;-0,133;;-0,038;-0,143;-0,040;
2023-01-04;-0,053;-0,070;-0,074;-0,044;-0,039;-0,090;-0,046;-0,007;-0,095;-0,078;-0,106;-0,061;-0,130;-0,096;-0,038;-0,142;-0,038;
2023-01-05;-0,051;-0,070;-0,074;-0,044;-0,038;-0,094;-0,040;-0,012;-0,092;-0,076;-0,104;-0,060;-0,128;-0,098;-0,038;-0,140;-0,038;
2023-01-09;;-0,069;-0,072;-0,044;-0,033;-0,091;-0,034;-0,015;-0,088;-0,073;-0,099;-0,058;-0,126;;-0,038;-0,138;-0,038;
2023-01-10;-0,048;-0,069;-0,072;-0,043;-0,031;-0,088;-0,032;-0,011;-0,090;-0,073;-0,100;-0,058;-0,128;-0,099;-0,038;-0,140;-0,037;
2023-01-11;-0,043;-0,069;-0,071;-0,043;-0,029;-0,081;-0,028;-0,003;-0,088;-0,068;-0,094;-0,054;-0,122;-0,093;-0,037;-0,134;-0,035;
2023-01-12;-0,041;-0,068;-0,070;-0,043;-0,027;-0,083;-0,028;0,002;-0,086;-0,065;-0,092;-0,052;-0,118;-0,083;-0,037;-0,131;-0,033;
2023-01-13;-0,040;-0,067;-0,069;-0,043;-0,021;-0,081;-0,024;0,004;-0,084;-0,067;-0,091;-0,053;-0,119;-0,079;-0,037;-0,133;-0,034;
2023-01-16;-0,039;-0,067;-0,069;-0,043;-0,020;;-0,023;0,007;-0,080;;;;;;;;;
2023-01-17;-0,040;-0,067;-0,069;-0,043;-0,020;-0,081;-0,026;0,005;-0,082;-0,065;-0,087;-0,053;-0,117;-0,082;-0,037;-0,130;-0,034;
