
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;sensor sverige select;simplicity företagsobligationer a;simplicity global corporate bond a;simplicity likviditet a;skagen focus d;skagen global e;skagen kon-tiki f;skagen m2 c;skagen vekst c;skandia balanserad;skandia europa exponering;skandia försiktig;skandia global exponering a;skandia japan exponering;skandia korträntefond;skandia nordamerika exponering;skandia obligationsfond;
2024-01-08;-0,027;-0,039;-0,042;-0,024;0,020;-0,044;-0,029;0,019;-0,042;-0,037;-0,056;-0,031;-0,053;;-0,021;-0,053;-0,021;
2024-01-09;-0,028;-0,039;-0,040;-0,024;0,015;-0,046;-0,034;0,014;-0,044;-0,036;-0,057;-0,030;-0,050;-0,028;-0,021;-0,049;-0,021;
2024-01-10;-0,028;-0,038;-0,039;-0,024;0,015;-0,043;-0,037;0,015;-0,043;-0,036;-0,057;-0,031;-0,049;-0,027;-0,021;-0,048;-0,022;
2024-01-11;-0,030;-0,037;-0,038;-0,024;0,013;-0,046;-0,037;0,010;-0,046;-0,035;-0,056;-0,030;-0,046;-0,020;-0,021;-0,045;-0,021;
2024-01-12;-0,027;-0,037;-0,037;-0,024;0,016;-0,042;-0,035;0,015;-0,042;-0,033;-0,056;-0,028;-0,046;-0,014;-0,021;-0,045;-0,020;
2024-01-15;-0,030;-0,037;-0,037;-0,024;0,021;;-0,032;0,017;-0,040;;;;;;;;;
2024-01-16;-0,032;-0,036;-0,037;-0,024;0,019;-0,036;-0,034;0,017;-0,040;-0,033;-0,056;-0,028;-0,042;-0,012;-0,020;-0,040;-0,020;
2024-01-17;-0,037;-0,037;-0,038;-0,024;0,015;-0,035;-0,040;0,011;-0,043;-0,036;-0,060;-0,031;-0,043;-0,015;-0,020;-0,040;-0,021;
2024-01-18;-0,035;-0,036;-0,038;-0,023;0,013;-0,032;-0,042;0,009;-0,043;-0,036;-0,056;-0,031;-0,041;-0,016;-0,020;-0,038;-0,022;
2024-01-19;-0,036;-0,036;-0,038;-0,023;0,014;-0,029;-0,039;0,014;-0,043;-0,035;-0,055;-0,031;-0,037;-0,012;-0,020;-0,034;-0,022;
2024-01-22;-0,031;-0,036;-0,037;-0,023;0,016;-0,028;-0,044;0,017;-0,044;-0,032;-0,053;-0,029;-0,033;-0,007;-0,020;-0,029;-0,021;
2024-01-23;-0,031;-0,036;-0,037;-0,023;0,021;-0,026;-0,037;0,015;-0,041;-0,031;-0,054;-0,029;-0,032;-0,006;-0,020;-0,028;-0,022;
2024-01-24;-0,028;-0,036;-0,037;-0,023;0,021;-0,029;-0,032;0,013;-0,038;-0,031;-0,050;-0,028;-0,032;-0,008;-0,020;-0,028;-0,022;
2024-01-25;-0,026;-0,036;-0,037;-0,023;0,023;-0,026;-0,026;0,016;-0,036;-0,030;-0,049;-0,027;-0,031;-0,008;-0,020;-0,028;-0,021;
2024-01-26;;;;;;;;;;;;;;;;;;
2024-01-29;-0,025;-0,035;-0,035;-0,023;0,027;-0,019;-0,020;0,020;-0,030;-0,028;-0,042;-0,026;-0,028;-0,008;-0,020;-0,025;-0,021;
2024-01-30;-0,024;-0,035;-0,036;-0,023;0,025;-0,019;-0,027;0,015;-0,033;-0,028;-0,043;-0,027;-0,028;-0,010;-0,020;-0,025;-0,021;
2024-01-31;-0,024;-0,035;-0,036;-0,023;0,024;-0,025;-0,032;0,013;-0,036;-0,029;-0,044;-0,026;-0,033;-0,007;-0,020;-0,032;-0,020;
2024-02-01;-0,021;-0,035;-0,036;-0,022;0,026;-0,020;-0,027;0,012;-0,037;;;;;;;;;
2024-02-02;-0,020;-0,035;-0,036;-0,022;0,032;-0,013;-0,018;0,016;-0,029;-0,027;-0,044;-0,025;-0,027;-0,008;-0,019;-0,025;-0,020;
2024-02-05;;;;;;;;;;;;;;;;;;
2024-02-06;-0,022;-0,035;-0,038;-0,022;0,029;-0,010;-0,010;0,012;-0,028;-0,026;-0,040;-0,026;-0,021;-0,004;-0,019;-0,017;-0,021;
2024-02-07;-0,021;-0,035;-0,038;-0,022;0,026;-0,012;-0,012;0,009;-0,029;-0,026;-0,043;-0,026;-0,023;-0,005;-0,019;-0,019;-0,021;
2024-02-08;-0,022;-0,035;-0,038;-0,022;0,027;-0,010;-0,013;0,012;-0,029;-0,026;-0,043;-0,026;-0,022;-0,005;-0,019;-0,017;-0,022;
2024-02-09;-0,024;-0,035;-0,038;-0,022;0,024;-0,011;-0,019;0,008;-0,031;-0,027;-0,045;-0,027;-0,022;-0,007;-0,019;-0,016;-0,023;
2024-02-12;-0,023;-0,035;-0,038;-0,021;0,027;-0,012;;0,010;-0,030;;;;;;;;;
2024-02-13;-0,023;-0,035;-0,038;-0,021;0,028;-0,011;;0,008;-0,027;-0,027;-0,046;-0,028;-0,022;0,004;-0,019;-0,017;-0,024;
2024-02-14;-0,022;-0,035;-0,038;-0,021;0,024;-0,011;-0,015;0,005;-0,028;-0,026;-0,043;-0,027;-0,020;-0,001;-0,019;-0,015;-0,023;
2024-02-15;-0,018;-0,035;-0,038;-0,021;0,027;-0,009;-0,014;0,014;-0,027;-0,025;-0,042;-0,026;-0,022;-0,002;-0,019;-0,017;-0,023;
2024-02-16;-0,016;-0,035;-0,038;-0,021;0,028;-0,011;-0,011;0,013;-0,025;-0,024;-0,039;-0,026;-0,020;0,003;-0,019;-0,016;-0,024;
2024-02-19;-0,016;-0,035;-0,038;-0,021;0,028;;-0,010;0,012;-0,023;-0,024;-0,039;-0,026;;0,004;-0,019;;-0,024;
2024-02-20;-0,016;-0,034;-0,038;-0,021;0,022;-0,015;-0,010;0,007;-0,026;-0,026;-0,040;-0,027;-0,026;-0,000;-0,019;-0,024;-0,023;
2024-02-21;-0,017;-0,034;-0,037;-0,021;0,022;-0,015;-0,011;0,006;-0,028;-0,026;-0,040;-0,027;-0,027;-0,001;-0,019;-0,025;-0,024;
2024-02-22;-0,014;-0,034;-0,037;-0,021;0,023;-0,007;-0,004;0,012;-0,023;-0,024;-0,038;-0,026;-0,021;0,002;-0,019;-0,019;-0,024;
2024-02-23;-0,013;-0,034;-0,037;-0,021;0,022;-0,008;-0,007;0,008;-0,025;-0,023;-0,035;-0,025;-0,018;;-0,019;-0,015;-0,024;
2024-02-26;;;;;;;;;;;;;;;;;;
2024-02-27;-0,013;-0,034;-0,037;-0,021;0,019;-0,011;-0,009;0,002;-0,028;-0,023;-0,036;-0,026;-0,020;0,005;-0,019;-0,018;-0,024;
2024-02-28;-0,013;-0,034;-0,037;-0,021;0,020;-0,009;-0,012;0,002;-0,027;-0,023;-0,037;-0,026;-0,020;0,004;-0,019;-0,017;-0,024;
2024-02-29;-0,012;-0,033;-0,036;-0,020;0,018;-0,010;-0,014;0,002;-0,028;-0,022;-0,035;-0,025;-0,019;0,007;-0,018;-0,016;-0,024;
2024-03-01;-0,009;-0,033;-0,037;-0,020;0,022;-0,011;-0,014;0,005;-0,026;-0,021;-0,036;-0,024;-0,016;0,013;-0,018;-0,013;-0,024;
2024-03-04;-0,010;-0,033;-0,036;-0,020;0,025;-0,007;-0,006;0,009;-0,019;;;;;;;;;
2024-03-05;-0,011;;;;;;;;;;;;;;;;;
2024-03-06;;-0,033;-0,036;-0,020;0,025;-0,009;-0,009;0,006;-0,022;-0,020;-0,032;-0,022;-0,016;0,018;-0,018;-0,014;-0,021;
2024-03-07;-0,008;-0,032;-0,035;-0,020;0,026;-0,008;-0,009;0,007;-0,018;-0,020;-0,029;-0,022;-0,016;0,015;-0,018;-0,015;-0,021;
2024-03-08;-0,004;-0,032;-0,034;-0,020;0,026;-0,011;-0,006;0,012;-0,019;-0,018;-0,030;-0,020;-0,015;0,017;-0,018;-0,014;-0,019;
2024-03-11;-0,005;-0,031;-0,033;-0,020;0,029;-0,009;-0,004;0,012;-0,020;-0,019;-0,032;-0,021;-0,019;0,009;-0,018;-0,017;-0,020;
2024-03-12;-0,001;-0,031;-0,033;-0,020;0,032;-0,004;0,003;0,012;-0,013;-0,017;-0,027;-0,020;-0,015;0,005;-0,018;-0,012;-0,020;
2024-03-13;0,000;-0,031;-0,033;-0,019;0,030;-0,007;0,001;0,008;-0,017;-0,016;-0,026;-0,020;-0,016;0,003;-0,017;-0,014;-0,020;
2024-03-14;-0,000;-0,031;-0,033;-0,019;0,036;-0,005;0,004;0,010;-0,012;-0,016;-0,026;-0,021;-0,014;0,007;-0,017;-0,012;-0,021;
2024-03-15;-0,000;-0,031;-0,034;-0,019;0,036;-0,007;0,001;0,007;-0,014;-0,016;-0,023;-0,021;-0,013;0,008;-0,017;-0,012;-0,022;
2024-03-18;-0,004;-0,031;-0,033;-0,019;0,037;-0,003;0,002;0,010;-0,013;-0,015;-0,024;-0,020;-0,009;0,018;-0,017;-0,007;-0,022;
2024-03-19;-0,001;-0,031;-0,033;-0,019;0,035;-0,001;0,002;0,011;-0,014;-0,015;-0,025;-0,021;-0,010;0,020;-0,017;-0,008;-0,022;
2024-03-20;0,000;-0,031;-0,033;-0,019;0,042;0,002;0,005;0,015;-0,011;-0,013;-0,022;-0,020;-0,006;;-0,017;-0,003;-0,022;
2024-03-21;0,006;-0,030;-0,032;-0,019;0,051;0,006;0,014;0,024;-0,003;-0,009;-0,019;-0,017;-0,001;0,025;-0,017;0,002;-0,021;
2024-03-22;0,005;-0,030;-0,032;-0,019;0,050;0,003;0,011;0,021;-0,003;-0,007;-0,017;-0,016;0,001;0,033;-0,017;0,003;-0,020;
2024-03-25;;;;;;;;;;;;;;;;;;
2024-03-26;0,006;-0,030;-0,032;-0,019;0,053;0,004;0,012;0,023;-0,001;-0,007;-0,014;-0,016;0,002;0,028;-0,017;0,005;-0,021;
2024-03-27;0,006;-0,029;-0,032;-0,018;0,057;0,008;0,012;0,028;-0,001;-0,006;-0,012;-0,014;0,003;0,033;-0,017;0,005;-0,020;
2024-03-28;0,005;-0,029;-0,032;-0,018;;;;;;-0,005;-0,009;-0,014;0,007;0,032;-0,017;0,010;-0,021;
2024-04-02;0,003;-0,029;-0,031;-0,018;;;;;;-0,006;-0,012;-0,016;0,004;0,028;-0,017;0,007;-0,022;
2024-04-03;0,003;-0,029;-0,031;-0,018;0,057;0,007;0,016;0,020;0,005;-0,007;-0,013;-0,016;0,003;0,023;-0,017;0,007;-0,022;
2024-04-04;0,003;-0,029;-0,031;-0,018;0,058;0,002;0,017;0,021;0,006;-0,007;-0,014;-0,016;0,001;0,022;-0,017;0,005;-0,022;
2024-04-05;0,001;-0,028;-0,031;-0,018;0,059;0,007;0,017;0,021;0,006;-0,008;-0,017;-0,017;-0,000;0,021;-0,017;0,003;-0,022;
2024-04-08;0,004;-0,028;-0,031;-0,018;0,055;0,003;0,015;0,022;0,004;-0,009;-0,018;-0,017;-0,003;0,020;-0,017;0,000;-0,023;
2024-04-09;0,001;-0,028;-0,030;-0,018;0,056;0,004;0,016;0,026;0,003;-0,009;-0,019;-0,017;-0,004;0,023;-0,016;-0,001;-0,022;
2024-04-10;0,001;-0,028;-0,031;-0,018;0,057;0,004;0,020;0,019;0,005;-0,009;-0,018;-0,017;-0,000;0,026;-0,016;0,003;-0,022;
2024-04-11;-0,002;-0,028;-0,031;-0,018;0,056;0,006;0,021;0,020;0,006;-0,009;-0,017;-0,017;0,001;0,026;-0,016;0,004;-0,023;
2024-04-12;-0,001;-0,028;-0,031;-0,018;0,052;0,003;0,018;0,020;0,006;-0,006;-0,014;-0,015;0,006;0,034;-0,016;0,011;-0,021;
2024-04-15;0,001;-0,028;-0,032;-0,017;0,052;0,002;0,015;0,018;0,006;-0,006;-0,012;-0,015;0,005;0,028;-0,016;0,010;-0,022;
2024-04-16;-0,004;-0,028;-0,033;-0,017;0,048;0,001;0,005;0,012;0,002;-0,011;-0,019;-0,019;-0,001;0,022;-0,016;0,004;-0,023;
2024-04-17;-0,002;-0,028;-0,033;-0,017;0,048;0,002;0,009;0,011;0,003;-0,010;-0,015;-0,018;0,001;0,017;-0,016;0,005;-0,023;
2024-04-18;-0,000;-0,028;-0,033;-0,017;0,050;-0,001;0,009;0,009;0,003;-0,012;-0,017;-0,019;-0,003;0,018;-0,016;0,000;-0,023;
2024-04-22;;;;;;;;;;;;;;;;;;
2024-04-23;;;;;0,054;-0,000;0,012;0,012;0,010;;;;;;;;;
2024-04-24;0,001;-0,028;-0,032;-0,017;;;;;;-0,010;-0,011;-0,018;-0,001;0,020;-0,016;0,001;-0,023;
2024-04-25;;;;;;;;;;;;;;;;;;
2024-04-26;0,003;-0,027;-0,032;-0,017;0,058;0,002;0,027;0,012;0,019;-0,009;-0,007;-0,017;0,002;0,012;-0,016;0,005;-0,022;
2024-04-29;0,005;-0,027;-0,031;-0,017;0,061;-0,002;0,029;0,016;0,020;-0,007;-0,006;-0,016;0,004;;-0,015;0,007;-0,022;
2024-04-30;0,007;-0,027;-0,031;-0,017;0,060;-0,003;0,032;0,015;0,023;-0,006;-0,005;-0,015;0,006;0,023;-0,015;0,008;-0,022;
2024-05-02;;-0,027;-0,031;-0,016;0,060;-0,007;0,031;0,017;0,018;-0,009;-0,010;-0,017;-0,001;0,026;-0,015;-0,000;-0,022;
2024-05-03;0,005;-0,027;-0,030;-0,016;0,055;-0,011;0,030;0,014;0,013;-0,007;-0,008;-0,015;0,002;;-0,015;0,004;-0,020;
2024-05-06;;;;;;;;;;;;;;;;;;
2024-05-07;0,012;-0,026;-0,029;-0,016;0,068;-0,001;0,036;0,023;0,022;-0,003;-0,002;-0,012;0,007;0,025;-0,015;0,009;-0,019;
2024-05-08;0,012;-0,026;-0,029;-0,016;0,068;0,001;0,035;0,021;0,025;-0,001;0,003;-0,011;0,009;0,017;-0,014;0,012;-0,019;
2024-05-10;0,016;-0,026;-0,028;-0,016;0,073;0,003;0,039;0,028;0,030;0,000;0,006;-0,010;0,011;0,017;-0,014;0,013;-0,019;
2024-05-13;0,016;-0,025;-0,028;-0,016;0,070;-0,001;0,039;0,023;0,030;0,001;0,007;-0,010;0,011;0,016;-0,014;0,013;-0,019;
2024-05-14;0,016;-0,025;-0,028;-0,016;0,074;0,002;0,041;0,030;0,034;0,001;0,008;-0,010;0,011;0,016;-0,014;0,013;-0,019;
2024-05-15;0,018;-0,025;-0,027;-0,015;0,072;0,003;0,039;0,033;0,033;0,003;0,009;-0,008;0,012;0,017;-0,014;0,014;-0,018;
2024-05-16;0,015;-0,024;-0,026;-0,015;0,073;0,003;0,042;0,037;0,033;0,003;0,009;-0,008;0,014;0,018;-0,014;0,016;-0,017;
2024-05-17;0,015;-0,024;-0,026;-0,015;;;;;;;;;;;;;;
2024-05-20;0,018;-0,024;-0,027;-0,015;;;;;;0,003;;-0,008;0,013;0,019;-0,014;0,016;-0,018;
2024-05-21;0,018;-0,024;-0,027;-0,015;0,071;-0,001;0,039;0,030;0,033;0,003;0,006;-0,008;0,012;0,018;-0,014;0,014;-0,017;
2024-05-22;0,020;-0,024;-0,027;-0,015;0,071;0,000;0,039;0,030;0,032;0,004;0,006;-0,008;0,014;0,015;-0,014;0,017;-0,018;
2024-05-23;0,019;-0,024;-0,027;-0,015;0,066;-0,005;0,034;0,021;0,030;0,003;0,006;-0,009;0,013;0,016;-0,014;0,016;-0,019;
2024-05-24;0,017;-0,024;-0,027;-0,015;0,067;-0,005;0,031;0,019;0,029;0,001;0,004;-0,010;0,010;0,013;-0,014;0,013;-0,019;
2024-05-27;0,018;-0,024;-0,027;-0,015;0,065;;0,032;0,017;0,028;0,001;0,003;-0,009;;0,015;-0,013;;-0,018;
2024-05-28;;;;;;;;;;;;;;;;;;
2024-05-29;0,010;-0,024;-0,027;-0,015;0,062;-0,013;0,031;0,015;0,026;-0,002;-0,003;-0,011;0,005;0,010;-0,013;0,009;-0,019;
2024-05-30;0,012;-0,023;-0,028;-0,014;0,061;-0,016;0,024;0,019;0,024;-0,003;-0,002;-0,012;0,005;0,008;-0,013;0,008;-0,019;
2024-05-31;0,014;-0,023;-0,028;-0,014;0,061;-0,013;0,018;0,021;0,024;-0,004;-0,003;-0,013;-0,000;0,011;-0,013;0,001;-0,019;
2024-06-03;;;;;;;;;;;;;;;;;;
2024-06-04;0,014;-0,023;-0,027;-0,014;0,054;-0,015;0,016;0,024;0,021;-0,003;-0,003;-0,011;0,001;0,017;-0,013;0,003;-0,017;
2024-06-05;0,017;-0,023;-0,027;-0,014;0,051;-0,013;0,016;0,021;0,022;-0,004;-0,004;-0,011;0,000;0,005;-0,013;0,002;-0,017;
2024-06-07;0,015;-0,023;-0,027;-0,014;0,052;-0,011;0,019;0,016;0,025;-0,001;0,003;-0,011;0,008;0,009;-0,013;0,012;-0,018;
2024-06-10;;-0,023;-0,027;-0,014;0,052;-0,011;0,019;0,016;0,025;;;;;;;;;
2024-06-11;0,013;-0,022;-0,027;-0,014;0,048;-0,012;0,016;0,012;0,022;-0,003;-0,008;-0,011;0,005;0,011;-0,013;0,010;-0,017;
2024-06-12;0,020;-0,022;-0,027;-0,014;0,040;-0,021;0,006;0,007;0,017;-0,001;-0,006;-0,009;0,005;0,002;-0,013;0,010;-0,016;
2024-06-13;0,014;-0,022;-0,026;-0,013;;;;;;-0,001;-0,007;-0,009;0,009;0,001;-0,013;0,016;-0,015;
2024-06-14;0,010;-0,022;-0,026;-0,013;0,041;-0,012;0,017;0,013;0,020;-0,000;-0,010;-0,009;0,013;0,007;-0,012;0,021;-0,014;
2024-06-17;;-0,022;-0,027;-0,013;0,040;-0,010;0,014;0,010;0,020;-0,002;-0,011;-0,010;0,011;-0,004;-0,012;0,020;-0,015;
2024-06-18;0,011;-0,022;-0,026;-0,013;0,035;-0,014;0,010;0,006;0,018;-0,002;-0,011;-0,010;0,011;-0,005;-0,012;0,020;-0,015;
2024-06-19;0,009;-0,022;-0,026;-0,013;0,035;;0,016;0,004;0,020;-0,002;-0,011;-0,010;;-0,003;-0,012;;-0,014;
2024-06-20;;-0,022;-0,026;-0,013;0,036;-0,011;0,016;0,004;0,021;-0,001;-0,009;-0,009;0,013;-0,005;-0,012;0,022;-0,015;
2024-06-24;0,014;-0,021;-0,026;-0,013;0,038;-0,005;0,019;0,011;0,022;-0,000;-0,007;-0,009;0,012;-0,005;-0,012;0,020;-0,014;
2024-06-25;;;;;;;;;;;;;;;;;;
2024-06-26;0,010;-0,021;-0,025;-0,013;0,041;-0,002;0,021;0,009;0,024;0,001;-0,006;-0,008;0,016;0,009;-0,012;0,024;-0,014;
2024-06-27;0,012;-0,021;-0,026;-0,013;0,041;-0,004;0,022;0,010;0,023;0,001;-0,006;-0,007;0,017;0,007;-0,012;0,026;-0,013;
2024-06-28;0,013;-0,021;-0,025;-0,013;0,045;-0,003;0,024;0,014;0,026;0,003;-0,007;-0,007;0,020;0,012;-0,012;0,029;-0,013;
2024-07-01;0,016;-0,021;-0,025;-0,013;0,046;-0,003;0,023;0,013;0,030;0,002;-0,005;-0,008;0,016;0,009;-0,012;0,023;-0,014;
2024-07-02;;-0,020;-0,025;-0,013;0,047;0,002;0,023;0,016;0,031;0,002;-0,008;-0,008;0,018;0,018;-0,012;0,026;-0,015;
2024-07-03;0,014;-0,020;-0,025;-0,013;0,043;-0,004;0,022;0,014;0,026;0,002;-0,006;-0,007;0,018;0,015;-0,012;0,026;-0,015;
2024-07-04;0,017;-0,020;-0,024;-0,012;0,048;;;0,018;0,030;0,003;-0,004;-0,007;;0,021;-0,012;;-0,015;
2024-07-05;0,017;-0,020;-0,024;-0,012;0,048;0,000;0,031;0,019;0,030;0,003;-0,005;-0,006;0,019;0,018;-0,012;0,027;-0,014;
2024-07-08;0,017;-0,020;-0,024;-0,012;0,047;-0,001;0,030;0,018;0,030;0,004;-0,002;-0,006;0,022;0,017;-0,011;0,030;-0,014;
2024-07-09;0,016;-0,020;-0,023;-0,012;0,046;-0,000;0,031;0,020;0,030;0,004;-0,005;-0,006;0,024;0,023;-0,011;0,033;-0,014;
2024-07-10;;-0,020;-0,023;-0,012;0,051;0,007;0,033;0,028;0,033;0,005;-0,003;-0,005;0,025;0,025;-0,011;0,034;-0,013;
2024-07-11;0,021;-0,020;-0,023;-0,012;0,057;0,009;0,037;0,035;0,035;0,007;-0,000;-0,003;0,026;0,033;-0,011;0,034;-0,012;
2024-07-12;0,030;-0,019;-0,023;-0,012;0,058;0,009;0,036;0,038;0,036;0,011;0,006;-0,001;0,028;0,029;-0,011;0,035;-0,011;
2024-07-18;;;;;;;;;;;;;;;;;;
2024-07-19;;;;;;;;;;;;;;;;;;
2024-07-22;0,027;-0,019;-0,022;-0,011;0,059;0,015;0,028;0,044;0,037;0,012;0,006;0,000;0,029;0,029;-0,010;0,037;-0,009;
2024-07-23;0,027;-0,019;-0,022;-0,011;0,057;0,016;0,027;0,043;0,036;0,013;0,007;0,001;0,033;0,033;-0,010;0,041;-0,009;
2024-07-24;0,023;-0,019;-0,022;-0,011;0,054;0,010;0,024;0,039;0,032;0,011;0,006;-0,000;0,027;0,035;-0,010;0,034;-0,009;
2024-07-25;0,021;-0,019;-0,022;-0,011;0,051;0,004;0,019;0,035;0,028;0,007;0,001;-0,002;0,022;0,021;-0,010;0,029;-0,009;
2024-07-26;;;;;;;;;;;;;;;;;;
2024-07-29;0,025;-0,018;-0,021;-0,011;0,058;0,011;0,024;0,044;0,035;0,012;0,008;0,001;0,029;0,029;-0,010;0,037;-0,008;
2024-07-30;;-0,018;-0,021;-0,011;0,055;0,013;0,021;0,046;0,035;0,011;0,007;0,000;0,027;0,026;-0,010;0,034;-0,008;
2024-07-31;0,027;-0,018;-0,021;-0,011;0,061;0,014;0,025;0,045;0,038;0,011;0,005;0,001;0,026;0,041;-0,010;0,032;-0,008;
2024-08-01;;-0,018;-0,020;-0,011;0,053;0,010;0,023;0,045;0,033;0,011;0,002;0,001;0,027;0,023;-0,010;0,034;-0,007;
2024-08-02;0,012;-0,018;-0,020;-0,011;0,043;0,004;0,015;0,046;0,025;0,001;-0,012;-0,004;0,008;0,002;-0,009;0,014;-0,005;
2024-08-05;;;;;;;;;;;;;;;;;;
2024-08-06;0,002;-0,018;-0,021;-0,011;0,017;-0,014;-0,011;0,025;0,003;-0,006;-0,021;-0,007;-0,002;-0,006;-0,009;0,005;-0,005;
2024-08-07;0,009;-0,018;-0,021;-0,011;0,017;-0,016;-0,006;0,024;0,004;-0,004;-0,018;-0,007;0,001;-0,010;-0,009;0,008;-0,006;
2024-08-08;0,010;-0,018;-0,021;-0,011;0,023;-0,008;-0,001;0,030;0,011;-0,004;-0,017;-0,006;-0,000;-0,011;-0,009;0,006;-0,006;
2024-08-09;0,013;-0,018;-0,020;-0,011;0,026;-0,005;0,009;0,035;0,018;-0,003;-0,015;-0,005;0,002;-0,008;-0,009;0,008;-0,006;
2024-08-12;0,012;-0,018;-0,020;-0,010;0,026;-0,007;0,011;0,033;0,017;-0,002;-0,015;-0,005;0,003;;-0,009;0,010;-0,005;
2024-08-13;0,014;-0,017;-0,020;-0,010;0,030;-0,003;0,011;0,037;0,021;0,001;-0,012;-0,003;0,009;0,004;-0,009;0,016;-0,004;
2024-08-14;;;;;;;;;;;;;;;;;;
2024-08-15;0,020;-0,017;-0,019;-0,010;0,034;0,003;0,012;0,037;0,025;0,006;-0,003;-0,001;0,018;0,005;-0,009;0,026;-0,005;
2024-08-16;0,021;-0,016;-0,019;-0,010;0,039;0,008;0,020;0,041;0,029;0,007;-0,002;-0,000;0,020;0,022;-0,009;0,026;-0,005;
2024-08-19;0,023;-0,016;-0,019;-0,010;0,036;0,002;0,020;0,037;0,028;0,007;-0,001;0,000;0,018;0,016;-0,008;0,025;-0,005;
2024-08-20;0,023;-0,016;-0,018;-0,010;0,034;-0,000;0,013;0,036;0,023;0,006;-0,004;-0,000;0,017;0,015;-0,008;0,024;-0,004;
2024-08-21;0,021;-0,015;-0,018;-0,010;0,032;-0,000;0,008;0,034;0,021;0,006;-0,004;-0,000;0,017;0,016;-0,008;0,023;-0,004;
2024-08-22;0,024;-0,015;-0,017;-0,010;0,032;0,001;0,009;0,038;0,024;0,007;-0,001;0,000;0,018;0,015;-0,008;0,024;-0,004;
2024-08-27;;;;;;;;;;;;;;;;;;
2024-08-28;0,027;-0,014;-0,016;-0,009;0,028;-0,003;0,004;0,040;0,021;0,008;0,001;0,001;0,017;0,021;-0,008;0,022;-0,005;
2024-08-29;0,028;-0,014;-0,016;-0,009;0,032;-0,003;0,005;0,037;0,025;;;;;;;;;
2024-08-30;0,029;-0,013;-0,016;-0,009;0,036;0,003;0,012;0,045;0,031;0,011;0,006;0,002;0,021;0,024;-0,008;0,025;-0,004;
2024-09-02;0,029;-0,013;-0,016;-0,009;0,035;;0,010;0,042;0,028;0,010;0,004;0,002;;0,020;-0,008;;-0,005;
2024-09-03;0,025;-0,013;-0,015;-0,009;0,032;0,002;0,012;0,044;0,026;0,009;0,002;0,001;0,018;0,028;-0,008;0,023;-0,004;
2024-09-04;0,021;-0,013;-0,015;-0,009;0,021;-0,005;0,000;0,038;0,017;0,006;-0,002;0,000;0,014;0,014;-0,008;0,019;-0,004;
2024-10-08;;;;;;;;;;;;;;;;;;
2024-10-09;;;;;;;;;;;;;;;;;;
2024-10-10;;;;;;;;;;;;;;;;;;
2024-10-11;0,028;-0,009;-0,011;-0,007;0,041;0,012;0,040;0,050;0,038;0,016;0,002;0,005;0,033;0,019;-0,006;0,042;-0,005;
2024-10-14;0,028;-0,009;-0,011;-0,007;0,045;0,016;0,044;0,052;0,040;0,018;0,006;0,006;0,039;;-0,006;0,049;-0,004;
2024-10-15;0,026;-0,009;-0,011;-0,007;0,041;0,012;0,034;0,052;0,032;0,018;0,004;0,007;0,038;0,022;-0,006;0,048;-0,003;
2024-10-16;0,025;-0,009;-0,011;-0,007;0,048;0,017;0,038;0,059;0,035;0,017;0,002;0,007;0,037;0,019;-0,006;0,047;-0,003;
2024-10-17;0,025;-0,009;-0,010;-0,007;0,046;0,016;0,034;0,057;0,035;0,020;0,006;0,008;0,042;0,019;-0,006;0,053;-0,003;
2024-10-18;0,026;-0,008;-0,010;-0,007;0,051;0,020;0,042;0,059;0,039;0,020;0,008;0,009;0,043;0,020;-0,006;0,053;-0,002;
2024-10-21;0,023;-0,008;-0,010;-0,007;0,048;0,016;0,041;0,053;0,038;0,020;0,007;0,008;0,043;0,019;-0,006;0,054;-0,003;
2024-10-22;0,022;-0,008;-0,010;-0,007;0,044;0,013;0,037;0,049;0,034;0,018;0,003;0,007;0,041;0,013;-0,006;0,052;-0,004;
2024-10-23;0,023;-0,008;-0,010;-0,007;0,046;0,016;0,043;0,052;0,037;0,018;0,004;0,007;0,042;0,006;-0,006;0,054;-0,004;
2024-10-24;0,021;-0,008;-0,010;-0,006;0,044;0,013;0,039;0,053;0,035;0,018;0,005;0,007;0,040;0,008;-0,005;0,052;-0,003;
2024-10-25;0,024;-0,008;-0,010;-0,006;0,046;0,010;0,039;0,052;0,036;0,018;0,003;0,007;0,042;0,005;-0,005;0,054;-0,003;
2024-10-28;;;;;;;;;;;;;;;;;;
2024-10-29;0,024;-0,008;-0,010;-0,006;0,046;0,016;0,042;0,049;0,037;0,021;0,007;0,009;0,045;0,016;-0,005;0,057;-0,003;
2024-10-30;;-0,007;-0,010;-0,006;0,047;0,016;0,040;0,048;0,036;0,020;0,004;0,009;0,046;0,021;-0,005;0,059;-0,003;
2024-10-31;;-0,007;-0,011;-0,006;0,046;0,013;0,039;0,046;0,035;0,015;-0,003;0,006;0,039;0,021;-0,005;0,050;-0,004;
2024-11-01;0,019;-0,007;-0,011;-0,006;0,048;0,016;0,040;0,040;0,038;0,017;0,004;0,006;0,042;0,012;-0,005;0,054;-0,004;
2024-11-04;0,021;-0,007;-0,010;-0,006;0,048;0,015;0,043;0,037;0,036;0,016;0,004;0,006;0,040;;-0,005;0,051;-0,004;
2024-11-05;;;;;;;;;;;;;;;;;;
